Up/Down,Upgrade,Same,Downgrade,Defaulted,Non-Rated,Totals
06/30/1952,0,0,0,0,0,0
09/30/1952,0,1,0,0,0,1
12/31/1952,0,1,0,0,0,1
03/31/1953,0,1,0,0,0,1
06/30/1953,0,1,0,0,0,1
09/30/1953,0,1,0,0,0,1
12/31/1953,0,1,0,0,0,1
03/31/1954,0,1,0,0,0,1
06/30/1954,0,1,0,0,0,1
09/30/1954,0,1,0,0,0,1
12/31/1954,0,1,0,0,0,1
03/31/1955,0,1,0,0,0,1
06/30/1955,0,1,0,0,0,1
09/30/1955,0,0,1,0,0,1
12/31/1955,0,1,0,0,0,1
03/31/1956,0,1,0,0,0,1
06/30/1956,0,1,0,0,0,1
09/30/1956,0,1,0,0,0,1
12/31/1956,0,1,0,0,0,1
03/31/1957,0,1,0,0,0,1
06/30/1957,0,1,0,0,0,1
09/30/1957,0,1,0,0,0,1
12/31/1957,0,1,0,0,0,1
03/31/1958,0,1,0,0,0,1
06/30/1958,0,1,0,0,0,1
09/30/1958,0,1,0,0,0,1
12/31/1958,0,1,0,0,0,1
03/31/1959,0,1,0,0,0,1
06/30/1959,0,1,0,0,0,1
09/30/1959,0,1,0,0,0,1
12/31/1959,0,1,0,0,0,1
03/31/1960,0,1,0,0,0,1
06/30/1960,0,1,0,0,0,1
09/30/1960,0,1,0,0,0,1
12/31/1960,0,1,0,0,0,1
03/31/1961,0,1,0,0,0,1
06/30/1961,0,1,0,0,0,1
09/30/1961,0,1,0,0,0,1
12/31/1961,0,1,0,0,0,1
03/31/1962,0,1,0,0,0,1
06/30/1962,0,1,0,0,0,1
09/30/1962,0,1,0,0,0,1
12/31/1962,0,1,0,0,0,1
03/31/1963,0,1,0,0,0,1
06/30/1963,0,1,0,0,0,1
09/30/1963,0,1,0,0,0,1
12/31/1963,0,1,0,0,0,1
03/31/1964,0,1,0,0,0,1
06/30/1964,0,1,0,0,0,1
09/30/1964,0,1,0,0,0,1
12/31/1964,0,1,0,0,0,1
03/31/1965,0,1,0,0,0,1
06/30/1965,0,1,0,0,0,1
09/30/1965,0,1,0,0,0,1
12/31/1965,0,1,0,0,0,1
03/31/1966,0,1,0,0,0,1
06/30/1966,0,1,0,0,0,1
09/30/1966,0,1,0,0,0,1
12/31/1966,0,1,0,0,0,1
03/31/1967,0,2,0,0,0,2
06/30/1967,0,2,0,0,0,2
09/30/1967,0,1,1,0,0,2
12/31/1967,0,2,0,0,0,2
03/31/1968,0,2,0,0,0,2
06/30/1968,0,2,0,0,0,2
09/30/1968,0,2,0,0,0,2
12/31/1968,0,2,0,0,0,2
03/31/1969,0,2,0,0,0,2
06/30/1969,0,2,0,0,0,2
09/30/1969,0,2,0,0,0,2
12/31/1969,0,2,0,0,0,2
03/31/1970,0,2,0,0,0,2
06/30/1970,0,2,0,0,0,2
09/30/1970,0,2,0,0,0,2
12/31/1970,0,2,0,0,0,2
03/31/1971,0,2,0,0,0,2
06/30/1971,0,2,0,0,0,2
09/30/1971,0,2,0,0,0,2
12/31/1971,0,2,0,0,0,2
03/31/1972,0,2,0,0,0,2
06/30/1972,0,2,0,0,0,2
09/30/1972,0,2,0,0,0,2
12/31/1972,0,2,0,0,0,2
03/31/1973,0,2,0,0,0,2
06/30/1973,0,2,0,0,0,2
09/30/1973,0,2,0,0,0,2
12/31/1973,0,2,0,0,0,2
03/31/1974,0,2,0,0,0,2
06/30/1974,0,2,0,0,0,2
09/30/1974,0,2,0,0,0,2
12/31/1974,0,2,0,0,0,2
03/31/1975,0,2,0,0,0,2
06/30/1975,0,2,0,0,0,2
09/30/1975,0,2,0,0,0,2
12/31/1975,0,2,0,0,0,2
03/31/1976,0,2,0,0,0,2
