Up/Down,Upgrade,Same,Downgrade,Defaulted,Non-Rated,Totals
01/31/1981,0,217,8,0,1,226
02/28/1981,0,220,7,0,0,227
03/31/1981,2,223,4,0,1,230
04/30/1981,4,220,4,0,2,230
05/31/1981,0,230,0,0,1,231
06/30/1981,3,224,3,0,0,230
07/31/1981,1,227,2,0,1,231
08/31/1981,0,229,2,0,0,231
09/30/1981,1,231,1,0,1,234
10/31/1981,1,232,2,0,0,235
11/30/1981,0,236,0,0,0,236
12/31/1981,0,234,2,0,0,236
01/31/1982,2,236,1,1,0,240
02/28/1982,0,237,0,1,1,239
03/31/1982,0,233,2,0,2,237
04/30/1982,0,231,1,2,2,236
05/31/1982,0,230,2,0,0,232
06/30/1982,1,229,1,0,1,232
07/31/1982,0,228,3,0,1,232
08/31/1982,0,230,1,0,1,232
09/30/1982,0,230,1,0,0,231
10/31/1982,1,229,3,0,0,233
11/30/1982,1,231,3,0,3,238
12/31/1982,1,232,0,0,7,240
01/31/1983,1,229,4,0,4,238
02/28/1983,0,236,0,0,0,236
03/31/1983,0,233,2,0,1,236
04/30/1983,2,233,2,2,2,241
05/31/1983,2,236,0,0,0,238
06/30/1983,0,234,2,0,3,239
07/31/1983,1,235,0,1,0,237
08/31/1983,1,233,1,0,2,237
09/30/1983,1,235,2,0,0,238
10/31/1983,1,236,0,0,1,238
11/30/1983,1,235,0,0,2,238
12/31/1983,1,234,1,0,1,237
01/31/1984,0,239,0,0,1,240
02/29/1984,0,242,1,0,0,243
03/31/1984,1,239,1,1,1,243
04/30/1984,2,237,1,0,2,242
05/31/1984,1,239,0,0,1,241
06/30/1984,4,233,2,0,3,242
07/31/1984,2,239,0,0,1,242
08/31/1984,0,239,2,0,0,241
09/30/1984,0,243,0,0,2,245
10/31/1984,2,245,0,0,1,248
11/30/1984,0,251,1,0,1,253
12/31/1984,1,248,3,0,2,254
01/31/1985,0,245,4,0,6,255
02/28/1985,0,255,1,1,0,257
03/31/1985,0,256,0,1,0,257
04/30/1985,0,261,0,0,2,263
05/31/1985,0,263,0,0,1,264
06/30/1985,3,258,6,0,2,269
07/31/1985,0,268,4,0,1,273
08/31/1985,1,274,2,0,0,277
09/30/1985,0,280,0,0,0,280
10/31/1985,1,274,6,1,1,283
11/30/1985,0,282,2,0,3,287
12/31/1985,2,283,1,0,0,286
01/31/1986,0,278,3,0,8,289
02/28/1986,0,279,2,0,1,282
03/31/1986,0,275,6,1,0,282
04/30/1986,1,282,0,0,2,285
05/31/1986,0,280,4,0,2,286
06/30/1986,3,279,0,0,5,287
07/31/1986,1,271,10,0,4,286
08/31/1986,4,284,1,0,1,290
09/30/1986,0,291,0,0,0,291
10/31/1986,1,292,2,0,1,296
11/30/1986,1,291,4,0,1,297
12/31/1986,1,296,2,0,6,305
01/31/1987,0,303,0,0,2,305
02/28/1987,0,300,1,0,4,305
03/31/1987,1,301,0,0,4,306
04/30/1987,1,306,1,1,5,314
05/31/1987,0,310,1,0,6,317
06/30/1987,0,311,3,0,2,316
07/31/1987,3,309,1,1,4,318
08/31/1987,0,322,1,0,1,324
09/30/1987,0,319,3,0,1,323
10/31/1987,0,323,0,0,3,326
11/30/1987,0,319,3,0,4,326
12/31/1987,1,313,1,1,6,322
01/31/1988,2,309,0,0,4,315
02/29/1988,0,307,1,3,1,312
03/31/1988,4,298,2,0,4,308
04/30/1988,0,298,8,1,3,310
05/31/1988,0,303,0,1,4,308
06/30/1988,0,300,5,0,2,307
07/31/1988,3,301,3,1,0,308
08/31/1988,0,307,2,0,2,311
09/30/1988,0,309,2,0,0,311
10/31/1988,0,313,4,0,3,320
11/30/1988,0,309,8,0,4,321
12/31/1988,1,315,1,0,2,319
01/31/1989,1,315,1,0,1,318
02/28/1989,1,316,0,0,2,319
03/31/1989,2,308,5,0,2,317
04/30/1989,1,315,0,0,1,317
05/31/1989,0,316,0,0,4,320
06/30/1989,0,313,0,1,9,323
07/31/1989,1,309,0,0,6,316
08/31/1989,2,308,2,1,2,315
09/30/1989,1,312,0,0,0,313
10/31/1989,1,314,2,1,0,318
11/30/1989,4,306,1,1,7,319
12/31/1989,0,305,3,0,3,311
01/31/1990,0,303,0,3,3,309
02/28/1990,2,292,5,0,5,304
03/31/1990,1,294,3,0,2,300
04/30/1990,0,295,1,1,1,298
05/31/1990,2,290,2,1,2,297
06/30/1990,0,292,3,1,1,297
07/31/1990,0,287,4,1,3,295
08/31/1990,5,279,1,2,6,293
09/30/1990,1,281,1,2,2,287
10/31/1990,0,278,1,2,2,283
11/30/1990,1,274,2,2,2,281
12/31/1990,0,274,4,0,0,278
01/31/1991,0,274,1,3,1,279
02/28/1991,2,266,4,3,1,276
03/31/1991,1,270,1,1,0,273
04/30/1991,0,274,0,0,3,277
05/31/1991,0,272,3,1,1,277
06/30/1991,2,273,0,2,1,278
07/31/1991,3,269,1,2,1,276
08/31/1991,0,273,0,0,1,274
09/30/1991,0,273,1,0,1,275
10/31/1991,0,273,1,2,0,276
11/30/1991,2,271,1,1,1,276
12/31/1991,5,269,0,2,0,276
01/31/1992,1,271,1,1,1,275
02/29/1992,4,268,1,1,0,274
03/31/1992,5,271,1,0,1,278
04/30/1992,3,278,2,0,3,286
05/31/1992,0,281,4,0,0,285
06/30/1992,2,283,0,0,2,287
07/31/1992,0,288,1,1,0,290
08/31/1992,1,292,0,0,1,294
09/30/1992,0,289,1,2,1,293
10/31/1992,1,288,2,2,3,296
11/30/1992,2,284,1,1,6,294
12/31/1992,0,286,0,0,4,290
01/31/1993,2,284,1,0,1,288
02/28/1993,0,289,0,2,1,292
03/31/1993,0,289,3,0,3,295
04/30/1993,2,286,0,0,7,295
05/31/1993,2,286,1,0,0,289
06/30/1993,4,291,1,0,2,298
07/31/1993,2,295,0,0,3,300
08/31/1993,0,304,1,0,1,306
09/30/1993,2,299,2,0,5,308
10/31/1993,1,301,0,0,11,313
11/30/1993,1,308,3,0,3,315
12/31/1993,1,309,0,0,7,317
01/31/1994,2,308,1,1,1,313
02/28/1994,1,312,0,0,2,315
03/31/1994,0,313,0,0,2,315
04/30/1994,1,312,2,0,1,316
05/31/1994,0,318,0,0,0,318
06/30/1994,0,322,1,0,1,324
07/31/1994,2,315,4,0,3,324
08/31/1994,0,322,1,2,0,325
09/30/1994,0,324,1,0,0,325
10/31/1994,1,325,1,0,1,328
11/30/1994,2,324,4,0,1,331
12/31/1994,1,327,2,1,1,332
01/31/1995,0,326,2,2,2,332
02/28/1995,1,322,3,0,3,329
03/31/1995,2,320,3,0,3,328
04/30/1995,0,330,0,0,1,331
05/31/1995,3,330,5,1,1,340
06/30/1995,2,335,2,1,3,343
07/31/1995,0,335,0,1,7,343
08/31/1995,0,333,3,3,0,339
09/30/1995,0,339,2,0,2,343
10/31/1995,2,340,3,0,4,349
11/30/1995,4,338,4,0,1,347
12/31/1995,0,343,4,3,1,351
01/31/1996,1,342,5,1,0,349
02/29/1996,0,342,3,1,5,351
03/31/1996,0,348,2,1,2,353
04/30/1996,3,343,2,0,5,353
05/31/1996,2,347,1,0,2,352
06/30/1996,0,353,2,0,2,357
07/31/1996,1,356,0,1,5,363
08/31/1996,1,355,0,0,3,359
09/30/1996,0,351,5,0,3,359
10/31/1996,2,364,0,1,0,367
11/30/1996,3,366,3,1,1,374
12/31/1996,1,374,2,0,2,379
01/31/1997,0,373,3,0,7,383
02/28/1997,2,377,3,0,1,383
03/31/1997,2,379,2,0,1,384
04/30/1997,5,383,1,0,2,391
05/31/1997,4,383,3,0,4,394
06/30/1997,1,392,1,0,2,396
07/31/1997,2,391,3,4,3,403
08/31/1997,0,392,4,0,2,398
09/30/1997,1,395,2,2,2,402
10/31/1997,1,402,1,0,2,406
11/30/1997,0,405,4,2,2,413
12/31/1997,0,409,7,1,4,421
01/31/1998,3,414,4,2,2,425
02/28/1998,5,411,5,2,6,429
03/31/1998,2,421,1,2,1,427
04/30/1998,2,432,3,0,2,439
05/31/1998,2,443,3,0,3,451
06/30/1998,4,453,1,0,0,458
07/31/1998,0,468,0,0,1,469
08/31/1998,0,469,2,0,3,474
09/30/1998,0,475,1,1,2,479
10/31/1998,1,474,4,1,1,481
11/30/1998,2,469,1,0,7,479
12/31/1998,0,469,0,3,3,475
01/31/1999,2,453,9,3,4,471
02/28/1999,3,461,2,0,1,467
03/31/1999,0,460,6,1,6,473
04/30/1999,0,454,7,2,9,472
05/31/1999,0,462,3,4,1,470
06/30/1999,4,458,3,1,4,470
07/31/1999,0,469,4,0,1,474
08/31/1999,0,478,2,0,1,481
09/30/1999,2,473,4,2,4,485
10/31/1999,1,473,5,1,4,484
11/30/1999,2,469,6,1,4,482
12/31/1999,0,476,2,2,1,481
01/31/2000,0,469,7,3,3,482
02/29/2000,0,470,8,2,1,481
03/31/2000,5,468,8,1,0,482
04/30/2000,0,480,3,2,1,486
05/31/2000,1,477,6,1,1,486
06/30/2000,1,484,0,5,0,490
07/31/2000,2,483,3,0,0,488
08/31/2000,1,478,6,2,2,489
09/30/2000,1,481,2,1,3,488
10/31/2000,2,475,3,2,6,488
11/30/2000,3,468,9,5,0,485
12/31/2000,2,464,10,4,7,487
01/31/2001,0,471,4,4,0,479
