Up/Down,Upgrade,Same,Downgrade,Defaulted,Non-Rated,Totals
01/31/1981,1,108,7,0,0,116
02/28/1981,1,116,0,0,0,117
03/31/1981,0,116,1,0,0,117
04/30/1981,0,116,2,0,0,118
05/31/1981,0,116,1,0,1,118
06/30/1981,1,116,0,0,0,117
07/31/1981,0,118,0,0,0,118
08/31/1981,0,117,1,0,0,118
09/30/1981,0,119,0,0,0,119
10/31/1981,0,120,0,0,0,120
11/30/1981,0,119,1,0,0,120
12/31/1981,2,119,0,0,0,121
01/31/1982,0,117,4,0,2,123
02/28/1982,1,120,0,0,0,121
03/31/1982,0,120,0,0,1,121
04/30/1982,0,119,0,0,1,120
05/31/1982,0,119,0,0,0,119
06/30/1982,0,119,0,0,1,120
07/31/1982,0,118,0,0,1,119
08/31/1982,0,116,2,0,1,119
09/30/1982,0,118,1,0,1,120
10/31/1982,1,118,1,0,0,120
11/30/1982,1,117,1,0,4,123
12/31/1982,0,114,3,1,1,119
01/31/1983,0,118,0,0,0,118
02/28/1983,0,117,1,0,0,118
03/31/1983,2,116,1,0,0,119
04/30/1983,0,124,2,0,1,127
05/31/1983,0,126,0,0,0,126
06/30/1983,0,123,5,0,1,129
07/31/1983,0,129,1,0,0,130
08/31/1983,1,128,0,0,1,130
09/30/1983,0,129,0,1,0,130
10/31/1983,0,128,1,0,0,129
11/30/1983,0,121,6,2,0,129
12/31/1983,0,126,0,0,1,127
01/31/1984,0,125,0,0,2,127
02/29/1984,2,123,0,1,0,126
03/31/1984,0,122,3,0,0,125
04/30/1984,0,116,5,2,2,125
05/31/1984,0,118,2,1,1,122
06/30/1984,1,118,1,0,0,120
07/31/1984,0,120,1,1,0,122
08/31/1984,0,119,2,0,0,121
09/30/1984,1,120,1,0,0,122
10/31/1984,0,120,1,2,0,123
11/30/1984,0,122,0,0,0,122
12/31/1984,0,121,0,0,2,123
01/31/1985,1,119,0,1,1,122
02/28/1985,0,124,1,0,0,125
03/31/1985,0,120,1,1,3,125
04/30/1985,0,119,1,0,1,121
05/31/1985,0,112,6,1,1,120
06/30/1985,0,115,2,0,1,118
07/31/1985,0,114,2,0,1,117
08/31/1985,0,115,0,2,0,117
09/30/1985,0,115,0,0,0,115
10/31/1985,0,116,0,0,0,116
11/30/1985,0,115,1,0,1,117
12/31/1985,0,115,3,0,0,118
01/31/1986,0,115,0,1,3,119
02/28/1986,0,116,1,0,0,117
03/31/1986,0,114,2,2,0,118
04/30/1986,2,109,2,2,2,117
05/31/1986,0,108,3,1,1,113
06/30/1986,1,107,2,2,0,112
07/31/1986,3,90,18,2,0,113
08/31/1986,0,109,2,0,3,114
09/30/1986,0,109,0,1,1,111
10/31/1986,0,107,1,0,1,109
11/30/1986,1,105,2,0,0,108
12/31/1986,0,108,0,1,1,110
01/31/1987,1,104,0,1,5,111
02/28/1987,0,102,2,1,1,106
03/31/1987,3,101,0,0,1,105
04/30/1987,0,102,0,3,2,107
05/31/1987,0,103,0,0,1,104
06/30/1987,1,101,1,0,0,103
07/31/1987,1,99,1,0,2,103
08/31/1987,1,101,0,0,0,102
09/30/1987,0,102,0,0,0,102
10/31/1987,2,98,0,0,2,102
11/30/1987,0,100,0,0,0,100
12/31/1987,0,100,0,0,0,100
01/31/1988,0,100,0,0,2,102
02/29/1988,0,94,0,2,4,100
03/31/1988,1,89,1,0,3,94
04/30/1988,4,85,1,0,1,91
05/31/1988,3,86,0,0,3,92
06/30/1988,0,90,0,0,0,90
07/31/1988,0,89,2,0,0,91
08/31/1988,1,89,0,0,1,91
09/30/1988,1,90,0,0,0,91
10/31/1988,1,88,1,0,2,92
11/30/1988,0,90,0,0,0,90
12/31/1988,0,89,0,0,1,90
01/31/1989,1,87,0,0,1,89
02/28/1989,4,87,0,0,0,91
03/31/1989,1,89,1,0,1,92
04/30/1989,0,93,0,0,0,93
05/31/1989,0,92,1,0,0,93
06/30/1989,0,91,0,0,2,93
07/31/1989,0,92,0,0,0,92
08/31/1989,0,92,0,0,1,93
09/30/1989,0,89,1,0,2,92
10/31/1989,0,91,1,0,0,92
11/30/1989,0,92,0,0,1,93
12/31/1989,0,92,0,0,0,92
01/31/1990,0,91,0,0,1,92
02/28/1990,0,89,2,0,1,92
03/31/1990,0,89,1,0,1,91
04/30/1990,0,93,0,0,0,93
05/31/1990,0,93,1,0,0,94
06/30/1990,1,93,0,0,0,94
07/31/1990,0,94,0,0,1,95
08/31/1990,2,92,0,0,0,94
09/30/1990,0,93,0,0,1,94
10/31/1990,1,92,0,0,0,93
11/30/1990,0,92,1,0,1,94
12/31/1990,0,93,0,0,0,93
01/31/1991,0,92,0,0,1,93
02/28/1991,0,90,2,0,0,92
03/31/1991,0,92,0,0,0,92
04/30/1991,1,91,0,0,0,92
05/31/1991,0,90,1,0,1,92
06/30/1991,0,89,2,0,0,91
07/31/1991,0,91,0,0,0,91
08/31/1991,0,91,0,0,0,91
09/30/1991,0,92,0,0,0,92
10/31/1991,1,92,0,0,0,93
11/30/1991,0,95,0,1,0,96
12/31/1991,0,98,1,1,0,100
01/31/1992,0,98,1,0,0,99
02/29/1992,0,95,3,0,1,99
03/31/1992,0,98,0,0,0,98
04/30/1992,0,99,0,0,0,99
05/31/1992,0,99,0,0,0,99
06/30/1992,0,100,0,0,0,100
07/31/1992,1,100,1,0,0,102
08/31/1992,0,102,1,1,0,104
09/30/1992,0,105,0,0,0,105
10/31/1992,1,106,0,0,0,107
11/30/1992,0,105,1,0,2,108
12/31/1992,0,108,0,0,1,109
01/31/1993,0,107,2,0,0,109
02/28/1993,0,109,0,0,0,109
03/31/1993,0,109,0,1,0,110
04/30/1993,1,111,0,0,1,113
05/31/1993,0,110,3,0,1,114
06/30/1993,0,115,0,1,0,116
07/31/1993,0,116,0,0,1,117
08/31/1993,2,118,0,0,1,121
09/30/1993,1,118,2,0,1,122
10/31/1993,0,120,0,0,1,121
11/30/1993,1,121,0,0,0,122
12/31/1993,0,119,0,0,4,123
01/31/1994,0,122,0,0,0,122
02/28/1994,0,125,0,0,0,125
03/31/1994,0,121,1,0,3,125
04/30/1994,0,123,1,0,2,126
05/31/1994,0,124,0,0,2,126
06/30/1994,0,127,0,0,0,127
07/31/1994,0,127,1,0,0,128
08/31/1994,0,129,0,0,0,129
09/30/1994,0,129,1,0,1,131
10/31/1994,1,127,1,0,1,130
11/30/1994,0,129,1,0,1,131
12/31/1994,0,132,0,0,0,132
01/31/1995,0,133,0,0,1,134
02/28/1995,0,132,0,0,1,133
03/31/1995,1,132,1,0,0,134
04/30/1995,0,137,0,0,0,137
05/31/1995,1,139,0,1,0,141
06/30/1995,2,137,1,0,2,142
07/31/1995,0,142,0,0,1,143
08/31/1995,0,142,0,0,1,143
09/30/1995,0,141,0,0,1,142
10/31/1995,1,141,0,0,0,142
11/30/1995,0,143,0,0,0,143
12/31/1995,1,146,0,0,0,147
01/31/1996,0,147,0,0,1,148
02/29/1996,0,146,1,1,0,148
03/31/1996,1,148,0,0,0,149
04/30/1996,0,149,0,0,0,149
05/31/1996,1,149,0,0,0,150
06/30/1996,0,153,1,0,0,154
07/31/1996,2,152,0,0,1,155
08/31/1996,2,152,0,0,1,155
09/30/1996,0,155,1,0,0,156
10/31/1996,1,157,0,0,0,158
11/30/1996,2,162,0,0,0,164
12/31/1996,2,165,0,0,0,167
01/31/1997,0,169,0,0,0,169
02/28/1997,0,170,0,0,2,172
03/31/1997,0,173,0,0,0,173
04/30/1997,2,174,0,0,0,176
05/31/1997,3,171,0,0,4,178
06/30/1997,0,176,1,0,4,181
07/31/1997,0,179,0,0,3,182
08/31/1997,1,177,0,0,2,180
09/30/1997,1,181,0,0,0,182
10/31/1997,1,185,1,0,3,190
11/30/1997,1,190,1,0,0,192
12/31/1997,1,190,1,0,1,193
01/31/1998,0,192,1,0,0,193
02/28/1998,0,196,0,0,0,196
03/31/1998,2,198,1,0,0,201
04/30/1998,3,196,2,0,2,203
05/31/1998,1,200,0,0,3,204
06/30/1998,1,203,0,0,1,205
07/31/1998,1,208,4,0,0,213
08/31/1998,0,209,2,0,4,215
09/30/1998,0,211,1,0,0,212
10/31/1998,1,216,0,0,1,218
11/30/1998,0,216,2,1,1,220
12/31/1998,1,208,5,1,3,218
01/31/1999,0,210,3,0,1,214
02/28/1999,0,211,3,0,0,214
03/31/1999,1,204,6,2,3,216
04/30/1999,1,199,8,2,3,213
05/31/1999,0,201,5,1,3,210
06/30/1999,0,201,6,1,1,209
07/31/1999,0,204,0,2,3,209
08/31/1999,0,199,1,2,4,206
09/30/1999,3,194,1,0,2,200
10/31/1999,0,199,2,1,0,202
11/30/1999,3,194,3,1,0,201
12/31/1999,0,197,0,1,2,200
01/31/2000,0,198,1,0,1,200
