Up/Down,Upgrade,Same,Downgrade,Defaulted,Non-Rated,Totals
01/31/1981,0,86,1,0,0,87
02/28/1981,1,86,0,0,0,87
03/31/1981,1,85,1,0,0,87
04/30/1981,0,89,0,0,0,89
05/31/1981,0,89,0,0,0,89
06/30/1981,1,88,0,0,0,89
07/31/1981,0,89,2,0,0,91
08/31/1981,2,89,0,0,0,91
09/30/1981,0,88,3,0,0,91
10/31/1981,0,90,1,0,0,91
11/30/1981,0,90,1,0,0,91
12/31/1981,0,89,0,0,2,91
01/31/1982,1,87,1,0,1,90
02/28/1982,0,94,1,0,0,95
03/31/1982,1,95,0,0,0,96
04/30/1982,0,95,2,0,0,97
05/31/1982,0,98,0,0,0,98
06/30/1982,0,98,0,0,0,98
07/31/1982,0,95,5,0,0,100
08/31/1982,0,99,3,0,0,102
09/30/1982,0,104,2,1,0,107
10/31/1982,0,107,0,0,0,107
11/30/1982,1,106,2,0,0,109
12/31/1982,0,111,1,0,1,113
01/31/1983,0,113,1,0,1,115
02/28/1983,0,116,0,0,0,116
03/31/1983,0,114,3,0,0,117
04/30/1983,0,121,0,0,2,123
05/31/1983,0,124,0,0,0,124
06/30/1983,0,125,0,0,0,125
07/31/1983,2,123,0,0,1,126
08/31/1983,0,125,1,0,0,126
09/30/1983,1,128,0,0,0,129
10/31/1983,1,127,3,0,0,131
11/30/1983,0,129,2,0,2,133
12/31/1983,0,133,0,0,0,133
01/31/1984,1,126,8,0,0,135
02/29/1984,0,136,0,0,0,136
03/31/1984,0,138,0,0,0,138
04/30/1984,1,134,4,0,0,139
05/31/1984,0,138,1,0,0,139
06/30/1984,0,139,1,0,0,140
07/31/1984,0,138,2,0,0,140
08/31/1984,0,141,0,0,1,142
09/30/1984,0,143,0,0,0,143
10/31/1984,1,143,4,0,0,148
11/30/1984,2,149,0,0,0,151
12/31/1984,0,154,0,0,0,154
01/31/1985,1,154,0,0,0,155
02/28/1985,0,167,0,0,0,167
03/31/1985,2,166,4,0,0,172
04/30/1985,0,172,0,0,1,173
05/31/1985,1,172,1,0,1,175
06/30/1985,0,178,1,0,1,180
07/31/1985,3,178,2,0,1,184
08/31/1985,1,219,0,0,0,220
09/30/1985,0,223,1,0,0,224
10/31/1985,1,225,0,0,0,226
11/30/1985,0,227,0,0,1,228
12/31/1985,0,230,1,0,1,232
01/31/1986,0,229,0,0,4,233
02/28/1986,0,232,0,0,2,234
03/31/1986,0,232,2,0,0,234
04/30/1986,2,229,5,0,0,236
05/31/1986,1,235,1,0,0,237
06/30/1986,0,238,2,0,1,241
07/31/1986,0,240,3,0,0,243
08/31/1986,0,242,0,0,1,243
09/30/1986,0,241,4,0,1,246
10/31/1986,1,243,2,0,0,246
11/30/1986,1,247,1,0,1,250
12/31/1986,1,250,1,0,0,252
01/31/1987,0,257,3,0,0,260
02/28/1987,0,263,0,0,0,263
03/31/1987,2,259,6,0,0,267
04/30/1987,3,269,0,0,0,272
05/31/1987,3,272,4,0,1,280
06/30/1987,1,277,0,0,2,280
07/31/1987,0,277,4,0,1,282
08/31/1987,1,282,2,0,2,287
09/30/1987,0,285,1,0,2,288
10/31/1987,2,285,3,0,0,290
11/30/1987,2,291,0,0,0,293
12/31/1987,0,288,6,0,0,294
01/31/1988,0,295,2,0,1,298
02/29/1988,1,291,8,0,2,302
03/31/1988,1,300,2,0,1,304
04/30/1988,3,303,0,0,1,307
05/31/1988,1,302,3,1,0,307
06/30/1988,1,303,3,0,2,309
07/31/1988,0,303,6,0,3,312
08/31/1988,2,308,2,0,0,312
09/30/1988,4,309,0,2,1,316
10/31/1988,3,308,2,2,2,317
11/30/1988,0,312,0,0,2,314
12/31/1988,2,314,1,0,1,318
01/31/1989,0,317,1,1,0,319
02/28/1989,1,316,2,1,1,321
03/31/1989,1,315,2,0,3,321
04/30/1989,2,315,5,0,0,322
05/31/1989,0,324,4,0,0,328
06/30/1989,1,323,2,2,3,331
07/31/1989,1,328,1,0,0,330
08/31/1989,2,326,3,0,1,332
09/30/1989,1,330,2,2,0,335
10/31/1989,0,333,4,1,0,338
11/30/1989,0,337,2,0,0,339
12/31/1989,0,330,8,1,2,341
01/31/1990,1,332,5,1,3,342
02/28/1990,0,337,4,0,0,341
03/31/1990,0,329,11,1,1,342
04/30/1990,0,333,6,0,1,340
05/31/1990,0,331,7,0,1,339
06/30/1990,1,334,4,0,0,339
07/31/1990,0,329,10,0,0,339
08/31/1990,0,339,6,2,1,348
09/30/1990,0,344,3,0,1,348
10/31/1990,0,344,7,0,0,351
11/30/1990,0,347,5,0,2,354
12/31/1990,1,343,9,0,1,354
01/31/1991,0,340,16,1,0,357
02/28/1991,0,342,14,0,4,360
03/31/1991,1,354,3,2,0,360
04/30/1991,0,354,4,1,0,359
05/31/1991,0,358,3,0,0,361
06/30/1991,0,357,3,1,2,363
07/31/1991,0,355,4,0,1,360
08/31/1991,0,358,2,0,1,361
09/30/1991,0,357,2,2,2,363
10/31/1991,1,356,5,0,1,363
11/30/1991,0,364,1,0,0,365
12/31/1991,1,362,0,0,4,367
01/31/1992,0,359,4,1,1,365
02/29/1992,1,364,1,0,1,367
03/31/1992,2,358,7,1,1,369
04/30/1992,1,367,0,0,2,370
05/31/1992,1,368,0,2,1,372
06/30/1992,2,367,2,0,0,371
07/31/1992,4,366,2,1,1,374
08/31/1992,0,366,4,0,2,372
09/30/1992,1,372,1,1,0,375
10/31/1992,1,371,2,0,2,376
11/30/1992,1,376,1,0,0,378
12/31/1992,0,375,3,1,1,380
01/31/1993,2,378,0,0,2,382
02/28/1993,0,373,10,0,2,385
03/31/1993,3,373,6,0,2,384
04/30/1993,3,378,3,0,1,385
05/31/1993,0,387,0,0,1,388
06/30/1993,3,383,1,0,2,389
07/31/1993,1,389,1,0,0,391
08/31/1993,1,390,0,1,0,392
09/30/1993,3,390,1,0,1,395
10/31/1993,4,393,1,0,2,400
11/30/1993,2,399,0,0,1,402
12/31/1993,2,404,0,0,2,408
01/31/1994,4,414,1,0,0,419
02/28/1994,2,421,0,0,1,424
03/31/1994,0,420,8,0,2,430
04/30/1994,0,432,1,0,1,434
05/31/1994,2,436,0,0,0,438
06/30/1994,0,445,1,0,3,449
07/31/1994,0,448,0,0,2,450
08/31/1994,0,454,1,0,1,456
09/30/1994,1,454,0,0,4,459
10/31/1994,2,454,0,0,4,460
11/30/1994,1,452,4,0,4,461
12/31/1994,0,506,1,0,0,507
01/31/1995,0,507,1,0,3,511
02/28/1995,0,506,2,0,1,509
03/31/1995,1,504,6,0,1,512
04/30/1995,0,514,4,0,1,519
05/31/1995,0,522,2,0,1,525
06/30/1995,2,533,0,0,0,535
07/31/1995,2,533,3,0,0,538
08/31/1995,1,540,1,0,0,542
09/30/1995,0,543,3,0,0,546
10/31/1995,9,539,2,2,1,553
11/30/1995,3,549,1,0,2,555
12/31/1995,3,542,6,0,6,557
01/31/1996,1,552,0,0,3,556
02/29/1996,1,548,7,0,2,558
03/31/1996,0,556,0,0,5,561
04/30/1996,0,546,1,0,11,558
05/31/1996,0,550,0,0,5,555
06/30/1996,2,550,3,0,1,556
07/31/1996,1,553,2,0,5,561
08/31/1996,1,557,0,0,2,560
09/30/1996,7,564,0,0,1,572
10/31/1996,0,576,0,0,2,578
11/30/1996,0,577,0,0,6,583
12/31/1996,8,573,4,0,4,589
01/31/1997,1,588,2,0,3,594
02/28/1997,1,603,3,0,1,608
03/31/1997,1,615,4,0,1,621
04/30/1997,3,619,0,0,4,626
05/31/1997,1,622,1,0,5,629
06/30/1997,0,626,1,0,3,630
07/31/1997,2,627,0,0,6,635
08/31/1997,0,640,1,0,1,642
09/30/1997,0,647,2,0,1,650
10/31/1997,5,645,4,0,3,657
11/30/1997,0,653,3,0,6,662
12/31/1997,1,654,12,0,4,671
01/31/1998,0,660,7,0,5,672
02/28/1998,1,651,13,0,3,668
03/31/1998,3,645,10,0,11,669
04/30/1998,0,654,1,0,5,660
05/31/1998,5,640,6,0,10,661
06/30/1998,0,653,1,0,10,664
07/31/1998,4,649,4,0,8,665
08/31/1998,2,640,7,6,4,659
09/30/1998,1,633,7,0,13,654
10/31/1998,2,617,13,3,10,645
11/30/1998,0,622,8,0,10,640
12/31/1998,1,616,14,0,5,636
01/31/1999,1,628,2,0,7,638
02/28/1999,1,632,2,0,3,638
03/31/1999,0,635,4,1,1,641
04/30/1999,2,633,1,0,6,642
05/31/1999,4,631,1,0,5,641
06/30/1999,1,631,2,0,4,638
07/31/1999,4,635,4,0,0,643
08/31/1999,0,648,0,0,5,653
09/30/1999,1,649,0,0,5,655
10/31/1999,0,648,6,0,7,661
11/30/1999,1,655,3,0,5,664
12/31/1999,3,655,1,0,3,662
01/31/2000,2,658,3,0,4,667
02/29/2000,0,669,0,0,0,669
03/31/2000,1,672,1,1,0,675
04/30/2000,4,669,2,0,4,679
05/31/2000,2,671,1,0,4,678
06/30/2000,1,677,1,0,3,682
07/31/2000,3,682,2,0,4,691
08/31/2000,0,689,2,0,1,692
09/30/2000,0,692,3,0,2,697
10/31/2000,4,689,4,0,5,702
11/30/2000,2,694,1,0,4,701
12/31/2000,3,696,3,0,4,706
01/31/2001,2,699,3,0,5,709
02/28/2001,1,689,9,2,6,707
03/31/2001,0,692,7,0,5,704
04/30/2001,1,695,5,0,6,707
05/31/2001,0,705,1,1,1,708
06/30/2001,2,702,3,0,4,711
07/31/2001,2,710,2,3,2,719
08/31/2001,5,709,2,0,7,723
09/30/2001,3,707,1,0,10,721
10/31/2001,0,707,16,0,3,726
11/30/2001,4,729,1,0,1,735
12/31/2001,3,723,3,7,4,740
01/31/2002,2,728,1,0,4,735
02/28/2002,0,735,1,0,2,738
03/31/2002,1,729,2,0,6,738
04/30/2002,1,728,3,1,3,736
05/31/2002,0,729,9,0,4,742
06/30/2002,0,738,2,0,5,745
07/31/2002,4,733,4,0,3,744
08/31/2002,0,737,4,1,4,746
09/30/2002,7,725,11,0,2,745
10/31/2002,3,741,6,0,3,753
11/30/2002,4,742,6,0,2,754
12/31/2002,2,749,6,1,3,761
01/31/2003,1,755,3,0,0,759
02/28/2003,0,754,5,0,2,761
03/31/2003,5,748,1,1,6,761
04/30/2003,5,746,4,0,4,759
05/31/2003,1,752,1,0,5,759
06/30/2003,5,747,5,0,1,758
07/31/2003,2,751,3,0,7,763
08/31/2003,1,756,0,1,1,759
09/30/2003,5,753,1,0,1,760
10/31/2003,6,756,2,0,4,768
11/30/2003,1,780,2,0,7,790
12/31/2003,3,777,1,0,7,788
01/31/2004,1,787,0,0,5,793
02/29/2004,0,789,1,0,1,791
03/31/2004,1,787,1,0,6,795
04/30/2004,2,789,0,0,4,795
05/31/2004,1,792,2,0,3,798
06/30/2004,6,792,0,0,4,802
07/31/2004,2,800,1,0,9,812
08/31/2004,4,803,2,0,2,811
09/30/2004,1,808,1,0,3,813
10/31/2004,1,810,0,0,6,817
11/30/2004,3,811,2,0,3,819
12/31/2004,11,799,5,0,2,817
01/31/2005,10,804,0,0,7,821
02/28/2005,3,818,3,0,1,825
03/31/2005,2,825,0,0,1,828
04/30/2005,4,819,3,0,2,828
05/31/2005,7,819,2,0,5,833
06/30/2005,5,826,0,0,2,833
07/31/2005,16,796,11,0,11,834
08/31/2005,7,823,0,0,2,832
09/30/2005,10,826,0,0,0,836
10/31/2005,2,831,3,1,6,843
11/30/2005,8,833,1,0,2,844
12/31/2005,6,838,1,0,3,848
01/31/2006,9,835,0,0,8,852
02/28/2006,9,844,0,0,1,854
03/31/2006,5,856,0,0,1,862
04/30/2006,2,865,0,0,1,868
05/31/2006,9,862,3,0,2,876
06/30/2006,17,866,1,0,1,885
07/31/2006,4,885,0,0,3,892
08/31/2006,6,887,0,0,4,897
09/30/2006,1,894,0,0,5,900
10/31/2006,8,893,0,0,2,903
11/30/2006,6,903,0,0,0,909
12/31/2006,6,914,1,0,1,922
01/31/2007,6,914,0,0,8,928
02/28/2007,8,919,0,0,3,930
03/31/2007,11,918,3,1,3,936
04/30/2007,5,934,0,0,2,941
05/31/2007,7,935,0,0,1,943
06/30/2007,8,936,7,0,3,954
07/31/2007,4,948,2,0,4,958
08/31/2007,2,964,4,0,1,971
09/30/2007,2,967,0,0,3,972
10/31/2007,6,963,5,1,2,977
11/30/2007,4,967,4,0,5,980
12/31/2007,5,979,1,0,4,989
01/31/2008,3,984,3,0,2,992
02/29/2008,3,984,6,0,4,997
03/31/2008,2,985,4,2,2,995
04/30/2008,10,979,3,0,3,995
05/31/2008,6,982,4,0,5,997
06/30/2008,4,986,6,1,2,999
07/31/2008,7,981,4,2,8,1002
08/31/2008,5,996,5,0,2,1008
09/30/2008,0,986,15,4,5,1010
10/31/2008,4,979,20,1,4,1008
11/30/2008,3,979,12,2,10,1006
12/31/2008,3,944,42,3,9,1001
01/31/2009,1,962,22,0,8,993
02/28/2009,4,960,18,1,3,986
03/31/2009,3,937,32,1,15,988
04/30/2009,0,939,17,5,15,976
05/31/2009,1,931,19,2,8,961
06/30/2009,0,920,30,0,4,954
07/31/2009,0,935,10,0,7,952
08/31/2009,2,932,9,5,6,954
09/30/2009,1,933,9,1,8,952
10/31/2009,1,944,2,2,3,952
11/30/2009,1,944,6,1,1,953
12/31/2009,1,943,9,1,7,961
01/31/2010,2,943,5,0,8,958
02/28/2010,0,945,4,1,4,954
03/31/2010,2,952,2,2,4,962
04/30/2010,1,939,22,0,5,967
05/31/2010,0,961,2,0,5,968
06/30/2010,1,954,6,1,4,966
07/31/2010,2,954,3,2,7,968
08/31/2010,3,957,2,2,1,965
09/30/2010,1,962,1,1,5,970
10/31/2010,0,955,4,1,5,965
11/30/2010,2,948,5,2,8,965
12/31/2010,7,948,2,0,4,961
01/31/2011,2,956,2,0,3,963
02/28/2011,1,949,9,0,2,961
03/31/2011,6,932,19,0,4,961
04/30/2011,1,959,4,2,0,966
05/31/2011,8,943,13,0,8,972
06/30/2011,0,965,5,0,3,973
07/31/2011,1,966,1,1,10,979
08/31/2011,3,957,15,0,1,976
09/30/2011,1,976,1,0,3,981
10/31/2011,1,955,19,1,7,983
11/30/2011,1,955,25,0,7,988
12/31/2011,31,887,48,1,17,984
01/31/2012,3,963,4,0,4,974
02/29/2012,1,944,24,0,11,980
03/31/2012,3,961,4,0,6,974
04/30/2012,1,960,9,1,4,975
05/31/2012,3,965,7,0,2,977
06/30/2012,1,973,4,0,6,984
07/31/2012,0,964,5,0,11,980
08/31/2012,4,955,11,0,4,974
09/30/2012,3,968,0,2,4,977
10/31/2012,1,974,6,0,4,985
11/30/2012,3,974,3,0,6,986
12/31/2012,3,975,6,0,8,992
01/31/2013,0,988,1,1,1,991
02/28/2013,0,987,5,1,8,1001
03/31/2013,2,989,6,0,0,997
04/30/2013,2,998,0,0,3,1003
05/31/2013,4,999,3,0,1,1007
06/30/2013,0,999,7,0,7,1013
07/31/2013,2,1004,8,0,5,1019
08/31/2013,1,1014,4,1,3,1023
09/30/2013,4,1011,6,0,2,1023
10/31/2013,3,1031,1,0,1,1036
11/30/2013,4,1030,5,0,6,1045
12/31/2013,2,1047,2,0,2,1053
01/31/2014,1,1052,4,0,2,1059
02/28/2014,0,1056,4,1,2,1063
03/31/2014,2,1055,3,0,6,1066
04/30/2014,2,1056,9,1,3,1071
05/31/2014,2,1074,2,0,2,1080
06/30/2014,3,1072,3,0,4,1082
07/31/2014,0,1082,4,0,3,1089
08/31/2014,0,1097,3,0,3,1103
09/30/2014,1,1103,1,0,1,1106
10/31/2014,5,1100,2,0,4,1111
11/30/2014,3,1102,4,0,7,1116
12/31/2014,13,1082,10,1,11,1117
01/31/2015,2,1102,2,0,6,1112
02/28/2015,0,1091,17,2,1,1111
03/31/2015,1,1105,7,0,0,1113
04/30/2015,2,1098,2,0,12,1114
05/31/2015,0,1104,0,0,4,1108
06/30/2015,2,1078,21,4,6,1111
07/31/2015,6,1093,4,0,7,1110
08/31/2015,3,1102,0,0,2,1107
09/30/2015,0,1089,11,2,8,1110
10/31/2015,3,1098,2,1,4,1108
11/30/2015,2,1095,5,1,8,1111
12/31/2015,6,1083,13,2,5,1109
01/31/2016,0,1104,1,1,3,1109
02/29/2016,5,1084,10,3,5,1107
03/31/2016,0,1095,9,1,1,1106
04/30/2016,1,1094,3,3,8,1109
05/31/2016,1,1095,7,0,1,1104
06/30/2016,3,1100,3,0,5,1111
07/31/2016,1,1102,1,0,4,1108
08/31/2016,7,1089,1,2,7,1106
09/30/2016,1,1104,1,0,3,1109
10/31/2016,1,1092,1,1,14,1109
11/30/2016,4,1086,2,0,8,1100
12/31/2016,2,1084,6,3,3,1098
01/31/2017,4,1088,1,0,8,1101
02/28/2017,3,1090,0,1,4,1098
