Up/Down,Upgrade,Same,Downgrade,Defaulted,Non-Rated,Totals
01/31/1981,0,63,5,0,0,68
02/28/1981,0,69,0,0,0,69
03/31/1981,0,67,2,0,0,69
04/30/1981,0,71,0,0,0,71
05/31/1981,0,71,0,0,0,71
06/30/1981,0,71,0,0,0,71
07/31/1981,0,69,1,0,1,71
08/31/1981,0,70,0,0,0,70
09/30/1981,0,70,0,0,0,70
10/31/1981,0,70,0,0,0,70
11/30/1981,0,70,0,0,0,70
12/31/1981,0,69,1,0,0,70
01/31/1982,0,69,1,0,0,70
02/28/1982,0,69,1,0,0,70
03/31/1982,0,69,1,0,0,70
04/30/1982,0,68,1,1,0,70
05/31/1982,0,68,1,0,0,69
06/30/1982,0,65,4,0,0,69
07/31/1982,0,69,0,0,0,69
08/31/1982,0,67,1,1,0,69
09/30/1982,0,66,1,0,1,68
10/31/1982,0,66,1,0,0,67
11/30/1982,0,67,0,0,1,68
12/31/1982,0,67,0,0,0,67
01/31/1983,0,64,2,0,1,67
02/28/1983,0,65,0,0,1,66
03/31/1983,0,64,1,0,0,65
04/30/1983,0,66,0,0,1,67
05/31/1983,0,67,0,0,0,67
06/30/1983,0,67,0,0,0,67
07/31/1983,0,67,0,0,0,67
08/31/1983,0,68,0,0,0,68
09/30/1983,0,69,0,0,0,69
10/31/1983,0,69,0,0,0,69
11/30/1983,0,68,0,0,1,69
12/31/1983,0,67,0,0,1,68
01/31/1984,0,67,0,0,0,67
02/29/1984,0,64,3,0,0,67
03/31/1984,1,66,0,0,1,68
04/30/1984,0,67,0,0,1,68
05/31/1984,0,67,0,0,0,67
06/30/1984,0,67,0,0,0,67
07/31/1984,0,65,1,1,0,67
08/31/1984,0,66,0,0,0,66
09/30/1984,0,65,1,0,0,66
10/31/1984,0,66,1,0,0,67
11/30/1984,0,68,0,0,0,68
12/31/1984,0,68,0,0,0,68
01/31/1985,0,72,0,0,0,72
02/28/1985,1,72,0,0,0,73
03/31/1985,1,69,3,0,0,73
04/30/1985,0,73,0,0,1,74
05/31/1985,0,75,0,0,0,75
06/30/1985,0,72,1,0,3,76
07/31/1985,0,72,0,0,1,73
08/31/1985,0,72,1,0,0,73
09/30/1985,0,69,4,0,0,73
10/31/1985,0,73,0,0,0,73
11/30/1985,0,73,0,0,0,73
12/31/1985,1,71,2,0,0,74
01/31/1986,0,71,0,0,3,74
02/28/1986,0,72,0,0,0,72
03/31/1986,0,72,1,0,0,73
04/30/1986,0,73,0,0,0,73
05/31/1986,0,71,1,0,1,73
06/30/1986,0,72,0,1,0,73
07/31/1986,0,73,2,0,0,75
08/31/1986,0,79,0,0,0,79
09/30/1986,0,80,0,0,1,81
10/31/1986,1,79,1,0,0,81
11/30/1986,0,83,0,0,0,83
12/31/1986,1,82,1,0,0,84
01/31/1987,1,84,0,0,1,86
02/28/1987,0,83,1,0,1,85
03/31/1987,2,83,1,0,0,86
04/30/1987,0,90,1,0,0,91
05/31/1987,0,91,0,0,1,92
06/30/1987,0,93,0,0,2,95
07/31/1987,0,94,0,0,0,94
08/31/1987,1,91,1,0,1,94
09/30/1987,0,92,0,1,0,93
10/31/1987,0,93,1,0,0,94
11/30/1987,1,92,0,0,1,94
12/31/1987,0,93,0,0,1,94
01/31/1988,1,91,1,0,0,93
02/29/1988,0,90,2,0,1,93
03/31/1988,0,88,3,0,1,92
04/30/1988,0,92,0,0,1,93
05/31/1988,0,88,4,1,0,93
06/30/1988,2,88,2,0,0,92
07/31/1988,0,88,0,0,4,92
08/31/1988,0,88,0,0,0,88
09/30/1988,0,87,1,0,1,89
10/31/1988,4,85,1,0,1,91
11/30/1988,0,92,0,0,0,92
12/31/1988,0,93,0,0,0,93
01/31/1989,0,93,0,0,1,94
02/28/1989,0,93,0,0,0,93
03/31/1989,0,92,0,0,1,93
04/30/1989,2,88,3,0,0,93
05/31/1989,0,90,1,0,2,93
06/30/1989,0,91,0,0,0,91
07/31/1989,0,90,1,0,0,91
08/31/1989,1,90,0,0,0,91
09/30/1989,0,93,1,0,0,94
10/31/1989,0,94,0,0,0,94
11/30/1989,0,92,2,0,0,94
12/31/1989,1,93,0,0,0,94
01/31/1990,1,93,0,0,0,94
02/28/1990,0,94,0,0,0,94
03/31/1990,1,90,3,0,0,94
04/30/1990,0,92,1,1,0,94
05/31/1990,1,89,2,0,1,93
06/30/1990,0,91,0,0,1,92
07/31/1990,0,91,0,0,0,91
08/31/1990,0,84,5,0,2,91
09/30/1990,0,88,0,1,0,89
10/31/1990,0,84,0,3,1,88
11/30/1990,1,82,1,0,0,84
12/31/1990,0,80,1,3,0,84
01/31/1991,0,77,1,2,1,81
02/28/1991,0,74,2,0,2,78
03/31/1991,0,77,1,0,0,78
04/30/1991,0,77,1,1,0,79
05/31/1991,0,75,1,2,0,78
06/30/1991,0,76,0,0,0,76
07/31/1991,0,74,1,1,0,76
08/31/1991,0,74,0,0,1,75
09/30/1991,0,71,2,0,1,74
10/31/1991,0,72,0,0,1,73
11/30/1991,0,70,0,1,1,72
12/31/1991,0,70,1,0,0,71
01/31/1992,0,71,0,0,0,71
02/29/1992,0,70,1,0,0,71
03/31/1992,1,70,0,0,0,71
04/30/1992,0,71,1,0,0,72
05/31/1992,1,73,0,0,0,74
06/30/1992,0,72,1,1,0,74
07/31/1992,1,74,0,0,0,75
08/31/1992,1,74,0,0,0,75
09/30/1992,0,75,0,0,0,75
10/31/1992,0,76,0,0,0,76
11/30/1992,2,77,0,0,0,79
12/31/1992,2,77,0,0,1,80
01/31/1993,0,80,1,0,0,81
02/28/1993,0,82,0,0,1,83
03/31/1993,0,83,0,0,0,83
04/30/1993,1,84,0,0,0,85
05/31/1993,1,84,0,0,0,85
06/30/1993,0,85,0,0,1,86
07/31/1993,0,87,2,0,0,89
08/31/1993,0,92,0,0,1,93
09/30/1993,0,93,0,0,1,94
10/31/1993,0,95,1,0,0,96
11/30/1993,1,97,1,0,1,100
12/31/1993,0,98,0,0,2,100
01/31/1994,0,99,1,0,0,100
02/28/1994,0,102,1,1,0,104
03/31/1994,1,103,0,0,1,105
04/30/1994,0,108,0,0,0,108
05/31/1994,0,106,0,0,2,108
06/30/1994,0,108,0,0,0,108
07/31/1994,0,111,0,0,0,111
08/31/1994,0,110,0,0,1,111
09/30/1994,0,110,0,0,0,110
10/31/1994,2,107,0,0,1,110
11/30/1994,2,107,0,0,0,109
12/31/1994,0,110,1,0,0,111
01/31/1995,0,111,0,0,0,111
02/28/1995,0,111,1,0,0,112
03/31/1995,0,112,0,0,0,112
04/30/1995,1,110,0,0,1,112
05/31/1995,0,115,0,1,0,116
06/30/1995,2,113,0,0,0,115
07/31/1995,0,116,0,1,0,117
08/31/1995,0,116,1,0,0,117
09/30/1995,1,118,0,0,0,119
10/31/1995,1,118,0,0,1,120
11/30/1995,2,115,0,1,1,119
12/31/1995,0,119,0,0,0,119
01/31/1996,0,120,0,0,0,120
02/29/1996,0,121,0,0,0,121
03/31/1996,0,120,1,0,1,122
04/30/1996,1,123,0,0,0,124
05/31/1996,1,124,0,0,0,125
06/30/1996,1,128,0,0,0,129
07/31/1996,0,129,0,0,0,129
08/31/1996,0,125,0,0,4,129
09/30/1996,2,124,0,0,0,126
10/31/1996,0,128,0,0,0,128
11/30/1996,0,132,1,0,0,133
12/31/1996,0,135,1,0,1,137
