Up/Down,Upgrade,Same,Downgrade,Defaulted,Non-Rated,Totals
01/31/1981,1,67,1,0,0,69
02/28/1981,0,68,2,0,0,70
03/31/1981,0,69,2,0,0,71
04/30/1981,0,70,1,0,0,71
05/31/1981,0,72,0,0,0,72
06/30/1981,0,72,0,0,0,72
07/31/1981,0,71,0,0,1,72
08/31/1981,0,70,2,0,0,72
09/30/1981,0,71,1,0,0,72
10/31/1981,1,70,0,0,1,72
11/30/1981,1,70,0,0,0,71
12/31/1981,1,70,0,0,0,71
01/31/1982,0,70,0,0,1,71
02/28/1982,2,68,0,0,0,70
03/31/1982,0,70,0,0,0,70
04/30/1982,0,70,0,0,0,70
05/31/1982,0,69,1,0,0,70
06/30/1982,0,72,0,0,0,72
07/31/1982,0,72,1,0,0,73
08/31/1982,2,71,0,0,0,73
09/30/1982,0,73,1,0,0,74
10/31/1982,0,74,0,0,0,74
11/30/1982,0,71,1,0,2,74
12/31/1982,0,74,0,0,0,74
01/31/1983,1,73,0,0,0,74
02/28/1983,0,74,0,0,0,74
03/31/1983,0,72,2,0,0,74
04/30/1983,0,74,0,0,1,75
05/31/1983,1,73,0,0,1,75
06/30/1983,0,76,0,0,0,76
07/31/1983,1,76,0,0,0,77
08/31/1983,0,77,0,0,0,77
09/30/1983,3,73,1,0,0,77
10/31/1983,0,76,0,0,1,77
11/30/1983,1,75,0,0,0,76
12/31/1983,1,75,0,0,0,76
01/31/1984,1,76,0,0,0,77
02/29/1984,0,79,0,0,1,80
03/31/1984,0,79,0,0,0,79
04/30/1984,0,78,0,0,1,79
05/31/1984,0,78,0,0,0,78
06/30/1984,0,78,0,0,0,78
07/31/1984,0,78,0,0,0,78
08/31/1984,2,76,0,0,0,78
09/30/1984,0,80,0,0,0,80
10/31/1984,0,80,0,0,0,80
11/30/1984,0,82,0,0,0,82
12/31/1984,0,82,0,0,1,83
01/31/1985,0,80,3,0,1,84
02/28/1985,0,85,1,0,0,86
03/31/1985,0,88,1,0,0,89
04/30/1985,0,89,1,0,0,90
05/31/1985,0,92,0,0,0,92
06/30/1985,0,90,2,0,0,92
07/31/1985,0,94,0,0,0,94
08/31/1985,0,95,0,1,1,97
09/30/1985,0,93,2,0,0,95
10/31/1985,0,95,0,0,1,96
11/30/1985,0,96,0,0,0,96
12/31/1985,0,91,4,1,0,96
01/31/1986,0,92,0,1,2,95
02/28/1986,0,90,2,0,0,92
03/31/1986,1,92,0,0,0,93
04/30/1986,0,91,3,0,0,94
05/31/1986,1,91,1,1,1,95
06/30/1986,0,99,0,0,0,99
07/31/1986,0,101,1,0,1,103
08/31/1986,1,102,2,0,0,105
09/30/1986,0,108,0,0,0,108
10/31/1986,0,108,0,0,1,109
11/30/1986,2,105,0,0,1,108
12/31/1986,0,108,1,0,0,109
01/31/1987,0,107,2,0,1,110
02/28/1987,0,110,0,0,0,110
03/31/1987,0,109,0,0,1,110
04/30/1987,1,110,1,0,0,112
05/31/1987,0,110,1,0,4,115
06/30/1987,0,113,0,1,0,114
07/31/1987,0,114,0,0,0,114
08/31/1987,0,116,0,0,1,117
09/30/1987,0,113,3,0,1,117
10/31/1987,0,115,1,0,1,117
11/30/1987,0,111,4,0,2,117
12/31/1987,0,115,0,0,0,115
01/31/1988,0,115,0,0,1,116
02/29/1988,1,110,2,1,1,115
03/31/1988,1,110,1,0,2,114
04/30/1988,0,110,0,0,2,112
05/31/1988,0,110,0,1,1,112
06/30/1988,1,108,1,0,0,110
07/31/1988,0,110,0,0,0,110
08/31/1988,0,110,0,0,1,111
09/30/1988,0,108,1,0,2,111
10/31/1988,0,107,0,2,1,110
11/30/1988,0,106,0,0,2,108
12/31/1988,0,105,1,0,0,106
01/31/1989,0,106,0,0,0,106
02/28/1989,0,107,0,0,0,107
03/31/1989,0,106,1,0,1,108
04/30/1989,1,109,0,0,1,111
05/31/1989,0,112,0,0,0,112
06/30/1989,1,110,0,0,4,115
07/31/1989,0,110,0,0,3,113
08/31/1989,1,109,0,0,1,111
09/30/1989,0,108,1,0,1,110
10/31/1989,3,99,0,0,7,109
11/30/1989,0,103,0,0,2,105
12/31/1989,0,103,0,0,0,103
01/31/1990,0,104,0,0,0,104
02/28/1990,0,100,1,0,3,104
03/31/1990,0,103,0,0,0,103
04/30/1990,0,101,0,0,2,103
05/31/1990,0,100,0,0,1,101
06/30/1990,2,98,0,0,0,100
07/31/1990,0,100,0,0,1,101
08/31/1990,0,102,1,0,0,103
09/30/1990,0,103,0,0,0,103
10/31/1990,0,104,0,0,0,104
11/30/1990,0,103,1,0,0,104
12/31/1990,0,104,2,0,0,106
01/31/1991,1,105,0,1,0,107
02/28/1991,0,106,1,0,0,107
03/31/1991,0,108,0,0,0,108
04/30/1991,0,106,0,1,1,108
05/31/1991,0,103,0,0,4,107
06/30/1991,0,103,0,0,1,104
07/31/1991,1,101,0,0,1,103
08/31/1991,1,101,0,0,0,102
09/30/1991,0,101,0,0,1,102
10/31/1991,1,100,0,0,0,101
11/30/1991,0,102,0,0,1,103
12/31/1991,0,105,0,0,0,105
