Up/Down,Upgrade,Same,Downgrade,Defaulted,Non-Rated,Totals
01/31/1981,0,60,1,0,0,61
02/28/1981,0,59,4,0,0,63
03/31/1981,1,62,1,0,0,64
04/30/1981,0,64,1,0,0,65
05/31/1981,1,64,0,0,0,65
06/30/1981,0,67,0,0,0,67
07/31/1981,0,69,0,0,0,69
08/31/1981,0,68,1,0,0,69
09/30/1981,0,69,0,0,0,69
10/31/1981,0,69,0,0,0,69
11/30/1981,0,69,0,0,0,69
12/31/1981,2,65,2,0,0,69
01/31/1982,0,69,0,0,0,69
02/28/1982,0,70,0,0,0,70
03/31/1982,1,68,0,0,1,70
04/30/1982,1,67,2,0,0,70
05/31/1982,0,70,0,0,0,70
06/30/1982,0,70,0,0,0,70
07/31/1982,2,68,1,0,0,71
08/31/1982,0,71,0,0,0,71
09/30/1982,0,70,1,0,0,71
10/31/1982,0,69,0,0,2,71
11/30/1982,1,64,0,0,6,71
12/31/1982,0,63,1,1,1,66
01/31/1983,0,63,0,0,2,65
02/28/1983,0,65,0,0,0,65
03/31/1983,1,62,0,0,2,65
04/30/1983,0,65,0,0,1,66
05/31/1983,1,63,0,0,1,65
06/30/1983,0,66,2,0,0,68
07/31/1983,0,67,0,0,1,68
08/31/1983,0,65,1,0,1,67
09/30/1983,0,67,1,0,0,68
10/31/1983,0,67,0,0,2,69
11/30/1983,0,66,1,0,1,68
12/31/1983,0,67,0,0,0,67
01/31/1984,1,66,0,0,0,67
02/29/1984,1,64,2,0,0,67
03/31/1984,0,67,0,0,0,67
04/30/1984,0,66,1,0,0,67
05/31/1984,0,68,0,0,0,68
06/30/1984,0,70,0,0,0,70
07/31/1984,2,69,0,0,0,71
08/31/1984,0,71,0,0,0,71
09/30/1984,0,71,0,0,0,71
10/31/1984,0,69,2,0,0,71
11/30/1984,0,70,0,2,0,72
12/31/1984,0,69,0,0,1,70
01/31/1985,1,68,0,0,1,70
02/28/1985,0,67,2,0,1,70
03/31/1985,0,70,0,0,0,70
04/30/1985,0,69,3,0,0,72
05/31/1985,0,71,1,0,0,72
06/30/1985,1,73,0,0,0,74
07/31/1985,0,76,0,0,0,76
08/31/1985,0,76,0,0,0,76
09/30/1985,0,75,3,0,1,79
10/31/1985,0,78,1,0,0,79
11/30/1985,0,77,3,0,0,80
12/31/1985,0,81,0,0,0,81
01/31/1986,0,81,0,1,0,82
02/28/1986,0,79,1,1,2,83
03/31/1986,0,80,1,0,0,81
04/30/1986,0,82,0,0,1,83
05/31/1986,1,82,2,0,1,86
06/30/1986,0,83,3,0,0,86
07/31/1986,1,82,4,1,1,89
08/31/1986,0,85,0,0,2,87
09/30/1986,0,86,0,0,0,86
10/31/1986,0,83,0,0,3,86
11/30/1986,0,84,0,0,0,84
12/31/1986,3,80,0,0,1,84
01/31/1987,0,83,0,0,1,84
02/28/1987,0,85,0,0,0,85
03/31/1987,0,89,1,0,2,92
04/30/1987,0,94,0,0,1,95
05/31/1987,0,97,0,0,4,101
06/30/1987,0,95,2,0,2,99
07/31/1987,0,95,0,0,4,99
08/31/1987,6,91,0,0,0,97
09/30/1987,0,95,0,0,3,98
10/31/1987,0,94,0,0,2,96
11/30/1987,1,94,0,0,0,95
12/31/1987,0,95,0,0,1,96
01/31/1988,0,94,1,0,0,95
02/29/1988,0,96,0,0,0,96
03/31/1988,1,92,1,0,3,97
04/30/1988,0,90,1,0,3,94
05/31/1988,0,91,0,0,0,91
06/30/1988,0,91,0,0,1,92
07/31/1988,0,91,0,0,0,91
08/31/1988,0,94,0,0,0,94
09/30/1988,0,93,0,0,1,94
10/31/1988,0,94,0,0,0,94
11/30/1988,1,95,0,0,0,96
12/31/1988,0,96,0,0,0,96
01/31/1989,0,95,0,0,1,96
02/28/1989,0,93,1,0,1,95
03/31/1989,1,94,0,0,1,96
04/30/1989,0,93,1,0,1,95
05/31/1989,1,89,2,0,2,94
06/30/1989,0,92,0,0,2,94
07/31/1989,1,89,1,0,1,92
08/31/1989,1,87,1,0,2,91
09/30/1989,0,88,0,0,1,89
10/31/1989,0,87,0,0,1,88
11/30/1989,0,82,4,1,0,87
12/31/1989,0,86,0,0,0,86
01/31/1990,0,84,1,1,0,86
02/28/1990,0,83,2,0,0,85
03/31/1990,0,84,0,0,2,86
04/30/1990,1,78,0,2,3,84
05/31/1990,0,74,0,0,5,79
06/30/1990,0,73,0,0,3,76
07/31/1990,0,72,0,0,1,73
08/31/1990,0,70,0,0,2,72
09/30/1990,0,68,2,0,0,70
10/31/1990,0,67,3,0,0,70
11/30/1990,0,70,0,0,0,70
12/31/1990,0,70,0,0,0,70
01/31/1991,0,71,0,0,0,71
02/28/1991,0,68,3,0,0,71
03/31/1991,0,73,0,0,0,73
