Up/Down,Upgrade,Same,Downgrade,Defaulted,Non-Rated,Totals
01/31/1981,0,34,0,0,0,34
02/28/1981,0,34,0,0,0,34
03/31/1981,0,34,0,0,0,34
04/30/1981,0,34,0,0,0,34
05/31/1981,0,34,0,0,0,34
06/30/1981,0,34,0,0,0,34
07/31/1981,2,32,0,0,0,34
08/31/1981,0,34,0,0,0,34
09/30/1981,0,32,1,0,1,34
10/31/1981,0,33,0,0,0,33
11/30/1981,0,33,0,0,0,33
12/31/1981,0,33,1,0,0,34
01/31/1982,0,34,0,0,0,34
02/28/1982,0,34,0,0,0,34
03/31/1982,0,34,0,0,0,34
04/30/1982,0,32,2,1,0,35
05/31/1982,0,34,0,0,0,34
06/30/1982,0,34,0,0,0,34
07/31/1982,0,34,0,0,0,34
08/31/1982,2,32,0,0,0,34
09/30/1982,0,34,0,0,0,34
10/31/1982,0,35,1,0,0,36
11/30/1982,0,38,1,0,0,39
12/31/1982,0,40,0,0,0,40
01/31/1983,1,41,0,0,0,42
02/28/1983,0,42,0,0,0,42
03/31/1983,0,41,3,0,0,44
04/30/1983,0,54,0,0,0,54
05/31/1983,0,54,0,0,0,54
06/30/1983,0,54,0,0,0,54
07/31/1983,0,51,2,0,1,54
08/31/1983,0,53,0,0,0,53
09/30/1983,0,52,0,2,0,54
10/31/1983,0,52,0,0,0,52
11/30/1983,0,52,0,0,0,52
12/31/1983,0,51,1,0,0,52
01/31/1984,0,53,0,0,0,53
02/29/1984,0,53,1,0,0,54
03/31/1984,1,53,0,0,0,54
04/30/1984,0,58,0,0,1,59
05/31/1984,0,59,0,0,0,59
06/30/1984,0,59,0,0,0,59
07/31/1984,0,59,0,0,0,59
08/31/1984,0,59,1,0,0,60
09/30/1984,0,60,0,0,0,60
10/31/1984,0,60,0,0,0,60
11/30/1984,0,61,0,0,0,61
12/31/1984,0,62,0,0,0,62
01/31/1985,1,63,0,0,0,64
02/28/1985,0,65,2,0,0,67
03/31/1985,0,67,1,0,0,68
04/30/1985,0,71,0,0,0,71
05/31/1985,0,73,0,0,0,73
06/30/1985,1,72,1,0,0,74
07/31/1985,0,75,0,0,0,75
08/31/1985,0,82,0,0,0,82
09/30/1985,0,85,0,0,0,85
10/31/1985,0,83,2,0,0,85
11/30/1985,1,84,0,0,0,85
12/31/1985,0,84,1,1,0,86
01/31/1986,0,86,0,0,0,86
02/28/1986,0,85,2,0,1,88
03/31/1986,0,89,0,0,0,89
04/30/1986,1,90,1,0,1,93
05/31/1986,0,93,0,0,0,93
06/30/1986,0,98,0,0,1,99
07/31/1986,1,100,0,0,1,102
08/31/1986,1,101,0,0,0,102
09/30/1986,0,102,0,0,1,103
10/31/1986,0,104,0,0,1,105
11/30/1986,0,106,0,0,0,106
12/31/1986,1,110,0,0,0,111
01/31/1987,0,112,0,0,0,112
02/28/1987,0,113,0,0,0,113
03/31/1987,0,114,0,0,0,114
04/30/1987,1,115,0,0,0,116
05/31/1987,2,116,0,0,0,118
06/30/1987,0,118,0,0,1,119
07/31/1987,0,120,0,0,0,120
08/31/1987,0,124,0,0,0,124
09/30/1987,0,123,1,0,0,124
10/31/1987,0,125,0,0,0,125
11/30/1987,0,124,2,0,2,128
12/31/1987,0,126,0,0,0,126
01/31/1988,0,125,1,0,0,126
02/29/1988,0,125,1,0,0,126
03/31/1988,0,127,1,0,0,128
04/30/1988,1,125,2,0,0,128
05/31/1988,1,129,1,0,0,131
06/30/1988,0,130,2,0,2,134
07/31/1988,0,133,1,0,0,134
08/31/1988,0,132,2,0,0,134
09/30/1988,0,139,0,0,0,139
10/31/1988,0,141,0,0,0,141
11/30/1988,0,142,1,0,0,143
12/31/1988,1,141,1,0,0,143
01/31/1989,1,156,0,0,0,157
02/28/1989,1,157,0,0,0,158
03/31/1989,1,157,1,0,0,159
04/30/1989,1,159,1,0,0,161
05/31/1989,0,163,0,0,0,163
06/30/1989,0,163,2,0,0,165
07/31/1989,1,163,2,0,0,166
08/31/1989,0,169,0,0,1,170
09/30/1989,0,169,0,0,1,170
10/31/1989,0,174,0,0,0,174
11/30/1989,0,177,0,1,0,178
12/31/1989,0,177,1,0,0,178
01/31/1990,0,181,1,0,0,182
02/28/1990,0,185,0,0,0,185
03/31/1990,0,185,1,0,0,186
04/30/1990,0,186,3,0,0,189
05/31/1990,0,187,2,0,0,189
06/30/1990,1,187,1,0,0,189
07/31/1990,0,192,0,0,0,192
08/31/1990,0,193,1,0,0,194
09/30/1990,0,195,0,0,0,195
10/31/1990,0,191,3,0,1,195
11/30/1990,0,193,1,0,0,194
12/31/1990,0,194,5,0,0,199
01/31/1991,0,198,4,0,0,202
02/28/1991,0,203,0,1,0,204
03/31/1991,0,198,6,0,1,205
04/30/1991,0,208,1,0,0,209
05/31/1991,0,207,4,1,0,212
06/30/1991,1,211,2,0,0,214
07/31/1991,1,218,2,0,1,222
08/31/1991,0,230,1,0,0,231
09/30/1991,1,236,4,0,1,242
10/31/1991,0,242,5,0,0,247
11/30/1991,3,254,0,0,0,257
12/31/1991,1,258,2,0,0,261
01/31/1992,1,261,2,0,1,265
02/29/1992,0,268,3,0,0,271
03/31/1992,1,274,0,0,0,275
04/30/1992,1,276,0,0,0,277
05/31/1992,0,278,0,0,0,278
06/30/1992,3,278,1,0,0,282
07/31/1992,2,287,0,0,1,290
08/31/1992,2,284,3,3,1,293
09/30/1992,0,287,6,0,0,293
10/31/1992,0,290,4,0,0,294
11/30/1992,0,290,5,0,0,295
12/31/1992,0,292,3,0,0,295
01/31/1993,0,303,0,0,0,303
02/28/1993,2,304,1,1,0,308
03/31/1993,0,303,3,0,1,307
04/30/1993,0,307,2,0,0,309
05/31/1993,1,311,1,0,1,314
06/30/1993,1,311,1,0,2,315
07/31/1993,0,315,0,0,1,316
08/31/1993,0,315,1,0,2,318
09/30/1993,0,319,0,0,0,319
10/31/1993,1,322,0,0,0,323
11/30/1993,1,327,1,0,0,329
12/31/1993,0,332,0,0,2,334
01/31/1994,2,332,1,0,0,335
02/28/1994,3,335,1,0,1,340
03/31/1994,0,336,6,0,0,342
04/30/1994,2,341,3,0,1,347
05/31/1994,1,348,1,0,0,350
06/30/1994,1,350,1,0,1,353
07/31/1994,0,352,3,0,0,355
08/31/1994,0,351,3,1,1,356
09/30/1994,1,348,7,0,1,357
10/31/1994,1,351,6,0,0,358
11/30/1994,1,354,7,0,0,362
12/31/1994,0,362,3,0,1,366
01/31/1995,0,363,4,0,0,367
02/28/1995,0,371,0,0,0,371
03/31/1995,0,365,9,0,0,374
04/30/1995,1,372,3,0,0,376
05/31/1995,1,375,3,0,0,379
06/30/1995,3,371,5,0,1,380
07/31/1995,1,383,1,0,0,385
08/31/1995,0,378,8,0,1,387
09/30/1995,0,388,0,0,1,389
10/31/1995,3,387,2,1,0,393
11/30/1995,1,391,1,0,3,396
12/31/1995,0,395,1,0,0,396
01/31/1996,6,388,3,0,1,398
02/29/1996,0,401,3,0,0,404
03/31/1996,4,401,1,0,1,407
04/30/1996,3,405,2,0,1,411
05/31/1996,5,405,2,0,1,413
06/30/1996,1,410,1,0,1,413
07/31/1996,3,411,3,0,0,417
08/31/1996,3,417,1,0,4,425
09/30/1996,4,416,1,0,1,422
10/31/1996,3,422,1,0,1,427
11/30/1996,1,429,3,0,0,433
12/31/1996,4,432,1,0,4,441
01/31/1997,0,439,2,0,6,447
02/28/1997,0,447,0,0,2,449
03/31/1997,0,455,1,0,0,456
04/30/1997,2,457,1,0,1,461
05/31/1997,0,461,0,0,1,462
06/30/1997,3,450,6,1,6,466
07/31/1997,5,497,0,0,1,503
08/31/1997,1,507,2,0,1,511
09/30/1997,0,518,0,0,4,522
10/31/1997,2,525,0,0,2,529
11/30/1997,1,530,0,0,4,535
12/31/1997,1,532,1,0,1,535
01/31/1998,1,533,2,0,4,540
02/28/1998,1,535,0,0,5,541
03/31/1998,0,537,3,0,3,543
04/30/1998,1,541,0,0,2,544
05/31/1998,1,541,1,0,0,543
06/30/1998,0,541,2,0,1,544
07/31/1998,2,546,1,0,0,549
08/31/1998,5,538,7,0,3,553
09/30/1998,5,548,0,0,3,556
10/31/1998,0,557,3,0,0,560
11/30/1998,1,565,3,0,1,570
12/31/1998,1,574,3,0,3,581
01/31/1999,3,576,1,0,4,584
02/28/1999,0,573,3,0,8,584
03/31/1999,1,570,2,0,5,578
04/30/1999,1,575,0,0,1,577
05/31/1999,0,570,7,0,0,577
06/30/1999,1,572,3,0,4,580
07/31/1999,6,574,0,0,1,581
08/31/1999,7,569,5,4,1,586
09/30/1999,0,583,1,0,1,585
10/31/1999,3,578,4,0,1,586
11/30/1999,6,576,6,0,2,590
12/31/1999,2,586,6,0,2,596
01/31/2000,4,589,1,2,4,600
02/29/2000,0,590,5,1,3,599
03/31/2000,1,590,2,2,5,600
04/30/2000,0,593,2,0,2,597
05/31/2000,3,584,8,0,2,597
06/30/2000,3,584,4,0,4,595
07/31/2000,0,576,13,0,7,596
08/31/2000,1,586,3,1,3,594
09/30/2000,1,590,1,0,2,594
10/31/2000,0,587,3,1,1,592
11/30/2000,2,578,4,2,7,593
12/31/2000,5,570,3,0,9,587
01/31/2001,3,575,3,0,3,584
02/28/2001,0,585,3,0,2,590
03/31/2001,0,576,10,0,4,590
04/30/2001,2,574,7,0,10,593
05/31/2001,0,582,2,0,2,586
06/30/2001,1,578,2,1,3,585
07/31/2001,0,571,6,0,5,582
08/31/2001,2,573,4,0,3,582
09/30/2001,0,578,5,0,1,584
10/31/2001,1,575,6,0,2,584
11/30/2001,1,572,10,0,3,586
12/31/2001,1,580,2,0,4,587
01/31/2002,1,576,6,0,11,594
02/28/2002,1,571,9,1,2,584
03/31/2002,1,572,3,0,6,582
04/30/2002,1,576,1,0,3,581
05/31/2002,1,568,10,0,2,581
06/30/2002,1,579,4,0,3,587
07/31/2002,0,577,11,0,1,589
08/31/2002,1,561,12,1,13,588
09/30/2002,0,568,13,1,2,584
10/31/2002,0,561,24,0,0,585
11/30/2002,1,563,21,0,2,587
12/31/2002,1,579,6,0,3,589
01/31/2003,0,579,6,0,6,591
02/28/2003,2,572,7,0,5,586
03/31/2003,2,566,10,1,3,582
04/30/2003,0,571,8,1,2,582
05/31/2003,0,574,3,0,4,581
06/30/2003,3,569,6,0,3,581
07/31/2003,1,575,3,0,2,581
08/31/2003,0,579,3,1,1,584
09/30/2003,1,575,8,0,1,585
10/31/2003,1,588,0,0,1,590
11/30/2003,4,585,6,0,0,595
12/31/2003,1,591,3,0,2,597
01/31/2004,1,597,2,1,5,606
02/29/2004,2,601,0,0,4,607
