Up/Down,Upgrade,Same,Downgrade,Defaulted,Non-Rated,Totals
01/31/1981,1,38,4,0,0,43
02/28/1981,0,44,1,0,0,45
03/31/1981,0,45,0,0,0,45
04/30/1981,0,45,1,0,0,46
05/31/1981,1,45,0,0,0,46
06/30/1981,1,44,0,0,1,46
07/31/1981,0,45,0,0,0,45
08/31/1981,0,45,0,0,0,45
09/30/1981,0,44,1,0,0,45
10/31/1981,0,45,0,0,0,45
11/30/1981,0,46,0,0,0,46
12/31/1981,1,45,0,0,0,46
01/31/1982,1,43,2,0,0,46
02/28/1982,0,46,1,0,0,47
03/31/1982,0,46,0,1,0,47
04/30/1982,1,43,1,0,1,46
05/31/1982,0,45,0,0,0,45
06/30/1982,1,44,0,0,0,45
07/31/1982,0,46,0,0,0,46
08/31/1982,0,45,2,0,0,47
09/30/1982,0,48,0,0,0,48
10/31/1982,0,50,0,0,0,50
11/30/1982,0,52,0,0,0,52
12/31/1982,0,51,0,0,1,52
01/31/1983,0,53,0,0,1,54
02/28/1983,0,53,0,0,0,53
03/31/1983,0,52,0,0,1,53
04/30/1983,0,55,0,0,0,55
05/31/1983,1,56,0,0,1,58
06/30/1983,2,58,0,0,0,60
07/31/1983,0,61,2,0,0,63
08/31/1983,0,64,0,0,0,64
09/30/1983,0,62,1,0,1,64
10/31/1983,0,63,1,0,0,64
11/30/1983,0,64,0,0,0,64
12/31/1983,0,62,1,0,1,64
01/31/1984,1,61,2,0,0,64
02/29/1984,0,64,0,0,0,64
03/31/1984,0,65,0,0,0,65
04/30/1984,1,64,0,0,0,65
05/31/1984,0,64,1,0,0,65
06/30/1984,1,65,1,0,0,67
07/31/1984,0,67,1,0,0,68
08/31/1984,0,70,0,0,0,70
09/30/1984,0,71,0,0,0,71
10/31/1984,0,72,0,0,0,72
11/30/1984,0,78,0,0,0,78
12/31/1984,0,80,0,0,0,80
01/31/1985,1,77,1,0,1,80
02/28/1985,1,83,0,0,0,84
03/31/1985,0,86,0,0,0,86
04/30/1985,2,84,0,0,0,86
05/31/1985,0,87,0,0,1,88
06/30/1985,0,88,1,0,0,89
07/31/1985,0,88,2,0,0,90
08/31/1985,0,92,0,0,1,93
09/30/1985,0,94,0,0,0,94
10/31/1985,0,91,3,0,1,95
11/30/1985,1,93,1,2,0,97
12/31/1985,0,99,1,0,0,100
01/31/1986,0,102,1,0,1,104
02/28/1986,0,103,0,0,0,103
03/31/1986,2,102,1,0,0,105
04/30/1986,0,109,2,0,0,111
05/31/1986,0,115,0,0,0,115
06/30/1986,0,115,4,1,1,121
07/31/1986,1,116,1,0,4,122
08/31/1986,0,118,0,0,3,121
09/30/1986,0,125,0,0,0,125
10/31/1986,0,127,0,0,0,127
11/30/1986,1,131,0,0,1,133
12/31/1986,0,135,1,0,1,137
01/31/1987,0,135,1,0,3,139
02/28/1987,0,133,2,0,1,136
03/31/1987,0,140,0,0,1,141
04/30/1987,1,138,2,0,1,142
05/31/1987,0,143,0,0,4,147
06/30/1987,0,145,1,0,2,148
07/31/1987,1,146,2,0,1,150
08/31/1987,0,154,1,0,0,155
09/30/1987,1,155,0,0,2,158
10/31/1987,0,158,0,0,0,158
11/30/1987,2,154,1,1,3,161
12/31/1987,1,156,0,0,1,158
01/31/1988,1,150,2,0,4,157
02/29/1988,0,150,2,0,3,155
03/31/1988,1,149,2,1,1,154
