Up/Down,Upgrade,Same,Downgrade,Defaulted,Non-Rated,Totals
01/31/1981,1,216,10,0,2,229
02/28/1981,1,225,2,0,3,231
03/31/1981,2,231,0,0,0,233
04/30/1981,1,231,2,0,0,234
05/31/1981,1,227,4,0,2,234
06/30/1981,0,230,3,0,2,235
07/31/1981,1,230,2,0,1,234
08/31/1981,0,233,0,0,1,234
09/30/1981,0,231,2,0,0,233
10/31/1981,0,232,1,0,1,234
11/30/1981,1,231,1,0,0,233
12/31/1981,1,230,2,0,0,233
01/31/1982,0,232,0,0,1,233
02/28/1982,0,232,1,0,0,233
03/31/1982,0,229,3,0,2,234
04/30/1982,0,228,1,2,2,233
05/31/1982,2,223,4,0,1,230
06/30/1982,0,227,1,0,2,230
07/31/1982,0,224,2,0,2,228
08/31/1982,0,224,2,0,0,226
09/30/1982,0,226,1,0,3,230
10/31/1982,0,221,5,1,2,229
11/30/1982,1,219,3,0,3,226
12/31/1982,0,221,1,0,2,224
01/31/1983,0,219,2,0,2,223
02/28/1983,3,218,1,1,0,223
03/31/1983,2,221,0,0,0,223
04/30/1983,2,237,1,0,0,240
05/31/1983,2,236,0,0,2,240
06/30/1983,2,232,2,0,4,240
07/31/1983,1,236,2,0,1,240
08/31/1983,0,237,2,0,0,239
09/30/1983,0,238,2,1,1,242
10/31/1983,0,241,1,0,0,242
11/30/1983,1,240,0,0,2,243
12/31/1983,0,241,0,0,0,241
01/31/1984,0,240,1,0,2,243
02/29/1984,3,241,0,0,0,244
03/31/1984,1,244,0,0,0,245
04/30/1984,1,245,0,0,0,246
05/31/1984,6,235,3,0,2,246
06/30/1984,1,243,1,0,0,245
07/31/1984,0,244,1,0,1,246
08/31/1984,1,245,0,0,0,246
09/30/1984,0,247,0,0,1,248
10/31/1984,0,243,3,0,1,247
11/30/1984,2,241,2,0,1,246
12/31/1984,1,242,3,0,0,246
01/31/1985,1,242,1,0,2,246
02/28/1985,0,254,2,0,1,257
03/31/1985,1,250,2,0,3,256
04/30/1985,0,255,2,0,0,257
05/31/1985,0,254,3,0,1,258
06/30/1985,0,256,2,1,0,259
07/31/1985,0,256,0,1,1,258
08/31/1985,0,257,3,0,0,260
09/30/1985,0,254,9,0,0,263
10/31/1985,1,262,0,1,1,265
11/30/1985,3,261,1,0,0,265
12/31/1985,0,265,2,0,0,267
01/31/1986,1,261,5,0,2,269
02/28/1986,1,263,1,1,1,267
03/31/1986,0,264,2,0,1,267
04/30/1986,0,263,2,0,2,267
05/31/1986,3,267,1,0,1,272
06/30/1986,0,275,6,0,2,283
07/31/1986,1,264,11,7,3,286
08/31/1986,0,270,5,1,2,278
09/30/1986,0,276,4,0,1,281
10/31/1986,0,278,4,1,2,285
11/30/1986,1,282,0,0,1,284
12/31/1986,4,274,2,1,2,283
01/31/1987,1,275,0,0,5,281
02/28/1987,1,274,5,0,1,281
03/31/1987,3,272,4,0,3,282
04/30/1987,0,276,2,1,6,285
05/31/1987,0,265,2,0,12,279
06/30/1987,4,263,1,2,4,274
07/31/1987,1,260,2,1,5,269
08/31/1987,2,261,1,0,2,266
09/30/1987,0,262,2,0,2,266
10/31/1987,0,262,0,0,5,267
11/30/1987,2,261,0,0,0,263
12/31/1987,4,255,2,0,2,263
01/31/1988,3,255,2,0,2,262
02/29/1988,2,255,1,1,4,263
03/31/1988,1,248,3,1,5,258
04/30/1988,1,253,0,0,1,255
05/31/1988,4,247,0,0,6,257
06/30/1988,3,247,1,0,2,253
07/31/1988,2,248,0,0,3,253
08/31/1988,0,249,1,0,2,252
09/30/1988,0,250,0,0,2,252
10/31/1988,0,250,1,1,0,252
11/30/1988,2,245,3,0,4,254
12/31/1988,6,246,0,0,0,252
01/31/1989,0,248,1,0,3,252
02/28/1989,4,239,0,0,6,249
03/31/1989,4,238,2,0,2,246
04/30/1989,1,238,6,1,2,248
05/31/1989,1,245,0,0,1,247
06/30/1989,1,243,2,0,5,251
07/31/1989,2,243,1,1,0,247
08/31/1989,0,245,1,1,1,248
09/30/1989,0,244,1,1,1,247
10/31/1989,2,240,1,1,3,247
11/30/1989,1,244,1,1,0,247
12/31/1989,4,240,1,0,2,247
01/31/1990,0,241,2,0,3,246
02/28/1990,1,242,0,0,1,244
03/31/1990,0,236,2,0,5,243
04/30/1990,0,238,0,0,1,239
05/31/1990,2,230,2,0,4,238
06/30/1990,5,229,2,0,2,238
07/31/1990,0,231,3,0,2,236
08/31/1990,1,229,0,1,3,234
09/30/1990,0,231,0,1,0,232
10/31/1990,0,228,0,0,3,231
11/30/1990,2,221,1,2,2,228
12/31/1990,0,222,0,0,2,224
01/31/1991,2,217,0,1,2,222
02/28/1991,1,213,4,0,1,219
03/31/1991,0,213,6,0,1,220
04/30/1991,0,216,1,1,2,220
05/31/1991,2,216,0,0,1,219
06/30/1991,1,214,3,0,1,219
07/31/1991,2,217,0,0,2,221
08/31/1991,1,217,1,0,0,219
09/30/1991,0,216,3,0,1,220
10/31/1991,0,218,1,1,0,220
11/30/1991,0,220,0,1,0,221
12/31/1991,1,220,1,0,0,222
01/31/1992,0,215,5,1,1,222
02/29/1992,0,213,7,0,0,220
03/31/1992,0,218,0,0,3,221
04/30/1992,2,216,0,1,1,220
05/31/1992,1,216,2,0,0,219
06/30/1992,0,216,0,2,1,219
07/31/1992,6,210,1,0,0,217
08/31/1992,0,221,0,0,0,221
09/30/1992,0,220,0,0,3,223
10/31/1992,0,218,1,0,2,221
11/30/1992,0,221,1,0,0,222
12/31/1992,0,224,3,0,0,227
01/31/1993,1,227,0,0,0,228
02/28/1993,0,225,4,0,2,231
03/31/1993,0,226,3,1,3,233
04/30/1993,2,223,3,0,2,230
05/31/1993,0,226,1,0,3,230
06/30/1993,1,229,1,0,0,231
07/31/1993,1,230,0,1,2,234
08/31/1993,0,232,0,0,1,233
09/30/1993,0,230,3,0,4,237
10/31/1993,6,227,0,0,1,234
11/30/1993,0,236,0,0,1,237
12/31/1993,2,230,1,2,5,240
01/31/1994,0,235,0,0,1,236
02/28/1994,0,237,2,0,1,240
03/31/1994,2,236,1,0,2,241
04/30/1994,0,242,0,0,2,244
05/31/1994,0,245,2,0,1,248
06/30/1994,0,252,0,0,1,253
07/31/1994,0,253,1,0,1,255
08/31/1994,0,257,1,0,1,259
09/30/1994,1,259,0,0,1,261
10/31/1994,0,261,0,0,1,262
11/30/1994,0,259,1,0,1,261
12/31/1994,1,256,1,1,1,260
01/31/1995,4,255,0,0,0,259
02/28/1995,0,259,0,0,1,260
03/31/1995,0,258,3,0,0,261
04/30/1995,1,256,2,0,2,261
05/31/1995,2,264,0,0,3,269
06/30/1995,0,267,0,0,1,268
07/31/1995,4,267,1,0,0,272
08/31/1995,0,274,1,0,3,278
09/30/1995,0,276,2,0,1,279
10/31/1995,1,278,3,0,1,283
11/30/1995,0,282,2,0,0,284
12/31/1995,0,283,1,0,2,286
01/31/1996,0,287,0,0,1,288
02/29/1996,1,291,1,1,0,294
03/31/1996,4,287,0,0,4,295
04/30/1996,0,290,0,0,2,292
05/31/1996,4,286,1,0,2,293
06/30/1996,1,293,2,1,0,297
07/31/1996,0,299,1,0,0,300
08/31/1996,3,295,1,0,5,304
09/30/1996,0,298,1,1,2,302
10/31/1996,0,302,0,0,1,303
11/30/1996,2,306,0,0,2,310
12/31/1996,0,312,0,0,2,314
01/31/1997,1,312,1,1,2,317
02/28/1997,1,315,1,0,3,320
03/31/1997,0,315,3,0,0,318
04/30/1997,0,319,1,0,3,323
05/31/1997,5,326,0,1,0,332
06/30/1997,4,331,0,0,0,335
07/31/1997,3,336,0,1,3,343
08/31/1997,2,341,1,0,4,348
09/30/1997,0,340,1,0,6,347
10/31/1997,1,344,0,0,3,348
11/30/1997,0,350,0,0,1,351
12/31/1997,4,350,3,0,4,361
01/31/1998,3,359,3,1,0,366
02/28/1998,1,369,3,0,2,375
03/31/1998,0,379,2,0,0,381
04/30/1998,0,394,1,0,1,396
05/31/1998,2,398,5,0,3,408
06/30/1998,4,414,2,0,2,422
07/31/1998,5,416,3,0,2,426
08/31/1998,0,426,3,1,3,433
09/30/1998,0,435,0,1,2,438
10/31/1998,0,430,3,0,4,437
11/30/1998,1,432,3,1,1,438
12/31/1998,3,426,10,0,1,440
01/31/1999,1,437,1,2,1,442
02/28/1999,0,437,4,1,3,445
03/31/1999,1,438,5,1,0,445
04/30/1999,0,439,4,5,4,452
05/31/1999,0,449,1,1,1,452
06/30/1999,0,443,6,1,6,456
07/31/1999,0,445,3,1,5,454
08/31/1999,0,445,5,2,8,460
09/30/1999,1,447,3,2,2,455
10/31/1999,0,453,0,0,4,457
11/30/1999,1,443,8,0,4,456
12/31/1999,1,451,2,1,1,456
01/31/2000,0,454,2,1,0,457
02/29/2000,3,448,10,1,2,464
03/31/2000,3,452,2,1,5,463
04/30/2000,1,450,4,2,3,460
05/31/2000,0,446,2,4,4,456
06/30/2000,1,441,4,2,3,451
07/31/2000,1,452,2,0,1,456
08/31/2000,1,449,3,1,5,459
09/30/2000,1,448,4,0,3,456
10/31/2000,3,447,1,1,1,453
11/30/2000,0,447,4,4,1,456
12/31/2000,0,449,5,2,1,457
01/31/2001,1,445,7,2,0,455
02/28/2001,2,436,9,5,2,454
03/31/2001,1,439,7,0,2,449
04/30/2001,0,434,12,3,5,454
05/31/2001,2,433,7,5,2,449
06/30/2001,0,437,6,5,0,448
07/31/2001,2,436,5,3,2,448
08/31/2001,0,431,10,5,0,446
09/30/2001,0,432,7,3,1,443
10/31/2001,0,425,12,4,1,442
11/30/2001,2,422,11,3,2,440
12/31/2001,2,419,6,8,4,439
01/31/2002,0,412,10,2,4,428
02/28/2002,0,401,16,3,3,423
03/31/2002,0,405,10,7,0,422
04/30/2002,1,410,6,2,1,420
05/31/2002,2,411,3,2,4,422
06/30/2002,3,415,3,1,3,425
07/31/2002,0,418,4,0,2,424
08/31/2002,2,414,5,2,2,425
09/30/2002,0,416,3,2,1,422
10/31/2002,1,411,6,0,1,419
11/30/2002,0,414,6,2,0,422
12/31/2002,1,415,3,2,2,423
01/31/2003,0,415,4,0,1,420
02/28/2003,2,410,5,1,6,424
03/31/2003,1,406,7,2,5,421
04/30/2003,0,404,10,1,1,416
05/31/2003,0,403,7,3,1,414
06/30/2003,1,405,4,3,2,415
07/31/2003,2,405,4,0,1,412
08/31/2003,3,400,4,2,4,413
09/30/2003,0,406,2,0,2,410
10/31/2003,0,410,3,1,1,415
11/30/2003,2,465,0,0,2,469
12/31/2003,2,459,4,3,2,470
01/31/2004,0,462,1,3,1,467
02/29/2004,2,465,5,1,2,475
03/31/2004,1,483,3,1,1,489
04/30/2004,1,493,3,0,0,497
05/31/2004,2,497,7,0,4,510
06/30/2004,5,502,3,2,0,512
07/31/2004,2,510,2,1,0,515
08/31/2004,6,513,1,1,4,525
09/30/2004,2,512,2,3,3,522
10/31/2004,7,508,1,1,0,517
11/30/2004,3,508,4,0,4,519
12/31/2004,4,514,2,0,1,521
01/31/2005,6,516,3,0,0,525
02/28/2005,1,516,5,1,5,528
03/31/2005,5,513,5,2,1,526
04/30/2005,2,521,4,2,2,531
05/31/2005,3,520,5,1,7,536
06/30/2005,4,519,5,0,4,532
07/31/2005,5,523,3,0,3,534
08/31/2005,6,517,3,2,6,534
09/30/2005,0,522,4,0,4,530
10/31/2005,0,522,3,1,6,532
11/30/2005,3,521,4,0,2,530
12/31/2005,2,518,7,2,2,531
01/31/2006,1,524,1,0,3,529
02/28/2006,3,517,6,1,3,530
03/31/2006,1,515,3,2,5,526
04/30/2006,7,509,3,0,2,521
05/31/2006,4,512,3,1,3,523
06/30/2006,6,509,2,0,4,521
07/31/2006,1,513,2,1,3,520
08/31/2006,2,513,5,0,3,523
09/30/2006,4,509,1,0,7,521
10/31/2006,2,512,2,1,1,518
11/30/2006,1,511,5,1,0,518
12/31/2006,2,512,1,1,5,521
01/31/2007,2,462,4,1,49,518
02/28/2007,1,466,3,1,1,472
03/31/2007,4,460,2,1,4,471
04/30/2007,8,457,2,1,4,472
05/31/2007,4,456,2,0,5,467
06/30/2007,4,456,0,0,5,465
07/31/2007,1,463,0,1,3,468
08/31/2007,1,468,1,1,2,473
09/30/2007,2,464,2,0,5,473
10/31/2007,2,465,3,0,0,470
11/30/2007,3,466,1,0,4,474
12/31/2007,0,468,1,0,3,472
01/31/2008,0,466,2,0,1,469
02/29/2008,2,465,1,1,1,470
03/31/2008,1,465,2,0,3,471
04/30/2008,7,459,1,0,3,470
05/31/2008,1,458,2,0,6,467
06/30/2008,1,461,0,0,3,465
07/31/2008,0,457,4,0,3,464
08/31/2008,0,463,2,0,1,466
09/30/2008,2,458,0,1,4,465
10/31/2008,1,453,3,1,2,460
11/30/2008,0,443,11,2,1,457
12/31/2008,0,438,12,1,3,454
01/31/2009,0,430,18,0,4,452
02/28/2009,0,434,10,3,2,449
