Up/Down,Upgrade,Same,Downgrade,Defaulted,Non-Rated,Totals
01/31/1981,0,9,1,0,0,10
02/28/1981,0,10,0,0,0,10
03/31/1981,0,10,0,0,0,10
04/30/1981,0,10,0,0,0,10
05/31/1981,0,10,0,0,0,10
06/30/1981,0,10,0,0,0,10
07/31/1981,0,11,0,0,0,11
08/31/1981,1,10,0,0,0,11
09/30/1981,0,10,0,0,1,11
10/31/1981,0,10,0,0,0,10
11/30/1981,0,11,0,0,0,11
12/31/1981,0,12,0,0,0,12
01/31/1982,0,12,0,0,0,12
02/28/1982,0,12,0,0,0,12
03/31/1982,0,12,0,0,0,12
04/30/1982,0,12,0,0,0,12
05/31/1982,0,12,0,0,0,12
06/30/1982,0,12,1,0,0,13
07/31/1982,0,13,0,0,0,13
08/31/1982,0,13,0,0,0,13
09/30/1982,0,14,0,0,0,14
10/31/1982,0,14,0,0,0,14
11/30/1982,0,14,0,0,0,14
12/31/1982,0,14,0,0,0,14
01/31/1983,0,13,0,0,1,14
02/28/1983,0,13,0,0,0,13
03/31/1983,0,13,0,0,1,14
04/30/1983,0,14,0,0,0,14
05/31/1983,0,15,0,0,0,15
06/30/1983,0,15,0,0,0,15
07/31/1983,0,15,0,0,0,15
08/31/1983,0,15,0,0,0,15
09/30/1983,0,15,0,0,0,15
10/31/1983,0,15,0,0,0,15
11/30/1983,0,16,0,0,0,16
12/31/1983,0,16,0,0,0,16
01/31/1984,0,17,0,0,0,17
02/29/1984,0,17,0,0,0,17
03/31/1984,0,17,0,0,0,17
04/30/1984,0,17,0,0,0,17
05/31/1984,0,17,0,0,0,17
06/30/1984,0,18,0,0,0,18
07/31/1984,0,18,0,0,0,18
08/31/1984,0,18,0,0,0,18
09/30/1984,0,17,1,0,0,18
10/31/1984,0,19,0,0,0,19
11/30/1984,0,19,0,0,0,19
12/31/1984,2,17,0,0,0,19
01/31/1985,0,19,0,0,0,19
02/28/1985,0,20,0,0,0,20
03/31/1985,0,21,0,0,0,21
04/30/1985,0,22,0,0,0,22
05/31/1985,0,22,0,0,0,22
06/30/1985,0,23,0,0,0,23
07/31/1985,0,24,0,0,0,24
08/31/1985,0,24,0,0,0,24
09/30/1985,0,25,0,0,0,25
10/31/1985,0,26,0,0,1,27
11/30/1985,0,27,0,0,0,27
12/31/1985,0,27,1,0,0,28
01/31/1986,0,27,0,0,1,28
02/28/1986,0,27,0,0,0,27
03/31/1986,0,27,0,0,0,27
04/30/1986,0,27,0,0,0,27
05/31/1986,0,27,0,0,0,27
06/30/1986,1,27,0,0,0,28
07/31/1986,0,28,0,0,0,28
08/31/1986,0,28,0,0,0,28
09/30/1986,0,28,0,0,0,28
10/31/1986,0,29,0,0,0,29
11/30/1986,0,32,0,0,0,32
12/31/1986,0,33,0,0,0,33
01/31/1987,0,30,0,0,3,33
02/28/1987,1,31,0,0,0,32
03/31/1987,0,31,0,0,1,32
04/30/1987,0,30,0,0,1,31
05/31/1987,0,31,0,0,0,31
06/30/1987,0,31,0,0,0,31
07/31/1987,0,31,0,0,0,31
08/31/1987,0,30,0,0,1,31
09/30/1987,0,30,0,0,0,30
10/31/1987,0,28,1,0,1,30
11/30/1987,0,29,0,0,0,29
12/31/1987,0,29,0,0,0,29
01/31/1988,0,25,1,0,4,30
02/29/1988,0,25,1,0,0,26
03/31/1988,0,25,1,0,0,26
04/30/1988,0,25,0,0,1,26
05/31/1988,0,26,0,0,0,26
06/30/1988,0,28,0,0,0,28
07/31/1988,0,28,0,0,0,28
08/31/1988,0,28,0,0,0,28
09/30/1988,0,29,0,0,0,29
10/31/1988,0,29,0,0,0,29
11/30/1988,0,30,0,0,0,30
12/31/1988,0,28,2,0,0,30
01/31/1989,0,30,0,0,0,30
02/28/1989,0,29,0,0,1,30
03/31/1989,0,28,0,1,0,29
04/30/1989,0,28,0,0,0,28
05/31/1989,0,26,0,0,2,28
06/30/1989,0,25,0,0,1,26
07/31/1989,0,24,0,1,0,25
08/31/1989,0,21,2,0,1,24
09/30/1989,0,22,1,0,0,23
10/31/1989,0,24,0,0,0,24
11/30/1989,0,22,1,0,1,24
12/31/1989,0,23,0,0,0,23
01/31/1990,1,20,1,0,1,23
02/28/1990,0,20,0,0,2,22
03/31/1990,0,19,1,0,0,20
04/30/1990,0,19,0,1,0,20
05/31/1990,1,17,1,0,0,19
06/30/1990,0,16,0,0,3,19
07/31/1990,0,16,0,0,0,16
08/31/1990,0,17,0,0,0,17
09/30/1990,0,17,0,0,0,17
10/31/1990,0,16,0,1,0,17
11/30/1990,0,16,0,0,0,16
12/31/1990,0,16,0,0,0,16
01/31/1991,0,15,1,0,0,16
02/28/1991,0,16,1,0,0,17
03/31/1991,0,17,0,0,0,17
04/30/1991,0,17,0,0,0,17
05/31/1991,0,17,0,0,0,17
06/30/1991,0,17,0,0,0,17
07/31/1991,0,15,1,1,0,17
08/31/1991,0,15,1,0,0,16
09/30/1991,0,16,0,0,0,16
10/31/1991,0,15,1,0,0,16
11/30/1991,0,16,0,0,0,16
12/31/1991,0,15,1,0,0,16
01/31/1992,0,16,0,0,1,17
02/29/1992,0,16,0,0,0,16
03/31/1992,0,16,0,0,0,16
04/30/1992,0,16,0,0,0,16
05/31/1992,0,16,0,0,0,16
06/30/1992,0,15,0,1,0,16
07/31/1992,0,15,0,0,0,15
08/31/1992,0,16,0,0,0,16
09/30/1992,0,17,0,0,0,17
10/31/1992,0,17,1,0,0,18
11/30/1992,0,18,0,0,0,18
12/31/1992,0,18,0,0,0,18
01/31/1993,0,19,0,0,0,19
02/28/1993,0,20,0,0,0,20
03/31/1993,0,21,0,0,0,21
04/30/1993,0,21,0,0,0,21
05/31/1993,0,21,0,0,0,21
06/30/1993,0,21,0,0,0,21
07/31/1993,0,21,0,0,0,21
08/31/1993,0,24,0,0,0,24
09/30/1993,0,23,1,0,0,24
10/31/1993,0,25,0,0,0,25
11/30/1993,0,25,0,0,0,25
12/31/1993,1,27,0,0,0,28
01/31/1994,1,27,0,0,0,28
02/28/1994,0,30,0,0,0,30
03/31/1994,0,31,0,0,0,31
04/30/1994,0,33,0,0,0,33
05/31/1994,0,34,0,0,0,34
06/30/1994,0,37,0,0,0,37
07/31/1994,0,40,0,0,0,40
08/31/1994,0,42,1,0,0,43
09/30/1994,0,43,0,0,0,43
10/31/1994,0,42,1,0,0,43
11/30/1994,0,43,0,0,0,43
12/31/1994,0,43,0,0,0,43
01/31/1995,0,43,0,0,0,43
02/28/1995,0,43,0,0,0,43
03/31/1995,0,48,0,0,0,48
04/30/1995,0,47,0,0,2,49
05/31/1995,0,50,0,0,0,50
06/30/1995,0,50,0,0,0,50
07/31/1995,0,51,0,0,0,51
08/31/1995,0,52,0,0,0,52
09/30/1995,0,52,0,0,0,52
10/31/1995,0,53,0,0,2,55
11/30/1995,0,54,0,0,1,55
12/31/1995,0,56,0,0,0,56
01/31/1996,1,56,0,0,0,57
02/29/1996,0,60,0,0,0,60
03/31/1996,0,59,0,0,1,60
04/30/1996,0,62,0,0,0,62
05/31/1996,0,63,0,0,0,63
06/30/1996,0,66,0,0,1,67
07/31/1996,0,72,0,0,0,72
08/31/1996,0,73,0,0,0,73
09/30/1996,0,73,0,0,0,73
10/31/1996,0,75,0,0,1,76
11/30/1996,0,78,0,0,0,78
12/31/1996,0,82,0,0,0,82
01/31/1997,0,84,0,0,0,84
02/28/1997,0,84,0,0,0,84
03/31/1997,0,83,0,0,1,84
04/30/1997,1,85,0,0,0,86
05/31/1997,0,90,0,0,0,90
06/30/1997,0,92,0,0,1,93
07/31/1997,0,97,0,0,0,97
08/31/1997,0,100,0,0,0,100
09/30/1997,2,106,0,0,0,108
10/31/1997,0,111,0,0,0,111
11/30/1997,0,114,1,0,0,115
12/31/1997,1,122,1,0,0,124
01/31/1998,0,122,1,0,2,125
02/28/1998,0,125,0,0,0,125
03/31/1998,0,126,0,0,1,127
04/30/1998,0,130,0,0,0,130
05/31/1998,0,131,1,0,0,132
06/30/1998,0,132,0,0,1,133
07/31/1998,0,137,1,0,2,140
08/31/1998,0,139,0,0,1,140
09/30/1998,1,138,2,0,1,142
10/31/1998,0,140,0,0,1,141
11/30/1998,0,139,2,0,3,144
12/31/1998,0,144,1,0,0,145
01/31/1999,0,146,0,0,0,146
02/28/1999,0,145,2,0,0,147
03/31/1999,1,145,1,0,0,147
04/30/1999,0,150,0,0,1,151
05/31/1999,0,148,0,0,3,151
06/30/1999,0,149,0,0,1,150
07/31/1999,0,149,0,0,3,152
