Up/Down,Upgrade,Same,Downgrade,Defaulted,Non-Rated,Totals
01/31/1981,0,69,1,0,0,70
02/28/1981,0,70,0,0,0,70
03/31/1981,0,69,1,0,0,70
04/30/1981,0,70,0,0,0,70
05/31/1981,0,70,0,0,0,70
06/30/1981,0,70,0,0,0,70
07/31/1981,0,70,0,0,0,70
08/31/1981,0,70,0,0,0,70
09/30/1981,1,69,0,0,0,70
10/31/1981,0,70,0,0,0,70
11/30/1981,0,70,0,0,0,70
12/31/1981,0,70,0,0,0,70
01/31/1982,0,69,0,0,1,70
02/28/1982,0,69,0,0,0,69
03/31/1982,0,69,0,0,0,69
04/30/1982,0,69,0,0,0,69
05/31/1982,0,69,0,0,0,69
06/30/1982,0,69,0,0,0,69
07/31/1982,0,69,0,0,0,69
08/31/1982,4,65,0,0,0,69
09/30/1982,0,69,0,0,0,69
10/31/1982,0,68,0,0,1,69
11/30/1982,0,68,0,0,0,68
12/31/1982,0,67,0,0,1,68
01/31/1983,0,67,0,0,0,67
02/28/1983,0,67,0,0,0,67
03/31/1983,1,57,9,0,0,67
04/30/1983,0,68,0,0,0,68
05/31/1983,0,68,0,0,0,68
06/30/1983,1,67,0,0,0,68
07/31/1983,1,67,0,0,0,68
08/31/1983,0,67,0,0,1,68
09/30/1983,0,68,0,0,0,68
10/31/1983,0,68,0,0,0,68
11/30/1983,0,68,0,0,0,68
12/31/1983,0,68,0,0,0,68
01/31/1984,0,69,0,0,0,69
02/29/1984,0,69,0,0,0,69
03/31/1984,0,69,0,0,0,69
04/30/1984,0,69,0,0,0,69
05/31/1984,2,67,0,0,0,69
06/30/1984,1,68,0,0,0,69
07/31/1984,0,69,0,0,0,69
08/31/1984,0,67,2,0,0,69
09/30/1984,1,68,0,0,1,70
10/31/1984,0,69,0,0,0,69
11/30/1984,0,69,0,0,0,69
12/31/1984,0,69,1,0,0,70
01/31/1985,0,70,0,0,0,70
02/28/1985,0,70,0,0,0,70
03/31/1985,0,70,0,0,0,70
04/30/1985,0,70,0,0,0,70
05/31/1985,0,70,0,0,0,70
06/30/1985,0,71,0,0,0,71
07/31/1985,0,71,0,0,0,71
08/31/1985,0,70,1,0,0,71
09/30/1985,0,71,0,0,0,71
10/31/1985,0,71,0,0,0,71
11/30/1985,0,71,0,0,0,71
12/31/1985,0,72,0,0,0,72
01/31/1986,1,71,0,0,0,72
02/28/1986,0,73,0,0,0,73
03/31/1986,0,73,0,0,0,73
04/30/1986,3,70,0,0,0,73
05/31/1986,0,72,1,0,0,73
06/30/1986,4,69,0,0,0,73
07/31/1986,0,73,0,0,0,73
08/31/1986,1,71,1,0,0,73
09/30/1986,2,70,0,0,1,73
10/31/1986,1,71,0,0,0,72
11/30/1986,0,72,0,0,0,72
12/31/1986,0,72,0,0,0,72
01/31/1987,0,69,0,0,3,72
02/28/1987,0,71,0,0,0,71
03/31/1987,2,70,0,0,0,72
04/30/1987,0,72,1,0,0,73
05/31/1987,0,74,0,0,0,74
06/30/1987,0,74,0,0,0,74
07/31/1987,1,74,0,0,0,75
08/31/1987,0,74,0,0,1,75
09/30/1987,0,75,0,0,0,75
10/31/1987,0,76,0,0,0,76
11/30/1987,0,77,0,1,0,78
12/31/1987,0,77,0,0,0,77
01/31/1988,0,78,0,0,0,78
02/29/1988,0,78,0,0,0,78
03/31/1988,0,77,0,0,1,78
04/30/1988,0,77,0,0,0,77
05/31/1988,0,77,0,0,0,77
06/30/1988,2,75,0,0,0,77
07/31/1988,0,75,1,1,0,77
08/31/1988,1,74,1,0,0,76
09/30/1988,0,73,4,0,0,77
10/31/1988,0,77,0,0,0,77
11/30/1988,0,77,0,0,0,77
12/31/1988,1,76,0,0,0,77
01/31/1989,0,73,4,0,0,77
02/28/1989,4,73,0,0,0,77
