Up/Down,Upgrade,Same,Downgrade,Defaulted,Non-Rated,Totals
01/31/1981,0,93,1,0,0,94
02/28/1981,3,91,0,1,0,95
03/31/1981,0,94,0,0,0,94
04/30/1981,1,93,0,0,0,94
05/31/1981,0,95,0,0,0,95
06/30/1981,1,93,1,0,0,95
07/31/1981,1,94,0,0,0,95
08/31/1981,0,94,1,0,0,95
09/30/1981,0,94,1,0,0,95
10/31/1981,0,94,0,1,0,95
11/30/1981,0,94,0,0,0,94
12/31/1981,0,92,2,0,0,94
01/31/1982,0,94,0,0,0,94
02/28/1982,0,94,0,0,0,94
03/31/1982,0,94,0,0,0,94
04/30/1982,0,93,0,1,0,94
05/31/1982,2,88,1,1,1,93
06/30/1982,0,91,1,0,1,93
07/31/1982,0,91,1,0,0,92
08/31/1982,0,89,3,0,0,92
09/30/1982,0,94,1,0,0,95
10/31/1982,0,95,0,0,0,95
11/30/1982,0,96,0,0,0,96
12/31/1982,1,94,1,0,0,96
01/31/1983,1,95,0,0,0,96
02/28/1983,0,95,2,0,0,97
03/31/1983,0,98,0,0,0,98
04/30/1983,0,98,0,0,1,99
05/31/1983,2,96,0,0,1,99
06/30/1983,0,98,1,0,0,99
07/31/1983,0,99,0,0,0,99
08/31/1983,1,100,0,0,0,101
09/30/1983,4,95,1,1,0,101
10/31/1983,0,100,0,0,0,100
11/30/1983,1,98,0,0,1,100
12/31/1983,0,99,0,0,0,99
01/31/1984,0,97,1,0,1,99
02/29/1984,0,98,0,0,0,98
03/31/1984,0,97,0,0,1,98
04/30/1984,1,95,1,0,0,97
05/31/1984,0,96,0,1,0,97
06/30/1984,2,94,0,0,0,96
07/31/1984,5,92,0,0,0,97
08/31/1984,0,97,0,0,0,97
09/30/1984,0,95,1,1,0,97
10/31/1984,0,96,0,0,0,96
11/30/1984,0,96,0,0,0,96
12/31/1984,0,95,1,1,1,98
01/31/1985,4,89,1,0,2,96
02/28/1985,0,102,0,0,1,103
03/31/1985,1,101,0,0,0,102
04/30/1985,0,102,0,0,0,102
05/31/1985,0,101,2,0,0,103
06/30/1985,1,103,0,0,0,104
07/31/1985,0,105,0,0,0,105
08/31/1985,2,103,0,0,0,105
09/30/1985,0,104,0,0,1,105
10/31/1985,0,108,0,0,0,108
11/30/1985,1,108,0,0,0,109
12/31/1985,0,109,0,0,1,110
01/31/1986,0,112,0,0,0,112
02/28/1986,0,113,0,0,1,114
03/31/1986,1,110,1,0,1,113
04/30/1986,0,112,1,0,1,114
05/31/1986,0,112,3,0,0,115
06/30/1986,0,116,0,0,0,116
07/31/1986,0,114,2,1,0,117
08/31/1986,0,118,0,0,1,119
09/30/1986,0,117,0,0,1,118
10/31/1986,0,116,2,0,0,118
11/30/1986,0,118,0,0,0,118
12/31/1986,0,118,1,0,0,119
01/31/1987,0,118,0,0,1,119
02/28/1987,1,117,0,0,0,118
03/31/1987,0,113,4,0,1,118
04/30/1987,0,117,0,0,0,117
05/31/1987,0,117,0,0,0,117
06/30/1987,0,115,1,0,2,118
07/31/1987,0,118,0,0,0,118
08/31/1987,1,116,1,0,1,119
09/30/1987,0,119,0,0,0,119
