Up/Down,Upgrade,Same,Downgrade,Defaulted,Non-Rated,Totals
01/31/1981,0,230,5,0,0,235
02/28/1981,0,235,0,0,0,235
03/31/1981,0,231,4,0,0,235
04/30/1981,0,233,2,0,0,235
05/31/1981,0,234,1,0,0,235
06/30/1981,0,235,0,0,0,235
07/31/1981,0,235,1,0,0,236
08/31/1981,0,236,0,0,0,236
09/30/1981,2,233,1,0,0,236
10/31/1981,2,234,1,0,0,237
11/30/1981,1,237,1,0,0,239
12/31/1981,1,236,1,0,1,239
01/31/1982,0,236,2,0,0,238
02/28/1982,0,238,0,0,0,238
03/31/1982,0,236,2,0,0,238
04/30/1982,0,237,1,0,0,238
05/31/1982,0,237,1,0,0,238
06/30/1982,1,237,1,0,0,239
07/31/1982,0,236,1,1,1,239
08/31/1982,1,234,2,0,0,237
09/30/1982,2,233,1,0,1,237
10/31/1982,0,235,1,0,0,236
11/30/1982,0,236,0,0,0,236
12/31/1982,1,232,3,0,0,236
01/31/1983,0,235,2,0,0,237
02/28/1983,0,235,3,0,0,238
03/31/1983,0,238,0,0,0,238
04/30/1983,0,235,5,0,1,241
05/31/1983,0,237,3,0,0,240
06/30/1983,1,238,0,0,1,240
07/31/1983,2,236,0,0,1,239
08/31/1983,0,237,2,0,0,239
09/30/1983,4,235,0,0,1,240
10/31/1983,2,237,1,0,0,240
11/30/1983,0,237,3,0,0,240
12/31/1983,1,236,3,0,0,240
01/31/1984,0,240,0,0,0,240
02/29/1984,2,234,4,0,0,240
03/31/1984,2,239,0,0,0,241
04/30/1984,1,237,2,0,1,241
05/31/1984,4,235,1,0,0,240
06/30/1984,1,240,0,0,0,241
07/31/1984,1,238,2,0,0,241
08/31/1984,1,240,1,0,0,242
09/30/1984,2,242,1,0,0,245
10/31/1984,3,240,3,0,0,246
11/30/1984,2,244,1,0,0,247
12/31/1984,3,247,1,0,0,251
01/31/1985,3,246,0,0,2,251
02/28/1985,5,244,2,0,0,251
03/31/1985,1,247,4,0,0,252
04/30/1985,4,243,6,0,0,253
05/31/1985,1,246,6,0,0,253
06/30/1985,1,250,2,0,1,254
07/31/1985,1,252,0,0,0,253
08/31/1985,0,253,0,0,0,253
09/30/1985,0,254,0,0,0,254
10/31/1985,1,252,0,0,1,254
11/30/1985,1,254,0,0,0,255
12/31/1985,1,254,0,0,0,255
01/31/1986,0,250,1,0,5,256
02/28/1986,1,250,2,0,0,253
03/31/1986,0,254,1,0,0,255
04/30/1986,10,245,1,0,0,256
05/31/1986,2,250,3,0,1,256
06/30/1986,1,255,1,0,0,257
07/31/1986,1,257,2,0,0,260
08/31/1986,1,259,1,0,0,261
09/30/1986,0,260,0,0,2,262
10/31/1986,1,256,2,0,1,260
11/30/1986,0,255,4,0,0,259
12/31/1986,0,254,7,0,0,261
01/31/1987,1,260,0,0,0,261
02/28/1987,1,263,1,0,0,265
03/31/1987,3,258,3,0,1,265
04/30/1987,3,260,0,0,1,264
05/31/1987,1,258,4,0,0,263
06/30/1987,2,254,4,1,2,263
07/31/1987,2,257,3,0,1,263
08/31/1987,0,260,2,0,1,263
09/30/1987,1,261,1,0,0,263
10/31/1987,0,261,2,0,0,263
11/30/1987,0,266,0,0,0,266
12/31/1987,0,264,2,0,0,266
01/31/1988,1,262,1,1,4,269
02/29/1988,1,263,1,0,2,267
03/31/1988,0,264,1,0,0,265
04/30/1988,0,266,0,0,0,266
05/31/1988,1,260,3,0,2,266
06/30/1988,0,264,1,0,0,265
