Up/Down,Upgrade,Same,Downgrade,Defaulted,Non-Rated,Totals
03/31/1981,0,61,7,0,0,68
06/30/1981,0,71,0,0,0,71
09/30/1981,0,69,1,0,1,71
12/31/1981,0,69,1,0,0,70
03/31/1982,0,67,3,0,0,70
06/30/1982,0,63,6,1,0,70
09/30/1982,0,65,2,1,1,69
12/31/1982,0,65,1,0,1,67
03/31/1983,0,62,3,0,2,67
06/30/1983,0,66,0,0,1,67
09/30/1983,0,67,0,0,0,67
12/31/1983,0,67,0,0,2,69
03/31/1984,1,62,3,0,1,67
06/30/1984,0,67,0,0,1,68
09/30/1984,0,64,2,1,0,67
12/31/1984,0,66,1,0,0,67
03/31/1985,2,67,3,0,0,72
06/30/1985,0,69,1,0,4,74
09/30/1985,0,67,5,0,1,73
12/31/1985,1,70,2,0,0,73
03/31/1986,0,70,1,0,3,74
06/30/1986,0,70,1,1,1,73
09/30/1986,0,72,2,0,1,75
12/31/1986,2,77,2,0,0,81
03/31/1987,3,79,2,0,2,86
06/30/1987,0,87,1,0,3,91
09/30/1987,1,90,1,1,1,94
12/31/1987,1,90,1,0,2,94
03/31/1988,1,84,6,0,2,93
06/30/1988,2,84,5,1,1,93
09/30/1988,0,86,1,0,5,92
12/31/1988,4,85,1,0,1,91
03/31/1989,0,92,0,0,2,94
06/30/1989,2,85,4,0,2,93
09/30/1989,1,88,2,0,0,91
12/31/1989,1,91,2,0,0,94
03/31/1990,2,89,3,0,0,94
06/30/1990,1,87,3,1,2,94
09/30/1990,0,83,5,1,2,91
12/31/1990,1,78,2,6,1,88
03/31/1991,1,72,4,2,2,81
06/30/1991,0,74,2,3,0,79
09/30/1991,0,70,3,1,2,76
12/31/1991,0,69,1,1,2,73
03/31/1992,1,69,1,0,0,71
06/30/1992,1,69,1,1,0,72
09/30/1992,2,73,0,0,0,75
12/31/1992,4,71,0,0,1,76
03/31/1993,0,79,1,0,1,81
06/30/1993,2,82,0,0,1,85
09/30/1993,0,85,2,0,2,89
12/31/1993,1,90,2,0,3,96
03/31/1994,1,95,2,1,1,100
06/30/1994,0,106,0,0,2,108
09/30/1994,0,110,0,0,1,111
12/31/1994,4,104,1,0,1,110
03/31/1995,0,110,1,0,0,111
06/30/1995,3,107,0,1,1,112
09/30/1995,1,114,1,1,0,117
12/31/1995,3,114,0,1,2,120
03/31/1996,0,118,1,0,1,120
06/30/1996,3,121,0,0,0,124
09/30/1996,2,123,0,0,4,129
12/31/1996,0,125,2,0,1,128
03/31/1997,1,129,1,0,6,137
06/30/1997,4,128,1,0,2,135
09/30/1997,0,142,1,0,1,144
12/31/1997,3,144,1,0,1,149
03/31/1998,2,149,5,0,2,158
06/30/1998,2,151,2,1,6,162
09/30/1998,0,156,4,0,3,163
12/31/1998,0,161,3,1,0,165
03/31/1999,0,163,7,1,2,173
06/30/1999,1,172,1,0,5,179
09/30/1999,1,174,0,0,4,179
12/31/1999,0,170,4,2,2,178
03/31/2000,0,163,6,1,5,175
06/30/2000,4,158,7,1,3,173
09/30/2000,1,164,2,1,3,171
12/31/2000,1,157,2,3,5,168
03/31/2001,1,152,6,1,1,161
06/30/2001,2,147,4,5,5,163
09/30/2001,1,140,7,1,5,154
12/31/2001,1,151,1,2,0,155
03/31/2002,1,139,8,3,3,154
06/30/2002,0,144,5,0,2,151
09/30/2002,0,145,3,2,2,152
12/31/2002,0,140,6,3,1,150
03/31/2003,2,134,7,1,2,146
06/30/2003,0,144,1,1,0,146
09/30/2003,1,139,2,0,5,147
12/31/2003,4,135,2,0,3,144
03/31/2004,2,146,1,2,1,152
06/30/2004,0,158,1,0,3,162
09/30/2004,0,162,0,0,3,165
12/31/2004,1,159,3,0,2,165
03/31/2005,1,163,3,1,1,169
06/30/2005,1,163,5,0,9,178
09/30/2005,0,164,8,0,2,174
12/31/2005,0,167,5,0,3,175
03/31/2006,2,171,2,0,2,177
06/30/2006,3,169,4,1,5,182
09/30/2006,2,178,1,1,2,184
12/31/2006,1,181,2,0,2,186
03/31/2007,1,173,4,2,9,189
06/30/2007,2,176,2,0,2,182
09/30/2007,0,178,2,0,5,185
12/31/2007,1,167,8,3,4,183
03/31/2008,0,168,9,0,1,178
06/30/2008,0,170,5,0,5,180
09/30/2008,0,167,5,3,1,176
12/31/2008,0,149,19,4,1,173
03/31/2009,0,144,23,5,0,172
06/30/2009,0,140,10,13,4,167
09/30/2009,0,141,7,4,1,153
12/31/2009,2,136,4,6,2,150
03/31/2010,4,141,2,3,1,151
06/30/2010,6,145,1,1,1,154
09/30/2010,4,147,2,0,2,155
12/31/2010,4,150,2,1,3,160
03/31/2011,2,155,3,0,2,162
06/30/2011,2,152,7,0,3,164
09/30/2011,3,159,2,2,1,167
12/31/2011,4,156,1,4,3,168
03/31/2012,1,157,2,1,3,164
06/30/2012,0,152,6,1,3,162
09/30/2012,1,156,2,0,2,161
12/31/2012,2,153,2,0,5,162
03/31/2013,2,151,3,2,1,159
06/30/2013,3,161,1,2,2,169
09/30/2013,0,168,1,1,3,173
12/31/2013,0,167,0,1,4,172
03/31/2014,1,171,2,0,0,174
06/30/2014,3,169,1,0,2,175
09/30/2014,1,179,2,0,2,184
12/31/2014,1,191,0,1,3,196
03/31/2015,1,189,2,4,1,197
06/30/2015,3,189,1,1,5,199
09/30/2015,5,191,0,0,5,201
12/31/2015,5,192,3,1,5,206
03/31/2016,4,192,2,1,3,202
06/30/2016,2,192,2,1,2,199
09/30/2016,1,196,2,0,2,201
12/31/2016,3,192,2,0,9,206
03/31/2017,7,196,2,0,5,210
06/30/2017,2,202,2,1,4,211
09/30/2017,1,200,3,2,8,214
12/31/2017,2,200,1,1,5,209
03/31/2018,3,200,0,2,6,211
06/30/2018,1,204,2,0,7,214
09/30/2018,4,205,1,0,12,222
12/31/2018,2,210,0,0,4,216
03/31/2019,1,213,3,0,5,222
06/30/2019,0,210,0,0,10,220
09/30/2019,1,207,4,0,5,217
12/31/2019,1,205,1,1,10,218
03/31/2020,1,205,3,1,4,214
06/30/2020,0,205,4,0,5,214
09/30/2020,0,207,1,2,3,213
