Up/Down,Upgrade,Same,Downgrade,Defaulted,Non-Rated,Totals
03/31/1981,2,203,19,0,2,226
06/30/1981,7,213,7,0,3,230
09/30/1981,2,222,5,0,2,231
12/31/1981,1,230,4,0,0,235
03/31/1982,2,230,3,2,3,240
06/30/1982,1,227,3,2,3,236
09/30/1982,0,225,5,0,2,232
12/31/1982,3,214,6,0,10,233
03/31/1983,1,226,6,0,5,238
06/30/1983,4,226,4,2,5,241
09/30/1983,3,228,3,1,2,237
12/31/1983,3,230,1,0,4,238
03/31/1984,1,234,2,1,2,240
06/30/1984,7,226,3,0,6,242
09/30/1984,2,235,2,0,3,242
12/31/1984,3,237,4,0,4,248
03/31/1985,0,242,5,2,6,255
06/30/1985,3,249,6,0,5,263
09/30/1985,1,265,6,0,1,273
12/31/1985,3,266,9,1,4,283
03/31/1986,0,268,11,1,9,289
06/30/1986,4,268,4,0,9,285
09/30/1986,5,265,11,0,5,286
12/31/1986,3,277,8,0,8,296
03/31/1987,1,293,1,0,10,305
06/30/1987,1,294,5,1,13,314
09/30/1987,3,303,5,1,6,318
12/31/1987,1,307,4,1,13,326
03/31/1988,6,294,3,3,9,315
06/30/1988,0,287,12,2,9,310
09/30/1988,3,295,7,1,2,308
12/31/1988,1,297,13,0,9,320
03/31/1989,4,303,6,0,5,318
06/30/1989,1,301,0,1,14,317
09/30/1989,4,302,2,1,7,316
12/31/1989,5,296,5,2,10,318
03/31/1990,3,285,8,3,10,309
06/30/1990,2,284,5,3,4,298
09/30/1990,6,267,6,5,11,295
12/31/1990,1,269,5,4,4,283
03/31/1991,3,264,4,7,1,279
06/30/1991,2,265,2,4,4,277
09/30/1991,3,266,2,2,3,276
12/31/1991,7,262,1,5,1,276
03/31/1992,10,259,2,2,2,275
06/30/1992,5,270,6,0,5,286
09/30/1992,1,282,2,3,2,290
12/31/1992,3,275,2,3,13,296
03/31/1993,2,275,4,2,5,288
06/30/1993,8,276,2,0,9,295
09/30/1993,4,284,3,0,9,300
12/31/1993,2,287,3,0,21,313
03/31/1994,3,303,1,1,5,313
06/30/1994,1,311,3,0,1,316
09/30/1994,2,312,5,2,3,324
12/31/1994,4,314,6,1,3,328
03/31/1995,3,311,8,2,8,332
06/30/1995,5,313,6,2,5,331
09/30/1995,0,325,5,4,9,343
12/31/1995,6,325,9,4,5,349
03/31/1996,1,329,9,3,7,349
06/30/1996,5,335,4,0,9,353
09/30/1996,2,345,5,1,10,363
12/31/1996,6,351,5,2,3,367
03/31/1997,4,364,6,0,9,383
06/30/1997,10,368,5,1,7,391
09/30/1997,3,379,8,6,7,403
12/31/1997,1,384,10,3,8,406
03/31/1998,10,393,7,6,9,425
06/30/1998,8,419,8,0,4,439
09/30/1998,0,459,3,2,5,469
12/31/1998,3,458,5,4,11,481
03/31/1999,5,437,14,4,11,471
06/30/1999,4,437,10,7,14,472
09/30/1999,2,456,9,2,5,474
12/31/1999,2,458,11,4,9,484
03/31/2000,5,445,22,6,4,482
06/30/2000,2,466,8,8,2,486
