Up/Down,Upgrade,Same,Downgrade,Defaulted,Non-Rated,Totals
03/31/1981,2,106,8,0,0,116
06/30/1981,1,113,3,0,1,118
09/30/1981,0,117,1,0,0,118
12/31/1981,2,117,1,0,0,120
03/31/1982,1,115,4,0,3,123
06/30/1982,0,118,0,0,2,120
09/30/1982,0,113,3,0,3,119
12/31/1982,2,108,4,1,5,120
03/31/1983,2,114,2,0,0,118
06/30/1983,0,118,7,0,2,127
09/30/1983,1,126,1,1,1,130
12/31/1983,0,120,6,2,1,129
03/31/1984,2,119,3,1,2,127
06/30/1984,1,110,8,3,3,125
09/30/1984,1,116,4,1,0,122
12/31/1984,0,118,1,2,2,123
03/31/1985,1,113,2,2,4,122
06/30/1985,0,109,8,1,3,121
09/30/1985,0,112,2,2,1,117
12/31/1985,0,111,4,0,1,116
03/31/1986,0,111,2,3,3,119
06/30/1986,3,100,6,5,3,117
09/30/1986,3,84,19,3,4,113
12/31/1986,1,102,3,1,2,109
03/31/1987,4,96,2,2,7,111
06/30/1987,1,99,1,3,3,107
09/30/1987,2,98,1,0,2,103
12/31/1987,2,98,0,0,2,102
03/31/1988,1,89,1,2,9,102
06/30/1988,6,80,1,0,4,91
09/30/1988,2,86,2,0,1,91
12/31/1988,1,87,1,0,3,92
03/31/1989,6,80,1,0,2,89
06/30/1989,0,90,1,0,2,93
09/30/1989,0,88,1,0,3,92
12/31/1989,0,90,1,0,1,92
03/31/1990,0,86,3,0,3,92
06/30/1990,1,91,1,0,0,93
09/30/1990,2,91,0,0,2,95
12/31/1990,1,90,1,0,1,93
03/31/1991,0,90,2,0,1,93
06/30/1991,1,87,3,0,1,92
09/30/1991,0,91,0,0,0,91
12/31/1991,1,89,1,2,0,93
03/31/1992,0,94,4,0,1,99
06/30/1992,0,99,0,0,0,99
09/30/1992,1,98,2,1,0,102
12/31/1992,1,102,1,0,3,107
03/31/1993,0,107,1,1,0,109
06/30/1993,1,106,3,1,2,113
09/30/1993,3,109,2,0,3,117
12/31/1993,1,115,0,0,5,121
03/31/1994,0,118,1,0,3,122
06/30/1994,0,121,1,0,4,126
09/30/1994,0,125,2,0,1,128
12/31/1994,1,125,2,1,1,130
03/31/1995,1,130,1,0,2,134
06/30/1995,3,130,1,1,2,137
09/30/1995,0,140,0,0,3,143
12/31/1995,2,140,0,0,0,142
03/31/1996,1,144,1,1,1,148
06/30/1996,1,147,1,0,0,149
09/30/1996,4,148,1,0,2,155
12/31/1996,5,153,0,0,0,158
03/31/1997,0,167,0,0,2,169
06/30/1997,5,162,1,0,8,176
09/30/1997,2,175,0,0,5,182
12/31/1997,3,180,3,0,4,190
03/31/1998,2,189,2,0,0,193
06/30/1998,5,190,2,0,6,203
09/30/1998,1,201,7,0,4,213
12/31/1998,2,202,7,2,5,218
03/31/1999,1,197,10,2,4,214
06/30/1999,1,186,15,4,7,213
09/30/1999,3,191,2,4,9,209
12/31/1999,3,190,4,3,2,202
03/31/2000,0,192,4,0,4,200
06/30/2000,3,190,2,0,5,200
09/30/2000,3,191,0,1,3,198
12/31/2000,3,193,1,0,1,198
03/31/2001,7,187,4,3,5,206
06/30/2001,3,199,1,1,0,204
09/30/2001,1,201,2,0,8,212
12/31/2001,0,198,7,1,9,215
03/31/2002,2,204,2,1,2,211
06/30/2002,4,198,5,2,3,212
09/30/2002,1,202,7,0,5,215
12/31/2002,1,194,15,1,3,214
03/31/2003,1,204,4,1,6,216
06/30/2003,5,201,3,0,2,211
09/30/2003,4,203,1,1,3,212
12/31/2003,4,214,0,1,1,220
03/31/2004,4,216,3,0,7,230
06/30/2004,2,215,7,1,6,231
09/30/2004,1,229,2,0,3,235
12/31/2004,0,229,2,1,4,236
03/31/2005,1,235,4,0,3,243
06/30/2005,1,234,6,1,7,249
09/30/2005,9,237,0,0,6,252
12/31/2005,1,244,5,0,6,256
03/31/2006,2,258,0,0,5,265
06/30/2006,2,258,3,0,6,269
09/30/2006,5,263,6,0,3,277
12/31/2006,7,267,1,0,6,281
03/31/2007,2,282,1,0,3,288
06/30/2007,4,287,2,0,7,300
09/30/2007,5,289,5,0,9,308
12/31/2007,4,296,1,0,8,309
03/31/2008,4,298,4,0,3,309
06/30/2008,5,300,3,0,4,312
09/30/2008,9,301,1,0,3,314
12/31/2008,1,298,9,4,7,319
03/31/2009,2,287,16,1,6,312
06/30/2009,0,289,9,5,5,308
09/30/2009,2,286,7,3,6,304
12/31/2009,4,295,3,2,3,307
03/31/2010,5,303,3,0,3,314
06/30/2010,4,304,9,1,7,325
09/30/2010,6,315,3,0,4,328
12/31/2010,4,322,2,0,5,333
03/31/2011,0,339,2,0,4,345
06/30/2011,5,339,1,1,9,355
09/30/2011,4,356,4,0,5,369
12/31/2011,4,350,5,4,5,368
03/31/2012,2,357,5,1,4,369
06/30/2012,4,371,6,0,4,385
09/30/2012,1,381,7,5,3,397
12/31/2012,2,386,6,3,7,404
03/31/2013,1,419,3,1,4,428
06/30/2013,5,422,8,0,6,441
09/30/2013,1,443,9,2,6,461
12/31/2013,10,444,11,5,4,474
03/31/2014,3,466,5,2,7,483
06/30/2014,3,470,3,2,8,486
09/30/2014,4,472,5,5,8,494
12/31/2014,0,495,13,3,10,521
03/31/2015,1,489,19,7,12,528
06/30/2015,3,478,22,12,8,523
09/30/2015,1,490,12,11,5,519
12/31/2015,0,453,32,10,14,509
03/31/2016,1,405,61,16,6,489
06/30/2016,2,408,28,28,5,471
09/30/2016,3,412,13,18,10,456
12/31/2016,3,412,14,14,5,448
03/31/2017,8,420,6,6,5,445
06/30/2017,6,418,9,9,9,451
09/30/2017,5,427,7,4,7,450
12/31/2017,8,428,5,5,9,455
03/31/2018,10,436,1,9,4,460
06/30/2018,5,454,6,5,8,478
09/30/2018,8,455,6,2,13,484
12/31/2018,4,474,9,2,7,496
03/31/2019,3,463,14,7,14,501
06/30/2019,5,466,10,6,6,493
09/30/2019,1,458,11,8,14,492
12/31/2019,2,443,13,2,13,473
03/31/2020,2,395,46,4,18,465
06/30/2020,1,383,35,24,8,451
09/30/2020,0,396,7,16,8,427
12/31/2020,2,387,11,10,7,417
03/31/2021,6,383,8,6,8,411
06/30/2021,9,391,9,5,3,417
09/30/2021,5,411,2,2,9,429
