Up/Down,Upgrade,Same,Downgrade,Defaulted,Non-Rated,Totals
03/31/1981,2,83,2,0,0,87
06/30/1981,1,88,0,0,0,89
09/30/1981,1,85,5,0,0,91
12/31/1981,0,87,2,0,2,91
03/31/1982,2,85,2,0,1,90
06/30/1982,0,95,2,0,0,97
09/30/1982,0,90,9,1,0,100
12/31/1982,1,102,3,0,1,107
03/31/1983,0,110,4,0,1,115
06/30/1983,0,121,0,0,2,123
09/30/1983,3,121,1,0,1,126
12/31/1983,1,123,5,0,2,131
03/31/1984,1,126,8,0,0,135
06/30/1984,1,133,5,0,0,139
09/30/1984,0,137,2,0,1,140
12/31/1984,3,141,4,0,0,148
03/31/1985,3,148,4,0,0,155
06/30/1985,1,167,2,0,3,173
09/30/1985,4,176,3,0,1,184
12/31/1985,1,222,1,0,2,226
03/31/1986,0,225,2,0,6,233
06/30/1986,2,225,8,0,1,236
09/30/1986,0,234,7,0,2,243
12/31/1986,3,238,4,0,1,246
03/31/1987,1,251,8,0,0,260
06/30/1987,6,259,4,0,3,272
09/30/1987,1,269,7,0,5,282
12/31/1987,4,278,8,0,0,290
03/31/1988,2,280,12,0,4,298
06/30/1988,5,292,6,1,3,307
09/30/1988,6,293,7,2,4,312
12/31/1988,5,302,3,2,5,317
03/31/1989,2,306,5,2,4,319
06/30/1989,3,304,10,2,3,322
09/30/1989,4,318,5,2,1,330
12/31/1989,0,321,13,2,2,338
03/31/1990,1,316,19,2,4,342
06/30/1990,1,320,17,0,2,340
09/30/1990,0,316,19,2,2,339
12/31/1990,1,327,20,0,3,351
03/31/1991,1,319,30,3,4,357
06/30/1991,0,346,9,2,2,359
09/30/1991,0,346,8,2,4,360
12/31/1991,2,350,6,0,5,363
03/31/1992,3,345,12,2,3,365
06/30/1992,4,359,2,2,3,370
09/30/1992,5,357,7,2,3,374
12/31/1992,2,364,6,1,3,376
03/31/1993,5,355,16,0,6,382
06/30/1993,7,371,4,0,3,385
09/30/1993,5,382,2,1,1,391
12/31/1993,8,386,1,0,5,400
03/31/1994,6,401,9,0,3,419
06/30/1994,2,426,2,0,4,434
09/30/1994,1,441,1,0,7,450
12/31/1994,3,444,5,0,8,460
03/31/1995,1,496,9,0,5,511
06/30/1995,2,509,6,0,2,519
09/30/1995,3,528,7,0,0,538
12/31/1995,15,518,9,2,9,553
03/31/1996,2,538,6,0,10,556
06/30/1996,2,535,4,0,17,558
09/30/1996,9,542,2,0,8,561
12/31/1996,8,555,3,0,12,578
03/31/1997,3,578,8,0,5,594
06/30/1997,4,608,2,0,12,626
09/30/1997,2,622,3,0,8,635
12/31/1997,6,619,19,0,13,657
03/31/1998,4,624,25,0,19,672
06/30/1998,5,622,8,1,24,660
09/30/1998,7,609,18,6,25,665
12/31/1998,2,583,33,3,24,645
03/31/1999,2,617,7,1,11,638
06/30/1999,7,616,4,0,15,642
09/30/1999,5,625,3,0,10,643
12/31/1999,4,632,10,0,15,661
03/31/2000,3,655,4,1,4,667
06/30/2000,7,659,3,0,10,679
09/30/2000,3,674,7,0,7,691
12/31/2000,9,673,7,0,13,702
03/31/2001,3,670,18,2,16,709
06/30/2001,3,685,7,1,11,707
09/30/2001,9,683,5,3,19,719
12/31/2001,7,691,14,6,8,726
03/31/2002,3,716,4,0,12,735
06/30/2002,1,710,12,1,12,736
09/30/2002,11,704,19,1,9,744
12/31/2002,9,717,18,1,8,753
03/31/2003,6,735,9,1,8,759
06/30/2003,11,728,10,0,10,759
09/30/2003,8,741,4,1,9,763
12/31/2003,10,735,5,0,18,768
03/31/2004,2,777,2,0,12,793
06/30/2004,9,773,2,0,11,795
09/30/2004,8,787,4,0,13,812
12/31/2004,15,784,7,0,11,817
03/31/2005,15,794,3,0,9,821
06/30/2005,16,798,5,0,9,828
09/30/2005,33,777,11,0,13,834
12/31/2005,16,810,5,1,11,843
03/31/2006,23,819,0,0,10,852
06/30/2006,27,833,4,0,4,868
09/30/2006,11,869,0,0,12,892
12/31/2006,20,879,1,0,3,903
03/31/2007,25,885,3,1,14,928
06/30/2007,19,909,7,0,6,941
09/30/2007,8,936,6,0,8,958
12/31/2007,15,940,10,1,11,977
03/31/2008,8,963,11,2,8,992
06/30/2008,19,955,10,1,10,995
09/30/2008,12,948,21,6,15,1002
12/31/2008,8,902,69,7,22,1008
03/31/2009,6,892,67,2,26,993
06/30/2009,1,877,64,7,27,976
09/30/2009,3,900,22,6,21,952
12/31/2009,3,919,15,4,11,952
03/31/2010,4,930,6,2,16,958
06/30/2010,2,921,29,1,14,967
09/30/2010,6,939,5,5,13,968
12/31/2010,9,926,10,3,17,965
03/31/2011,9,915,30,0,9,963
06/30/2011,9,922,22,2,11,966
09/30/2011,5,942,17,1,14,979
12/31/2011,33,831,86,2,31,983
03/31/2012,7,914,32,0,21,974
06/30/2012,5,937,20,1,12,975
09/30/2012,7,939,14,2,18,980
12/31/2012,7,945,15,0,18,985
03/31/2013,2,966,12,2,9,991
06/30/2013,6,976,10,0,11,1003
09/30/2013,7,983,18,1,10,1019
12/31/2013,9,1011,7,0,9,1036
03/31/2014,3,1034,11,1,10,1059
06/30/2014,7,1040,14,1,9,1071
09/30/2014,1,1075,6,0,7,1089
12/31/2014,20,1053,15,1,22,1111
03/31/2015,3,1076,24,2,7,1112
06/30/2015,4,1062,22,4,22,1114
09/30/2015,9,1068,14,2,17,1110
12/31/2015,11,1057,19,4,17,1108
03/31/2016,5,1071,19,5,9,1109
06/30/2016,5,1075,12,3,14,1109
09/30/2016,9,1080,3,2,14,1108
12/31/2016,7,1064,9,4,25,1109
03/31/2017,17,1059,3,2,20,1101
06/30/2017,11,1054,12,0,18,1095
09/30/2017,5,1065,8,0,16,1094
12/31/2017,7,1039,20,4,25,1095
03/31/2018,5,1061,8,1,13,1088
06/30/2018,13,1053,9,1,14,1090
09/30/2018,9,1061,8,2,13,1093
12/31/2018,6,1066,12,3,15,1102
03/31/2019,7,1080,0,2,16,1105
06/30/2019,19,1064,0,2,12,1097
09/30/2019,1,1080,4,1,14,1100
12/31/2019,6,1079,1,3,6,1095
03/31/2020,2,1077,19,0,8,1106
06/30/2020,0,1069,21,1,13,1104
09/30/2020,1,1081,6,0,9,1097
12/31/2020,1,1075,5,3,21,1105
03/31/2021,2,1078,3,0,11,1094
06/30/2021,11,1052,17,0,19,1099
09/30/2021,5,1077,4,1,10,1097
