Up/Down,Upgrade,Same,Downgrade,Defaulted,Non-Rated,Totals
03/31/1981,1,63,5,0,0,69
06/30/1981,0,70,1,0,0,71
09/30/1981,0,68,3,0,1,72
12/31/1981,3,68,0,0,1,72
03/31/1982,2,68,0,0,1,71
06/30/1982,0,69,1,0,0,70
09/30/1982,2,69,2,0,0,73
12/31/1982,0,71,1,0,2,74
03/31/1983,1,71,2,0,0,74
06/30/1983,1,72,0,0,2,75
09/30/1983,4,72,1,0,0,77
12/31/1983,2,74,0,0,1,77
03/31/1984,1,75,0,0,1,77
06/30/1984,0,78,0,0,1,79
09/30/1984,2,76,0,0,0,78
12/31/1984,0,79,0,0,1,80
03/31/1985,0,78,5,0,1,84
06/30/1985,0,87,3,0,0,90
09/30/1985,0,90,2,1,1,94
12/31/1985,0,90,4,1,1,96
03/31/1986,1,89,2,1,2,95
06/30/1986,1,87,4,1,1,94
09/30/1986,1,98,3,0,1,103
12/31/1986,2,104,1,0,2,109
03/31/1987,0,106,2,0,2,110
06/30/1987,1,104,2,1,4,112
09/30/1987,0,109,3,0,2,114
12/31/1987,0,109,5,0,3,117
03/31/1988,2,106,3,1,4,116
06/30/1988,1,106,1,1,3,112
09/30/1988,0,106,1,0,3,110
12/31/1988,0,104,1,2,3,110
03/31/1989,0,104,1,0,1,106
06/30/1989,2,104,0,0,5,111
09/30/1989,1,106,1,1,4,113
12/31/1989,3,97,0,0,9,109
03/31/1990,0,100,1,0,3,104
06/30/1990,2,98,0,0,3,103
09/30/1990,0,99,1,0,1,101
12/31/1990,0,102,2,0,0,104
03/31/1991,1,104,1,1,0,107
06/30/1991,0,101,0,1,6,108
09/30/1991,2,99,0,0,2,103
12/31/1991,1,99,0,0,1,101
03/31/1992,3,101,1,0,1,106
06/30/1992,2,109,1,0,3,115
09/30/1992,1,112,0,0,0,113
12/31/1992,2,116,2,0,1,121
03/31/1993,1,123,3,0,0,127
06/30/1993,2,129,0,0,4,135
09/30/1993,1,131,1,0,4,137
12/31/1993,3,133,5,0,3,144
03/31/1994,2,149,0,0,3,154
06/30/1994,1,151,2,0,2,156
09/30/1994,0,149,5,1,6,161
12/31/1994,0,157,1,0,3,161
03/31/1995,2,159,1,0,2,164
06/30/1995,6,152,2,2,3,165
09/30/1995,4,159,1,0,1,165
12/31/1995,2,164,0,0,4,170
03/31/1996,1,170,0,0,6,177
06/30/1996,4,165,1,0,8,178
09/30/1996,3,174,1,0,4,182
12/31/1996,7,176,0,0,5,188
03/31/1997,2,187,1,0,6,196
06/30/1997,3,188,5,0,3,199
09/30/1997,1,194,6,0,3,204
12/31/1997,0,201,8,1,1,211
03/31/1998,3,204,7,0,7,221
06/30/1998,1,215,4,1,6,227
09/30/1998,1,228,3,1,2,235
12/31/1998,4,222,5,3,7,241
03/31/1999,0,226,7,0,4,237
06/30/1999,0,224,5,4,5,238
09/30/1999,0,228,3,0,9,240
12/31/1999,2,225,3,4,6,240
03/31/2000,1,222,6,3,2,234
06/30/2000,1,221,6,1,3,232
09/30/2000,0,226,1,3,7,237
12/31/2000,5,225,5,2,1,238
03/31/2001,2,229,5,2,4,242
06/30/2001,3,220,8,5,3,239
09/30/2001,2,236,3,2,0,243
12/31/2001,5,239,5,3,3,255
03/31/2002,2,246,6,1,0,255
06/30/2002,2,251,4,1,4,262
09/30/2002,0,246,8,0,7,261
12/31/2002,1,252,3,1,2,259
03/31/2003,0,253,2,1,3,259
06/30/2003,3,237,9,3,6,258
09/30/2003,4,243,7,2,4,260
12/31/2003,5,254,4,1,2,266
03/31/2004,1,280,7,1,3,292
06/30/2004,2,283,6,0,8,299
09/30/2004,1,305,4,0,3,313
12/31/2004,4,306,6,0,4,320
03/31/2005,9,302,6,0,15,332
06/30/2005,4,308,6,1,8,327
09/30/2005,2,313,4,1,6,326
12/31/2005,5,314,6,1,2,328
03/31/2006,4,319,1,1,10,335
06/30/2006,1,318,7,0,9,335
09/30/2006,3,322,6,0,8,339
12/31/2006,1,322,6,0,9,338
03/31/2007,2,305,6,0,24,337
06/30/2007,3,313,7,1,8,332
09/30/2007,1,320,11,0,7,339
12/31/2007,3,324,8,1,6,342
