Up/Down,Upgrade,Same,Downgrade,Defaulted,Non-Rated,Totals
03/31/1981,1,54,6,0,0,61
06/30/1981,1,63,1,0,0,65
09/30/1981,0,68,1,0,0,69
12/31/1981,2,65,2,0,0,69
03/31/1982,1,67,0,0,1,69
06/30/1982,1,67,2,0,0,70
09/30/1982,2,67,2,0,0,71
12/31/1982,1,59,1,1,9,71
03/31/1983,1,60,0,0,4,65
06/30/1983,1,61,2,0,2,66
09/30/1983,0,64,2,0,2,68
12/31/1983,0,65,1,0,3,69
03/31/1984,2,63,2,0,0,67
06/30/1984,0,66,1,0,0,67
09/30/1984,2,69,0,0,0,71
12/31/1984,0,68,0,2,1,71
03/31/1985,1,65,2,0,2,70
06/30/1985,1,67,4,0,0,72
09/30/1985,0,72,3,0,1,76
12/31/1985,0,75,4,0,0,79
03/31/1986,0,76,2,2,2,82
06/30/1986,1,75,5,0,2,83
09/30/1986,1,80,4,1,3,89
12/31/1986,3,79,0,0,4,86
03/31/1987,0,80,1,0,3,84
06/30/1987,0,86,2,0,7,95
09/30/1987,5,87,0,0,7,99
12/31/1987,1,93,0,0,2,96
03/31/1988,1,89,2,0,3,95
06/30/1988,0,89,1,0,4,94
09/30/1988,0,90,0,0,1,91
12/31/1988,1,93,0,0,0,94
03/31/1989,1,91,1,0,3,96
06/30/1989,1,86,3,0,5,95
09/30/1989,2,85,1,0,4,92
12/31/1989,0,82,4,1,1,88
03/31/1990,0,80,3,1,2,86
06/30/1990,1,70,0,3,10,84
09/30/1990,0,68,2,0,3,73
12/31/1990,0,67,3,0,0,70
03/31/1991,0,68,3,0,0,71
06/30/1991,1,65,1,1,5,73
09/30/1991,0,67,0,1,1,69
12/31/1991,2,63,1,0,2,68
03/31/1992,0,64,4,0,0,68
06/30/1992,1,70,0,0,0,71
09/30/1992,3,68,1,1,1,74
12/31/1992,1,69,0,1,3,74
03/31/1993,1,68,3,1,1,74
06/30/1993,0,72,1,1,3,77
09/30/1993,3,67,4,0,3,77
12/31/1993,1,74,0,0,3,78
03/31/1994,0,77,2,0,1,80
06/30/1994,1,80,0,0,2,83
09/30/1994,2,78,2,1,0,83
12/31/1994,1,82,1,0,0,84
03/31/1995,3,83,0,0,2,88
06/30/1995,2,76,1,1,6,86
09/30/1995,0,89,0,0,1,90
12/31/1995,0,88,0,0,4,92
03/31/1996,3,80,4,0,3,90
06/30/1996,1,85,2,0,5,93
09/30/1996,3,87,1,0,3,94
12/31/1996,0,92,0,0,3,95
03/31/1997,2,94,0,0,3,99
06/30/1997,0,98,2,1,2,103
09/30/1997,2,99,3,0,4,108
12/31/1997,0,106,3,0,1,110
03/31/1998,0,117,1,0,4,122
06/30/1998,3,128,2,0,0,133
09/30/1998,3,137,2,0,5,147
12/31/1998,1,143,2,0,2,148
03/31/1999,1,144,1,0,4,150
06/30/1999,1,138,5,0,6,150
09/30/1999,1,137,4,1,5,148
12/31/1999,3,142,5,1,0,151
03/31/2000,5,138,5,2,4,154
06/30/2000,3,143,1,3,3,153
09/30/2000,1,145,3,0,5,154
12/31/2000,1,142,5,2,5,155
03/31/2001,1,151,4,0,2,158
06/30/2001,0,151,6,1,3,161
09/30/2001,0,145,8,4,3,160
12/31/2001,1,132,14,4,5,156
03/31/2002,1,136,7,2,10,156
06/30/2002,3,143,4,1,3,154
09/30/2002,0,149,5,1,1,156
12/31/2002,3,140,8,0,9,160
03/31/2003,1,151,0,2,5,159
06/30/2003,1,142,4,1,5,153
09/30/2003,1,147,0,0,3,151
12/31/2003,1,142,2,0,7,152
03/31/2004,1,151,3,0,4,159
06/30/2004,1,161,1,0,0,163
09/30/2004,0,167,2,0,2,171
12/31/2004,2,167,1,0,6,176
03/31/2005,6,160,2,0,8,176
06/30/2005,1,169,1,0,3,174
09/30/2005,1,165,1,0,8,175
12/31/2005,2,165,1,0,4,172
03/31/2006,2,165,4,0,3,174
06/30/2006,2,170,0,1,6,179
09/30/2006,2,170,5,0,3,180
12/31/2006,4,179,0,0,1,184
03/31/2007,4,173,2,0,13,192
06/30/2007,6,166,2,0,10,184
09/30/2007,1,182,1,0,1,185
12/31/2007,2,181,3,0,3,189
03/31/2008,4,182,3,0,4,193
06/30/2008,1,184,1,0,4,190
09/30/2008,1,176,4,0,8,189
12/31/2008,5,164,8,1,7,185
03/31/2009,1,162,13,2,2,180
06/30/2009,0,163,8,2,5,178
09/30/2009,5,166,0,2,0,173
12/31/2009,5,166,1,0,2,174
03/31/2010,2,168,2,0,2,174
06/30/2010,4,167,1,0,3,175
09/30/2010,1,176,2,0,5,184
12/31/2010,2,180,1,0,3,186
03/31/2011,4,186,1,0,2,193
06/30/2011,5,187,2,0,3,197
09/30/2011,4,188,3,0,7,202
