Up/Down,Upgrade,Same,Downgrade,Defaulted,Non-Rated,Totals
03/31/1981,0,34,0,0,0,34
06/30/1981,0,34,0,0,0,34
09/30/1981,2,30,1,0,1,34
12/31/1981,0,32,1,0,0,33
03/31/1982,0,34,0,0,0,34
06/30/1982,0,32,2,1,0,35
09/30/1982,2,32,0,0,0,34
12/31/1982,0,34,2,0,0,36
03/31/1983,1,38,3,0,0,42
06/30/1983,0,54,0,0,0,54
09/30/1983,0,50,1,2,1,54
12/31/1983,0,51,1,0,0,52
03/31/1984,1,51,1,0,0,53
06/30/1984,0,58,0,0,1,59
09/30/1984,0,58,1,0,0,59
12/31/1984,0,60,0,0,0,60
03/31/1985,1,60,3,0,0,64
06/30/1985,1,69,1,0,0,71
09/30/1985,0,75,0,0,0,75
12/31/1985,1,81,2,1,0,85
03/31/1986,0,84,2,0,0,86
06/30/1986,1,89,1,0,2,93
09/30/1986,2,98,0,0,2,102
12/31/1986,1,103,0,0,1,105
03/31/1987,0,112,0,0,0,112
06/30/1987,3,112,0,0,1,116
09/30/1987,0,119,1,0,0,120
12/31/1987,0,121,2,0,2,125
03/31/1988,0,123,3,0,0,126
06/30/1988,2,119,5,0,2,128
09/30/1988,0,131,3,0,0,134
12/31/1988,1,138,2,0,0,141
03/31/1989,3,153,1,0,0,157
06/30/1989,1,157,3,0,0,161
09/30/1989,1,161,2,0,2,166
12/31/1989,0,172,1,1,0,174
03/31/1990,0,181,1,0,0,182
06/30/1990,1,182,6,0,0,189
09/30/1990,0,191,1,0,0,192
12/31/1990,0,185,9,0,1,195
03/31/1991,0,190,10,1,1,202
06/30/1991,1,200,7,1,0,209
09/30/1991,2,211,7,0,2,222
12/31/1991,4,236,7,0,0,247
03/31/1992,2,257,5,0,1,265
06/30/1992,4,272,1,0,0,277
09/30/1992,4,273,8,3,2,290
12/31/1992,0,282,12,0,0,294
03/31/1993,2,295,4,1,1,303
06/30/1993,2,300,4,0,3,309
09/30/1993,0,312,1,0,3,316
12/31/1993,2,318,1,0,2,323
03/31/1994,5,321,8,0,1,335
06/30/1994,4,338,3,0,2,347
09/30/1994,1,338,13,1,2,355
12/31/1994,2,340,15,0,1,358
03/31/1995,0,354,13,0,0,367
06/30/1995,5,359,11,0,1,376
09/30/1995,1,374,8,0,2,385
12/31/1995,4,381,4,1,3,393
03/31/1996,10,379,7,0,2,398
06/30/1996,9,394,5,0,3,411
09/30/1996,10,397,5,0,5,417
12/31/1996,8,409,5,0,5,427
03/31/1997,0,436,3,0,8,447
06/30/1997,5,441,7,1,7,461
09/30/1997,6,489,2,0,6,503
12/31/1997,4,518,0,0,7,529
03/31/1998,2,521,5,0,12,540
06/30/1998,2,536,3,0,3,544
09/30/1998,12,523,8,0,6,549
12/31/1998,2,545,9,0,4,560
03/31/1999,4,557,6,0,17,584
06/30/1999,2,560,10,0,5,577
09/30/1999,13,555,6,4,3,581
12/31/1999,11,558,12,0,5,586
03/31/2000,5,572,6,5,12,600
06/30/2000,6,569,14,0,8,597
09/30/2000,2,566,15,1,12,596
12/31/2000,7,555,10,3,17,592
03/31/2001,3,556,16,0,9,584
06/30/2001,3,564,10,1,15,593
09/30/2001,2,556,15,0,9,582
12/31/2001,3,555,17,0,9,584
03/31/2002,3,554,17,1,19,594
06/30/2002,3,555,15,0,8,581
09/30/2002,1,536,34,2,16,589
12/31/2002,2,531,47,0,5,585
03/31/2003,4,550,22,1,14,591
06/30/2003,3,552,17,1,9,582
09/30/2003,2,561,14,0,4,581
12/31/2003,6,572,9,0,3,590
03/31/2004,3,582,5,1,15,606
06/30/2004,2,595,11,0,7,615
09/30/2004,8,595,6,2,10,621
12/31/2004,6,607,4,0,5,622
03/31/2005,7,612,5,0,4,628
06/30/2005,10,617,1,0,5,633
09/30/2005,10,623,3,0,6,642
12/31/2005,6,635,6,0,3,650
03/31/2006,3,656,6,0,8,673
06/30/2006,12,657,8,0,6,683
09/30/2006,9,673,4,2,6,694
12/31/2006,17,681,5,0,5,708
03/31/2007,6,706,0,0,13,725
06/30/2007,7,704,5,0,8,724
09/30/2007,7,714,3,0,13,737
12/31/2007,13,716,3,0,10,742
03/31/2008,3,741,7,1,3,755
06/30/2008,6,728,24,0,8,766
09/30/2008,9,718,26,1,16,770
12/31/2008,3,737,27,2,11,780
03/31/2009,5,720,36,2,19,782
06/30/2009,3,735,22,1,12,773
09/30/2009,3,740,15,0,14,772
12/31/2009,6,745,8,1,11,771
03/31/2010,4,739,22,1,7,773
06/30/2010,2,757,5,0,6,770
09/30/2010,7,762,0,0,8,777
12/31/2010,9,738,13,1,11,772
03/31/2011,0,758,7,0,8,773
06/30/2011,3,754,7,1,10,775
09/30/2011,2,751,14,1,6,774
12/31/2011,12,724,15,1,18,770
03/31/2012,1,728,26,1,4,760
06/30/2012,7,741,6,0,11,765
09/30/2012,3,742,8,0,6,759
12/31/2012,7,724,16,0,12,759
03/31/2013,3,750,4,0,13,770
06/30/2013,17,736,2,0,10,765
09/30/2013,13,735,5,0,8,761
12/31/2013,5,748,3,0,5,761
03/31/2014,11,747,4,0,10,772
06/30/2014,10,751,5,0,8,774
09/30/2014,2,762,4,0,7,775
