Up/Down,Upgrade,Same,Downgrade,Defaulted,Non-Rated,Totals
03/31/1981,1,37,5,0,0,43
06/30/1981,2,42,1,0,1,46
09/30/1981,0,44,1,0,0,45
12/31/1981,1,44,0,0,0,45
03/31/1982,1,41,3,1,0,46
06/30/1982,2,42,1,0,1,46
09/30/1982,0,44,2,0,0,46
12/31/1982,0,49,0,0,1,50
03/31/1983,0,52,0,0,2,54
06/30/1983,3,51,0,0,1,55
09/30/1983,0,59,3,0,1,63
12/31/1983,0,61,2,0,1,64
03/31/1984,1,61,2,0,0,64
06/30/1984,2,61,2,0,0,65
09/30/1984,0,67,1,0,0,68
12/31/1984,0,72,0,0,0,72
03/31/1985,2,76,1,0,1,80
06/30/1985,2,82,1,0,1,86
09/30/1985,0,87,2,0,1,90
12/31/1985,1,87,4,2,1,95
03/31/1986,2,99,2,0,1,104
06/30/1986,0,103,6,1,1,111
09/30/1986,1,113,1,0,7,122
12/31/1986,1,123,1,0,2,127
03/31/1987,1,131,3,0,4,139
06/30/1987,1,131,3,0,7,142
09/30/1987,2,142,3,0,3,150
12/31/1987,3,149,1,1,4,158
03/31/1988,2,141,5,1,8,157
06/30/1988,3,144,1,3,2,153
09/30/1988,0,147,2,0,2,151
12/31/1988,0,140,4,1,7,152
03/31/1989,3,141,2,0,3,149
06/30/1989,1,135,4,1,7,148
09/30/1989,3,125,8,2,6,144
12/31/1989,6,122,1,7,3,139
03/31/1990,2,120,1,2,8,133
06/30/1990,0,119,2,0,5,126
09/30/1990,1,114,3,5,1,124
12/31/1990,0,99,15,5,1,120
03/31/1991,2,108,2,3,2,117
06/30/1991,1,108,2,1,2,114
09/30/1991,1,107,1,2,1,112
12/31/1991,3,101,1,2,3,110
03/31/1992,7,95,2,1,2,107
06/30/1992,6,95,2,1,3,107
09/30/1992,2,106,1,0,5,114
12/31/1992,5,105,1,0,5,116
03/31/1993,6,103,3,0,9,121
06/30/1993,1,111,1,1,3,117
09/30/1993,3,115,0,0,5,123
12/31/1993,4,112,3,0,7,126
03/31/1994,2,125,0,3,4,134
06/30/1994,2,136,1,0,2,141
09/30/1994,4,141,0,0,5,150
12/31/1994,3,154,1,0,1,159
03/31/1995,1,159,2,0,1,163
06/30/1995,4,157,4,1,3,169
09/30/1995,0,171,2,1,0,174
12/31/1995,3,170,8,1,3,185
03/31/1996,3,179,6,1,3,192
06/30/1996,3,193,2,0,4,202
09/30/1996,4,198,3,0,9,214
12/31/1996,4,198,4,3,6,215
03/31/1997,2,206,2,0,8,218
06/30/1997,4,217,1,0,4,226
09/30/1997,3,231,0,0,3,237
12/31/1997,3,244,5,1,9,262
03/31/1998,2,263,3,4,6,278
06/30/1998,4,274,7,1,7,293
09/30/1998,4,297,6,2,8,317
12/31/1998,7,297,11,1,5,321
03/31/1999,5,299,8,3,9,324
06/30/1999,1,309,9,7,5,331
09/30/1999,1,309,5,5,13,333
12/31/1999,4,315,5,2,6,332
03/31/2000,1,320,6,1,4,332
06/30/2000,3,310,4,6,9,332
09/30/2000,3,291,11,4,10,319
12/31/2000,1,293,9,3,2,308
03/31/2001,6,290,12,2,3,313
06/30/2001,3,286,8,4,14,315
09/30/2001,0,282,15,4,2,303
12/31/2001,2,269,19,5,8,303
03/31/2002,4,273,10,5,6,298
06/30/2002,2,275,6,4,12,299
09/30/2002,2,270,9,3,7,291
12/31/2002,3,263,7,5,5,283
03/31/2003,3,251,13,1,8,276
06/30/2003,1,264,4,0,7,276
09/30/2003,2,262,4,2,9,279
12/31/2003,5,260,5,0,5,275
03/31/2004,0,283,3,0,2,288
06/30/2004,3,286,2,1,9,301
09/30/2004,4,286,2,0,6,298
12/31/2004,0,281,2,2,16,301
03/31/2005,5,274,5,0,6,290
06/30/2005,3,273,6,0,9,291
09/30/2005,3,281,3,1,5,293
12/31/2005,2,287,3,1,4,297
03/31/2006,2,288,9,0,9,308
06/30/2006,3,290,7,1,9,310
09/30/2006,3,299,6,1,5,314
12/31/2006,2,290,13,0,12,317
03/31/2007,0,300,5,0,15,320
06/30/2007,3,298,7,1,7,316
09/30/2007,2,309,6,0,7,324
12/31/2007,3,300,12,1,12,328
03/31/2008,1,305,9,2,6,323
06/30/2008,0,290,13,7,6,316
09/30/2008,4,283,13,3,10,313
12/31/2008,1,271,27,9,2,310
03/31/2009,0,256,32,11,3,302
06/30/2009,1,236,21,24,12,294
09/30/2009,1,249,9,9,3,271
12/31/2009,2,258,8,6,1,275
03/31/2010,4,270,3,3,2,282
06/30/2010,12,257,5,6,7,287
09/30/2010,2,280,2,3,4,291
12/31/2010,6,275,5,3,4,293
03/31/2011,11,277,6,1,7,302
06/30/2011,9,281,5,2,10,307
09/30/2011,0,295,8,0,9,312
12/31/2011,4,292,8,4,7,315
03/31/2012,5,290,2,7,5,309
06/30/2012,3,289,7,2,6,307
09/30/2012,0,289,9,0,6,304
12/31/2012,4,286,8,4,5,307
03/31/2013,3,287,3,9,9,311
06/30/2013,6,289,7,1,5,308
09/30/2013,3,306,4,2,2,317
12/31/2013,4,315,3,4,6,332
03/31/2014,6,321,1,1,12,341
06/30/2014,3,336,4,1,9,353
09/30/2014,1,349,7,4,6,367
12/31/2014,2,355,4,4,11,376
03/31/2015,3,356,5,1,8,373
06/30/2015,3,359,3,1,6,372
09/30/2015,1,365,4,1,6,377
12/31/2015,2,365,5,3,5,380
03/31/2016,2,370,3,3,6,384
06/30/2016,9,361,2,2,6,380
09/30/2016,2,361,8,0,7,378
12/31/2016,6,359,4,3,15,387
03/31/2017,2,363,2,1,9,377
06/30/2017,3,353,7,3,11,377
09/30/2017,3,348,4,0,15,370
12/31/2017,0,351,6,1,9,367
03/31/2018,2,345,6,3,10,366
06/30/2018,1,357,5,1,8,372
09/30/2018,2,366,3,0,5,376
12/31/2018,3,361,1,3,15,383
03/31/2019,3,352,5,2,12,374
06/30/2019,3,346,5,2,10,366
09/30/2019,3,343,5,1,10,362
12/31/2019,0,342,9,1,10,362
03/31/2020,0,323,35,2,5,365
06/30/2020,0,303,42,9,9,363
09/30/2020,1,324,17,5,5,352
12/31/2020,5,333,11,3,2,354
03/31/2021,10,332,6,3,9,360
06/30/2021,4,352,1,1,6,364
09/30/2021,4,354,4,1,9,372
