Up/Down,Upgrade,Same,Downgrade,Defaulted,Non-Rated,Totals
03/31/1981,4,208,12,0,5,229
06/30/1981,2,219,9,0,4,234
09/30/1981,1,228,3,0,2,234
12/31/1981,2,227,4,0,1,234
03/31/1982,0,226,4,0,3,233
06/30/1982,2,218,6,2,5,233
09/30/1982,0,218,5,0,5,228
12/31/1982,1,211,9,1,7,229
03/31/1983,5,212,3,1,2,223
06/30/1983,6,225,3,0,6,240
09/30/1983,1,230,6,1,2,240
12/31/1983,1,238,1,0,2,242
03/31/1984,4,236,1,0,2,243
06/30/1984,8,232,4,0,2,246
09/30/1984,1,242,1,0,2,246
12/31/1984,3,234,8,0,2,247
03/31/1985,2,233,5,0,6,246
06/30/1985,0,248,7,1,1,257
09/30/1985,0,244,12,1,1,258
12/31/1985,4,256,3,1,1,265
03/31/1986,2,254,8,1,4,269
06/30/1986,3,250,9,0,5,267
09/30/1986,1,251,20,8,6,286
12/31/1986,5,267,6,2,5,285
03/31/1987,5,258,9,0,9,281
06/30/1987,4,252,4,3,22,285
09/30/1987,3,251,5,1,9,269
12/31/1987,6,252,2,0,7,267
03/31/1988,6,238,5,2,11,262
06/30/1988,8,237,1,0,9,255
09/30/1988,2,243,1,0,7,253
12/31/1988,8,235,4,1,4,252
03/31/1989,8,230,3,0,11,252
06/30/1989,3,228,8,1,8,248
09/30/1989,2,237,3,3,2,247
12/31/1989,7,230,4,2,4,247
03/31/1990,1,232,4,0,9,246
06/30/1990,7,221,4,0,7,239
09/30/1990,1,226,2,2,5,236
12/31/1990,2,219,1,2,7,231
03/31/1991,3,204,10,1,4,222
06/30/1991,3,208,4,1,4,220
09/30/1991,3,211,4,0,3,221
12/31/1991,1,216,1,2,0,220
03/31/1992,0,206,11,1,4,222
06/30/1992,3,210,2,3,2,220
09/30/1992,6,207,1,0,3,217
12/31/1992,0,214,5,0,2,221
03/31/1993,1,215,6,1,5,228
06/30/1993,3,217,5,0,5,230
09/30/1993,1,222,3,1,7,234
12/31/1993,8,216,1,2,7,234
03/31/1994,2,227,3,0,4,236
06/30/1994,0,238,2,0,4,244
09/30/1994,1,249,2,0,3,255
12/31/1994,1,256,1,1,3,262
03/31/1995,4,251,3,0,1,259
06/30/1995,3,250,2,0,6,261
09/30/1995,3,261,4,0,4,272
12/31/1995,1,273,6,0,3,283
03/31/1996,5,276,1,1,5,288
06/30/1996,5,280,2,1,4,292
09/30/1996,4,288,1,1,6,300
12/31/1996,2,296,0,0,5,303
03/31/1997,2,305,5,1,4,317
06/30/1997,9,309,1,1,3,323
09/30/1997,4,324,2,1,12,343
12/31/1997,5,332,3,0,8,348
03/31/1998,4,352,7,1,2,366
06/30/1998,6,377,8,0,5,396
09/30/1998,5,407,5,2,7,426
12/31/1998,4,411,15,1,6,437
03/31/1999,2,422,10,4,4,442
06/30/1999,0,423,11,7,11,452
09/30/1999,1,423,10,5,15,454
12/31/1999,2,435,10,1,9,457
03/31/2000,6,428,13,3,7,457
06/30/2000,2,431,9,8,10,460
09/30/2000,3,435,8,1,9,456
12/31/2000,3,431,9,7,3,453
03/31/2001,3,420,21,7,4,455
06/30/2001,1,411,22,13,7,454
09/30/2001,2,412,20,11,3,448
12/31/2001,4,391,25,15,7,442
03/31/2002,0,380,29,12,7,428
06/30/2002,6,389,12,5,8,420
09/30/2002,2,402,11,4,5,424
12/31/2002,2,395,15,4,3,419
03/31/2003,3,386,16,3,12,420
06/30/2003,1,386,18,7,4,416
09/30/2003,5,389,10,2,6,412
12/31/2003,4,397,5,4,5,415
03/31/2004,3,447,8,5,4,467
06/30/2004,8,473,10,2,4,497
09/30/2004,9,492,2,5,7,515
12/31/2004,13,491,7,1,5,517
03/31/2005,12,493,11,3,6,525
06/30/2005,9,492,14,3,13,531
09/30/2005,11,499,9,2,13,534
12/31/2005,5,502,13,2,10,532
03/31/2006,5,502,8,3,11,529
06/30/2006,17,486,8,1,9,521
09/30/2006,7,491,8,1,13,520
12/31/2006,5,497,7,3,6,518
03/31/2007,7,445,9,3,54,518
06/30/2007,15,438,4,1,14,472
09/30/2007,4,449,3,2,10,468
12/31/2007,5,454,5,0,6,470
03/31/2008,3,456,4,1,5,469
06/30/2008,9,446,3,0,12,470
09/30/2008,2,447,6,1,8,464
12/31/2008,1,426,23,4,6,460
03/31/2009,0,398,39,7,8,452
06/30/2009,0,379,19,20,22,440
09/30/2009,4,379,10,6,10,409
12/31/2009,2,390,5,1,3,401
03/31/2010,6,387,3,3,5,404
06/30/2010,11,382,4,1,1,399
09/30/2010,7,401,2,2,7,419
12/31/2010,9,396,5,0,7,417
03/31/2011,7,411,1,1,4,424
06/30/2011,6,416,2,0,9,433
09/30/2011,6,429,2,0,8,445
12/31/2011,7,435,4,1,6,453
03/31/2012,4,441,5,0,7,457
06/30/2012,7,432,8,3,6,456
09/30/2012,4,445,5,0,6,460
12/31/2012,3,440,4,1,12,460
03/31/2013,0,456,4,0,6,466
06/30/2013,6,451,5,2,9,473
09/30/2013,5,473,1,0,1,480
12/31/2013,13,462,11,1,8,495
03/31/2014,9,486,3,1,5,504
06/30/2014,6,492,2,0,12,512
09/30/2014,5,509,2,1,5,522
12/31/2014,2,518,5,1,14,540
03/31/2015,4,524,6,1,11,546
06/30/2015,5,522,6,2,5,540
09/30/2015,3,528,5,0,10,546
12/31/2015,6,517,10,2,12,547
03/31/2016,7,496,24,4,14,545
06/30/2016,1,511,6,4,9,531
09/30/2016,1,512,6,0,9,528
12/31/2016,5,515,4,1,7,532
03/31/2017,5,518,5,1,6,535
06/30/2017,7,505,5,2,16,535
09/30/2017,6,525,3,1,5,540
12/31/2017,9,529,4,1,10,553
03/31/2018,8,546,2,0,3,559
06/30/2018,6,559,4,0,8,577
09/30/2018,3,570,2,1,8,584
12/31/2018,4,554,10,5,15,588
03/31/2019,2,561,7,1,15,586
06/30/2019,7,552,8,2,11,580
09/30/2019,1,553,15,0,11,580
12/31/2019,3,559,5,4,8,579
03/31/2020,0,537,34,3,8,582
06/30/2020,1,524,45,4,9,583
09/30/2020,3,559,7,2,5,576
12/31/2020,2,567,4,1,6,580
03/31/2021,13,555,3,1,9,581
06/30/2021,10,556,4,0,16,586
09/30/2021,6,564,4,1,11,586
