Up/Down,Upgrade,Same,Downgrade,Defaulted,Non-Rated,Totals
03/31/1981,0,9,1,0,0,10
06/30/1981,0,10,0,0,0,10
09/30/1981,1,9,0,0,1,11
12/31/1981,0,10,0,0,0,10
03/31/1982,0,12,0,0,0,12
06/30/1982,0,11,1,0,0,12
09/30/1982,0,13,0,0,0,13
12/31/1982,0,14,0,0,0,14
03/31/1983,0,12,0,0,2,14
06/30/1983,0,14,0,0,0,14
09/30/1983,0,15,0,0,0,15
12/31/1983,0,15,0,0,0,15
03/31/1984,0,17,0,0,0,17
06/30/1984,0,17,0,0,0,17
09/30/1984,0,17,1,0,0,18
12/31/1984,2,17,0,0,0,19
03/31/1985,0,19,0,0,0,19
06/30/1985,0,22,0,0,0,22
09/30/1985,0,24,0,0,0,24
12/31/1985,0,25,1,0,1,27
03/31/1986,0,27,0,0,1,28
06/30/1986,1,26,0,0,0,27
09/30/1986,0,28,0,0,0,28
12/31/1986,0,29,0,0,0,29
03/31/1987,1,28,0,0,4,33
06/30/1987,0,30,0,0,1,31
09/30/1987,0,30,0,0,1,31
12/31/1987,0,28,1,0,1,30
03/31/1988,0,23,3,0,4,30
06/30/1988,0,25,0,0,1,26
09/30/1988,0,28,0,0,0,28
12/31/1988,0,27,2,0,0,29
03/31/1989,0,28,0,1,1,30
06/30/1989,0,25,0,0,3,28
09/30/1989,0,20,3,1,1,25
12/31/1989,0,22,1,0,1,24
03/31/1990,1,17,2,0,3,23
06/30/1990,1,15,0,1,3,20
09/30/1990,0,16,0,0,0,16
12/31/1990,0,16,0,1,0,17
03/31/1991,0,14,2,0,0,16
06/30/1991,0,17,0,0,0,17
09/30/1991,0,15,1,1,0,17
12/31/1991,0,14,2,0,0,16
03/31/1992,0,16,0,0,1,17
06/30/1992,0,15,0,1,0,16
09/30/1992,0,15,0,0,0,15
12/31/1992,0,17,1,0,0,18
03/31/1993,0,19,0,0,0,19
06/30/1993,0,21,0,0,0,21
09/30/1993,0,20,1,0,0,21
12/31/1993,1,24,0,0,0,25
03/31/1994,1,27,0,0,0,28
06/30/1994,0,33,0,0,0,33
09/30/1994,0,39,1,0,0,40
12/31/1994,0,42,1,0,0,43
03/31/1995,0,43,0,0,0,43
06/30/1995,0,47,0,0,2,49
09/30/1995,0,51,0,0,0,51
12/31/1995,0,52,0,0,3,55
03/31/1996,1,55,0,0,1,57
06/30/1996,0,61,0,0,1,62
09/30/1996,0,72,0,0,0,72
12/31/1996,0,75,0,0,1,76
03/31/1997,0,83,0,0,1,84
06/30/1997,1,84,0,0,1,86
09/30/1997,2,95,0,0,0,97
12/31/1997,1,108,2,0,0,111
03/31/1998,0,122,0,0,3,125
06/30/1998,0,128,1,0,1,130
09/30/1998,1,132,3,0,4,140
12/31/1998,0,134,3,0,4,141
03/31/1999,1,142,3,0,0,146
06/30/1999,0,146,0,0,5,151
09/30/1999,0,144,1,0,7,152
12/31/1999,0,144,2,0,0,146
03/31/2000,0,145,2,0,1,148
06/30/2000,0,144,4,0,1,149
09/30/2000,0,144,4,0,0,148
12/31/2000,0,147,1,0,1,149
03/31/2001,0,145,2,0,4,151
06/30/2001,2,146,1,0,1,150
09/30/2001,0,153,0,0,3,156
12/31/2001,0,152,1,0,2,155
03/31/2002,0,153,1,1,2,157
06/30/2002,3,148,5,0,3,159
09/30/2002,2,154,2,0,4,162
12/31/2002,0,159,2,0,0,161
03/31/2003,1,157,0,0,6,164
06/30/2003,0,157,1,0,0,158
09/30/2003,0,155,2,0,3,160
12/31/2003,1,155,0,0,4,160
03/31/2004,2,156,0,0,2,160
06/30/2004,0,158,0,0,3,161
09/30/2004,3,155,1,0,1,160
12/31/2004,3,163,0,0,2,168
03/31/2005,2,159,0,0,6,167
06/30/2005,0,158,2,0,3,163
09/30/2005,1,159,0,0,3,163
12/31/2005,3,159,3,0,0,165
03/31/2006,6,161,0,0,3,170
06/30/2006,0,165,0,0,3,168
09/30/2006,1,164,0,0,5,170
12/31/2006,0,162,1,0,5,168
03/31/2007,3,165,0,0,3,171
06/30/2007,0,167,0,0,3,170
09/30/2007,0,164,3,0,7,174
12/31/2007,0,163,4,0,5,172
03/31/2008,2,156,11,1,3,173
06/30/2008,0,164,3,1,2,170
09/30/2008,0,158,4,1,5,168
12/31/2008,0,152,8,1,5,166
03/31/2009,0,148,9,3,1,161
06/30/2009,0,144,8,3,4,159
09/30/2009,0,149,2,1,1,153
12/31/2009,0,143,5,0,3,151
03/31/2010,1,150,1,0,2,154
06/30/2010,2,151,1,1,1,156
09/30/2010,0,163,4,0,1,168
12/31/2010,2,167,2,0,1,172
03/31/2011,1,178,0,0,0,179
06/30/2011,0,192,0,0,1,193
09/30/2011,0,198,1,0,2,201
12/31/2011,0,199,1,0,3,203
03/31/2012,1,198,5,0,0,204
06/30/2012,2,203,1,0,2,208
09/30/2012,4,206,0,0,0,210
12/31/2012,3,216,1,0,0,220
03/31/2013,5,223,0,0,2,230
06/30/2013,3,233,2,0,5,243
09/30/2013,1,244,1,0,3,249
12/31/2013,5,252,0,0,2,259
03/31/2014,2,264,0,0,0,266
06/30/2014,3,267,1,0,2,273
09/30/2014,4,277,3,0,1,285
12/31/2014,4,284,2,0,1,291
03/31/2015,4,284,6,1,5,300
06/30/2015,7,280,3,0,8,298
09/30/2015,3,283,4,0,7,297
12/31/2015,3,288,0,0,5,296
03/31/2016,8,282,1,1,5,297
06/30/2016,3,279,3,0,8,293
09/30/2016,2,285,1,0,2,290
12/31/2016,3,281,1,0,6,291
03/31/2017,0,283,0,0,5,288
06/30/2017,2,284,2,0,4,292
09/30/2017,4,282,4,0,5,295
12/31/2017,1,287,4,0,4,296
03/31/2018,0,301,0,0,0,301
06/30/2018,1,301,1,0,3,306
09/30/2018,1,299,1,0,9,310
12/31/2018,1,292,1,0,8,302
03/31/2019,3,284,4,0,8,299
06/30/2019,2,288,1,0,2,293
09/30/2019,1,292,2,0,3,298
12/31/2019,1,297,0,0,1,299
03/31/2020,2,284,6,1,10,303
06/30/2020,0,280,5,1,7,293
09/30/2020,1,276,6,1,2,286
12/31/2020,0,274,4,2,5,285
03/31/2021,1,273,4,2,4,284
06/30/2021,3,275,0,0,3,281
09/30/2021,0,277,2,1,5,285
