Up/Down,Upgrade,Same,Downgrade,Defaulted,Non-Rated,Totals
03/31/1981,0,68,2,0,0,70
06/30/1981,0,70,0,0,0,70
09/30/1981,1,69,0,0,0,70
12/31/1981,0,70,0,0,0,70
03/31/1982,0,69,0,0,1,70
06/30/1982,0,69,0,0,0,69
09/30/1982,4,65,0,0,0,69
12/31/1982,0,67,0,0,2,69
03/31/1983,1,57,9,0,0,67
06/30/1983,1,67,0,0,0,68
09/30/1983,1,66,0,0,1,68
12/31/1983,0,68,0,0,0,68
03/31/1984,0,69,0,0,0,69
06/30/1984,3,66,0,0,0,69
09/30/1984,1,65,2,0,1,69
12/31/1984,0,68,1,0,0,69
03/31/1985,0,70,0,0,0,70
06/30/1985,0,70,0,0,0,70
09/30/1985,0,70,1,0,0,71
12/31/1985,0,71,0,0,0,71
03/31/1986,1,71,0,0,0,72
06/30/1986,7,65,1,0,0,73
09/30/1986,3,68,1,0,1,73
12/31/1986,1,71,0,0,0,72
03/31/1987,2,67,0,0,3,72
06/30/1987,0,72,1,0,0,73
09/30/1987,1,73,0,0,1,75
12/31/1987,0,75,0,1,0,76
03/31/1988,0,77,0,0,1,78
06/30/1988,2,75,0,0,0,77
09/30/1988,1,69,6,1,0,77
12/31/1988,1,76,0,0,0,77
03/31/1989,4,69,4,0,0,77
06/30/1989,0,76,0,0,1,77
09/30/1989,0,76,0,0,0,76
12/31/1989,0,73,4,0,0,77
03/31/1990,1,74,1,1,0,77
06/30/1990,0,76,1,1,0,78
09/30/1990,0,77,0,0,0,77
12/31/1990,3,72,5,0,0,80
03/31/1991,0,81,0,0,0,81
06/30/1991,0,82,0,1,0,83
09/30/1991,0,83,1,0,0,84
12/31/1991,0,83,0,0,1,84
03/31/1992,0,84,1,0,0,85
06/30/1992,0,87,0,0,1,88
09/30/1992,1,78,7,0,3,89
12/31/1992,0,87,0,0,0,87
03/31/1993,0,89,1,0,0,90
06/30/1993,0,86,0,0,4,90
09/30/1993,0,88,0,0,0,88
12/31/1993,1,85,4,0,4,94
03/31/1994,2,90,0,0,1,93
06/30/1994,1,91,1,0,1,94
09/30/1994,0,93,0,0,1,94
12/31/1994,0,91,2,0,0,93
03/31/1995,1,92,2,0,0,95
06/30/1995,4,92,2,0,0,98
09/30/1995,2,96,1,0,3,102
12/31/1995,2,100,1,0,2,105
03/31/1996,0,103,2,0,1,106
06/30/1996,0,103,2,0,10,115
09/30/1996,1,104,1,0,6,112
12/31/1996,4,112,0,1,0,117
03/31/1997,6,112,2,1,1,122
06/30/1997,1,128,1,1,1,132
09/30/1997,1,136,0,0,2,139
12/31/1997,1,150,2,0,1,154
03/31/1998,3,160,1,0,0,164
06/30/1998,1,164,5,1,1,172
09/30/1998,2,178,6,0,3,189
12/31/1998,1,185,2,1,2,191
03/31/1999,0,185,4,1,7,197
06/30/1999,0,184,4,1,4,193
09/30/1999,2,192,3,2,6,205
12/31/1999,3,197,8,0,5,213
03/31/2000,2,211,3,1,3,220
06/30/2000,3,205,4,1,21,234
09/30/2000,4,199,13,1,4,221
12/31/2000,1,211,11,4,6,233
03/31/2001,1,200,15,10,2,228
06/30/2001,2,207,5,7,7,228
09/30/2001,0,194,11,7,5,217
12/31/2001,1,179,20,5,4,209
03/31/2002,0,177,20,10,2,209
06/30/2002,2,162,19,18,2,203
09/30/2002,0,165,14,6,3,188
12/31/2002,1,154,20,5,2,182
03/31/2003,3,160,7,6,3,179
06/30/2003,3,151,10,6,3,173
09/30/2003,4,151,5,6,4,170
12/31/2003,3,157,1,1,0,162
03/31/2004,3,165,1,0,2,171
06/30/2004,4,168,2,0,6,180
09/30/2004,1,177,3,1,1,183
12/31/2004,3,174,2,2,4,185
03/31/2005,11,171,5,0,2,189
06/30/2005,2,187,1,1,5,196
09/30/2005,11,179,1,0,6,197
12/31/2005,4,189,1,0,3,197
03/31/2006,8,179,6,1,7,201
06/30/2006,3,188,0,0,7,198
09/30/2006,4,184,7,0,7,202
12/31/2006,1,191,3,1,5,201
03/31/2007,1,200,0,0,4,205
06/30/2007,5,182,7,0,14,208
09/30/2007,1,192,3,0,4,200
12/31/2007,1,187,4,0,8,200
03/31/2008,4,189,0,0,4,197
06/30/2008,1,184,5,0,3,193
