Up/Down,Upgrade,Same,Downgrade,Defaulted,Non-Rated,Totals
03/31/1981,3,89,1,1,0,94
06/30/1981,2,91,1,0,0,94
09/30/1981,1,92,2,0,0,95
12/31/1981,0,92,2,1,0,95
03/31/1982,0,94,0,0,0,94
06/30/1982,2,86,2,2,2,94
09/30/1982,0,87,5,0,0,92
12/31/1982,1,93,1,0,0,95
03/31/1983,1,93,2,0,0,96
06/30/1983,2,94,1,0,2,99
09/30/1983,5,92,1,1,0,99
12/31/1983,1,98,0,0,1,100
03/31/1984,0,96,1,0,2,99
06/30/1984,3,92,1,1,0,97
09/30/1984,5,90,1,1,0,97
12/31/1984,0,93,1,1,1,96
03/31/1985,5,87,1,0,3,96
06/30/1985,1,99,2,0,0,102
09/30/1985,2,102,0,0,1,105
12/31/1985,1,106,0,0,1,108
03/31/1986,1,108,1,0,2,112
06/30/1986,0,109,4,0,1,114
09/30/1986,0,112,2,1,2,117
12/31/1986,0,115,3,0,0,118
03/31/1987,1,112,4,0,2,119
06/30/1987,0,114,1,0,2,117
09/30/1987,1,115,1,0,1,118
12/31/1987,1,114,2,0,3,120
03/31/1988,0,111,4,0,3,118
06/30/1988,1,104,10,0,1,116
09/30/1988,1,112,1,0,3,117
12/31/1988,1,101,11,0,2,115
03/31/1989,2,105,4,1,2,114
06/30/1989,3,97,7,0,5,112
09/30/1989,2,99,4,1,1,107
12/31/1989,2,101,2,0,5,110
03/31/1990,0,98,1,2,5,106
06/30/1990,0,85,10,1,3,99
09/30/1990,0,95,0,0,0,95
12/31/1990,2,90,1,1,1,95
03/31/1991,0,78,11,3,1,93
06/30/1991,0,88,1,3,0,92
09/30/1991,1,89,1,0,0,91
12/31/1991,0,88,3,0,1,92
03/31/1992,2,90,1,0,0,93
06/30/1992,0,92,1,0,1,94
09/30/1992,1,90,2,0,0,93
12/31/1992,0,92,6,0,0,98
03/31/1993,1,91,7,0,1,100
06/30/1993,3,94,0,0,3,100
09/30/1993,6,94,2,0,2,104
12/31/1993,3,101,1,0,3,108
03/31/1994,0,111,1,1,2,115
06/30/1994,1,112,0,0,0,113
09/30/1994,0,113,1,0,2,116
12/31/1994,1,113,0,1,2,117
03/31/1995,2,113,1,1,0,117
06/30/1995,0,114,1,0,2,117
09/30/1995,0,109,4,0,5,118
12/31/1995,1,108,2,2,2,115
03/31/1996,0,114,1,0,0,115
06/30/1996,4,111,1,0,3,119
09/30/1996,3,111,4,0,2,120
