Up/Down,Upgrade,Same,Downgrade,Defaulted,Non-Rated,Totals
03/31/1981,0,226,9,0,0,235
06/30/1981,0,232,3,0,0,235
09/30/1981,2,232,2,0,0,236
12/31/1981,4,229,3,0,1,237
03/31/1982,0,234,4,0,0,238
06/30/1982,1,234,3,0,0,238
09/30/1982,3,229,4,1,2,239
12/31/1982,1,231,4,0,0,236
03/31/1983,0,232,5,0,0,237
06/30/1983,1,230,8,0,2,241
09/30/1983,6,229,2,0,2,239
12/31/1983,3,230,7,0,0,240
03/31/1984,4,232,4,0,0,240
06/30/1984,6,231,3,0,1,241
09/30/1984,4,233,4,0,0,241
12/31/1984,8,233,5,0,0,246
03/31/1985,9,234,6,0,2,251
06/30/1985,6,232,14,0,1,253
09/30/1985,1,252,0,0,0,253
12/31/1985,3,250,0,0,1,254
03/31/1986,1,246,4,0,5,256
06/30/1986,13,237,5,0,1,256
09/30/1986,2,253,3,0,2,260
12/31/1986,1,245,13,0,1,260
03/31/1987,5,251,4,0,1,261
06/30/1987,6,246,8,1,3,264
09/30/1987,3,252,6,0,2,263
12/31/1987,0,259,4,0,0,263
03/31/1988,2,257,3,1,6,269
06/30/1988,1,259,4,0,2,266
09/30/1988,5,254,4,1,2,266
12/31/1988,2,259,2,0,0,263
03/31/1989,4,251,7,0,1,263
06/30/1989,5,254,4,0,2,265
09/30/1989,5,254,2,0,2,263
12/31/1989,0,256,6,0,1,263
03/31/1990,1,260,2,0,0,263
06/30/1990,6,254,1,0,4,265
09/30/1990,8,253,1,0,1,263
12/31/1990,8,244,8,0,4,264
03/31/1991,1,262,2,0,0,265
06/30/1991,2,260,2,0,2,266
09/30/1991,1,261,1,2,1,266
12/31/1991,3,260,3,1,0,267
03/31/1992,2,262,8,2,0,274
06/30/1992,3,270,6,1,0,280
09/30/1992,1,278,2,0,2,283
12/31/1992,2,279,1,0,2,284
03/31/1993,0,285,6,0,0,291
06/30/1993,2,292,2,0,0,296
09/30/1993,1,292,3,0,3,299
12/31/1993,0,287,6,0,6,299
03/31/1994,3,288,4,0,3,298
06/30/1994,1,294,3,0,4,302
09/30/1994,0,301,2,0,1,304
12/31/1994,1,301,3,0,2,307
03/31/1995,2,306,2,0,0,310
06/30/1995,2,308,2,0,1,313
09/30/1995,6,304,2,0,4,316
12/31/1995,3,312,1,0,3,319
