"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"1","03/31/1981","0","0","0","0","0","0","0","0","0","0","0","1","0"
"2","06/30/1981","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","09/30/1981","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4","12/31/1981","0","0","0","0","0","0","0","0","0","0","0","1","0"
"5","03/31/1982","0","2","0","0","0","0","0","1","0","0","0","0","0"
"6","06/30/1982","1","2","0","0","0","0","1","0","2","0","0","2","0"
"7","09/30/1982","1","0","0","1","0","0","0","0","0","0","0","0","1"
"8","12/31/1982","0","0","1","0","0","1","0","0","1","0","0","0","0"
"9","03/31/1983","0","0","0","0","0","0","0","0","1","0","0","0","0"
"10","06/30/1983","0","2","0","0","0","0","0","0","0","0","0","0","0"
"11","09/30/1983","0","1","1","0","0","0","2","0","1","0","0","1","0"
"12","12/31/1983","0","0","2","0","0","0","0","0","0","0","0","0","0"
"13","03/31/1984","0","1","1","0","0","0","0","0","0","0","0","0","0"
"14","06/30/1984","0","0","3","0","0","0","0","0","0","0","0","1","0"
"15","09/30/1984","1","0","1","0","0","0","0","0","0","0","0","1","0"
"16","12/31/1984","0","0","2","0","0","2","0","0","0","0","0","1","0"
"17","03/31/1985","0","2","2","0","0","0","0","0","0","0","0","0","0"
"18","06/30/1985","0","0","1","0","0","0","0","0","1","0","0","0","0"
"19","09/30/1985","0","0","2","0","1","0","0","0","1","0","0","0","0"
"20","12/31/1985","0","1","0","0","1","0","1","2","1","0","0","0","0"
"21","03/31/1986","0","1","3","0","1","2","0","0","1","0","0","0","0"
"22","06/30/1986","1","0","5","0","1","0","0","1","0","0","0","0","0"
"23","09/30/1986","0","0","3","0","0","1","0","0","8","0","0","1","0"
"24","12/31/1986","0","0","1","0","0","0","0","0","2","0","0","0","0"
"25","03/31/1987","0","0","2","0","0","0","0","0","0","0","0","0","0"
"26","06/30/1987","0","1","3","0","1","0","0","0","3","0","0","0","1"
"27","09/30/1987","1","1","0","0","0","0","0","0","1","0","0","0","0"
"28","12/31/1987","0","1","0","0","0","0","0","1","0","0","1","0","0"
"29","03/31/1988","0","3","2","0","1","0","0","1","2","0","0","0","1"
"30","06/30/1988","1","2","0","1","1","0","0","3","0","0","0","0","0"
"31","09/30/1988","0","1","0","2","0","0","0","0","0","0","1","0","1"
"32","12/31/1988","0","0","0","2","2","0","0","1","1","0","0","0","0"
"33","03/31/1989","0","0","0","2","0","0","0","0","0","1","0","1","0"
"34","06/30/1989","0","1","0","2","0","0","0","1","1","0","0","0","0"
"35","09/30/1989","0","1","0","2","1","0","0","2","3","1","0","1","0"
"36","12/31/1989","0","2","0","2","0","1","1","7","2","0","0","0","0"
"37","03/31/1990","0","3","0","2","0","1","0","2","0","0","1","2","0"
"38","06/30/1990","1","3","0","0","0","3","0","0","0","1","1","1","0"
"39","09/30/1990","1","5","0","2","0","0","0","5","2","0","0","0","0"
"40","12/31/1990","6","4","0","0","0","0","0","5","2","1","0","1","0"
"41","03/31/1991","2","7","0","3","1","0","1","3","1","0","0","3","0"
"42","06/30/1991","3","4","0","2","1","1","1","1","1","0","1","3","0"
"43","09/30/1991","1","2","0","2","0","1","0","2","0","1","0","0","2"
"44","12/31/1991","1","5","2","0","0","0","0","2","2","0","0","0","1"
"45","03/31/1992","0","2","0","2","0","0","0","1","1","0","0","0","2"
