"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1",0.844844936723746+0i,0.216339375735053+0i,5.77808609384083e-02-5e-17i,1.63783833727521+0i,1.01551709808592-0i,0.189028027086871-0i,0.172612562412893-0i,1.09700706464746-0i,9.47025613303248e-03-2e-17i,3.35140166248024-0i,5.74297037379717e-02-1e-16i,7.72159704148212e-03-2e-17i,2.39096833336444e-02-6e-17i
"2",1.66238897835479-0i,1.47805582614429+0i,0.661849922611445-0i,4.69843313327007-0i,1.96411952608395+0i,2.16521843162221+0i,1.97718776112589-0i,2.07355919477086-0i,0.108476893333937-0i,7.09349548864552+0i,0.657827598226575-0i,8.84469064901811e-02-8e-17i,0.273873075046529-0i
"3",2.64316134469601-0i,0.655150851519817+0i,6.08820247225312-0i,7.47040373835299-0i,3.07533887108338-0i,5.72442591582321e-01+7e-16i,4.06999034366884+0i,3.32211882411651-0i,2.86792284048477e-02-1e-16i,10.1492095255366-0i,0.173917111384028-0i,2.33836806620689e-02-2e-16i,7.24068345967251e-02-3e-16i
"4",1.64244451414515-0i,0.332631460383707+0i,8.88406564494727e-02-1e-16i,3.64206381616799+0i,1.561402931081+0i,0.290639041042443+0i,0.265399530348518-0i,1.68669739720344+0i,0.014560942117149-0i,5.15292986094424+0i,8.83007365573612e-02-2e-16i,0.011872300600276-0i,3.67622068685363e-02-9e-17i
"5",0.519299479300089+0i,0.425548326963268+0i,0.113657297102261-0i,1.46770335427038-0i,0.99756332209401-0i,0.371825796402868+0i,0.339535911565208+0i,0.849165571921984-0i,0.0186283779345896-0i,2.68886770887719-0i,0.112966556645798-0i,1.51886945745429e-02-7e-17i,4.70313169125298e-02-9e-17i
"6",0.329592911130603+0i,0.108975826497934+0i,0.37459008392478-0i,0.931533037279599+0i,0.471541220793766-0i,0.22545810811103+0i,0.586929046057372+0i,0.478927307644521-0i,0.0613951398793397-0i,1.94277064772135-0i,0.372313551470183-0i,0.0500586809685179-0i,0.155005137360493-0i
"7",0.197816449022045-0i,0.073849462872424+0i,0.0197240355811763-0i,0.559091386247538-0i,0.346656229253675-0i,6.45264793834648e-02+8e-17i,5.89236514391966e-02+8e-17i,0.374473589082946-0i,3.23276022366459e-03-2e-17i,1.14403220312063-0i,1.96041647969147e-02-5e-17i,2.6358391397462e-03-4e-17i,8.16179331959331e-03-6e-17i
"8",1.80141709985339+0i,0.672510733516133+0i,0.179617090235445-0i,5.09137025028092+0i,3.15682776753655+0i,0.587610908644687+0i,0.536581935525967-0i,2.41014678077816-0i,0.0294391572360416-0i,10.4181385505246+0i,0.178525485964873-0i,2.4003290536636e-02-6e-17i,7.43254371619344e-02-2e-16i
"9",0.668941584306283+0i,0.450622085914308+0i,0.120354105643154-0i,1.89063892076409+0i,1.9105985527129-0i,0.393734166851212+0i,0.359541727737864+0i,1.15023731654374-0i,0.727932642300227-0i,3.59607742658975+0i,1.87651671724767-0i,0.252303337629961-0i,0.781249380710578-0i
"10",0.280416696985431+0i,0.0567906036587095-0i,0.015167881304377+0i,0.7925456180192-0i,0.26658036166597-0i,4.96211830611237e-02-9e-17i,4.53120084367363e-02-6e-17i,0.287972049505663+0i,2.48600866472003e-03+6e-18i,2.03544458534007-0i,0.0150757000760435-0i,2.02697338709208e-03+5e-17i,6.27645959129105e-03-9e-18i
"11",0.543301426677172-0i,0.301277045892715+0i,8.04663831238067e-02-8e-17i,1.53554039258562+0i,1.11224000290904-0i,0.26324290434029+0i,0.240382513405314+0i,0.971595565315188-0i,0.440664992807205-0i,3.00847695896346+0i,1.6722888620023-0i,0.359297304840137+0i,1.11255284822678-0i
"12",0.41072705581898-0i,0.374129773406372+0i,0.0999242062923688-0i,1.1608436009364+0i,0.606946758132294+0i,0.326898479304458+0i,0.298510147046547+0i,0.649924999540955-0i,0.0163775307620891-0i,2.07573313205386+0i,9.93169272735478e-02-5e-17i,0.339806261536025-0i,0.0413485727110073-0i
"13",0.237174261381509-0i,0.169972529455196+0i,0.0453970020687683-0i,0.670328919731274+0i,0.424096019871446+0i,0.148514674190561+0i,0.135617447121572+0i,0.401921725338119-0i,0.109154474047183-0i,1.2611479713532+0i,0.661936595815828-0i,0.437468005837343+0i,0.354605974901421-0i
